Check this.	Sjáðu þetta.
I'm gonna be honest with you, Jesse.	Ég skal vera hreinskilinn við þig, Jesse.
Been close personal friends for, what, two or three minutes now.	Þar sem við höfum þekkst... og verið nánir vinir nema í... tvær eða þrjár mínútur.
Norman Shaw is a business associate.	Norman Shaw er viðskiptafélagi.
Development?	Þróunarmál?
No.	Nei.
Books?	Bækur?
Our relationship is confidential.	Samskipti okkar eru trúnaðarmál.
Oh, you can tell me.	Þú getur sagt mér það.
Just between friends.	Milli tveggja vina.
Well, if I told you, it wouldn't be confidential now, would it?	Ef ég segði þér það væri það ekki trúnaðarmál lengur, er það?
It was very nice meeting you.	Það var gaman að kynnast þér.
Billie was lost to us a long time ago.	Billie var fjarlæg okkur lengi.
And when did you notice a change?	Hvenær fórstu að taka eftir breytingum?
Almost from the time we moved here.	Næstum því strax og við fluttum hingað.
And when was that?	Og hvenær var það?
Two years ago.	Fyrir tveimur árum.
Just before school started.	Stuttu áður en skólaárið hófst.
I should've reported her missing the day that she left.	Ég átti að tilkynna að hennar væri saknað daginn sem hún fór.
Yes, sir, you should have.	Já, herra, þú hefðir átt að gera það.
What can I do to help?	Hvernig get ég hjálpað ykkur?
You could give us a DNA sample.	Þú gætir gefið okkur DNA sýni.
We think Billie must've been in contact with someone in Paradise after she ran away.	Við höldum að Billie hljóti að hafa haft samband við einhvern hér í Paradís eftir að hún strauk.
Who?	Hvern?
We don't know.	Við vitum það ekki.
Excuse me.	Hafið mig afsakaðan.
He could have given her just enough money to make sure she 'd come back for more.	Hann gæti hafa látið hana fá nákvæmlega næga peninga til að tryggja að hún kæmi aftur til að fá meira.
For what reason?	En hvers vegna?
I saw a book in Billie's room by Norman Shaw.	Ég sá bók í herbergi Billie eftir Norman Shaw.
Could I have it?	Gæti ég fengið hana?
I'll get it for you.	Ég skal sækja hana.
So you attended Shaw's fundraiser every year?	Sóttuð þið fjáröflunarsamkomu Shaws á hverju ári?
You're telling me it was Shaw?	Ertu að segja að Shaw hafi gert þetta?
I didn't say that.	Ég sagði það ekki.
What's he like?	Hvernig maður er hann?
Jesse...	Jesse...
Very philanthropic.	Mikill mannvinur.
Always nice to the kids.	Afar góður við börnin.
Good for him.	Gott hjá honum.
Suit, it's gonna have to wait.	Lögreglumaður, þetta verður að bíða.
It can't.	Það er ekki hægt.
Put this on.	Farðu í þetta.
Snyder's in there with his wife.	Snyder er þarna inni með konuna sína.
I tried to go in, but the son of a bitch took a shot at me.	Ég reyndi að fara inn en þrælbeinið skaut á mig.
Carole got out in the chaos.	Carole slapp út í ringulreiðinni.
I got out...	Ég komst út...
I got away when he shot Mr. Kim.	Ég slapp þegar hann skaut herra Kim.
Did he kill him?	Drap hann hann?
I don't know.	Ég veit það ekki.
He was on the floor and he was bleeding, but he was still moving.	Hann lá blóðugur á gólfinu en hann hreyfði sig.
Molly, you got a piece of paper?	Molly, ertu með pappírsblað?
Four aisles?	Fjórir gangar?
Yeah.	Já.
Carole, okay, now where did the shooting take place?	Carole, sjáðu til. Hvar átti skotárásin sér stað?
Here.	Hérna.
Was Snyder holding his wife?	Hélt Snyder konu sinni fastri?
Yeah.	Já.
Where?	Hvar?
Here.	Hérna.
Any other people in the market?	Voru fleiri í búðinni?
How many?	Hve margir?
I don't know.	Ég veit það ekki.
I'm sorry.	Mér þykir fyrir því.
It's okay.	Allt í lagi.
It's all right.	Það er í lagi.
Jesse, we gotta go in.	Jesse, við verðum að fara inn.
I called the state police.	Ég hringdi á ríkislögregluna.
We can't wait.	Við getum ekki beðið.
We'll go in the back.	Við förum inn um bakdyrnar.
Well, what do you want me to do?	Hvað viltu að ég geri?
Stay here with Carole.	Vertu hérna hjá Carole.
That's all?	Er það allt og sumt?
If Snyder comes out alone, kill him.	Ef Snyder kemur einn út drepurðu hann.
What do you want me to do?	Hvað viltu að ég geri?
When the shooting starts, you'll know what to do.	Þegar skothríðin hefst veistu hvað þú átt að gera.
Two in the chest. One in the head.	Tvö skot í bringuna, eitt í höfuðið.
Continue to engage until the threat is eliminated.	Og þú heldur áfram þar til hættan er yfirstaðin.
You stop right there!	Stansaðu!
I said stop!	Stansaðu, sagði ég!
I'm stopped.	Ég stansaði.
You put your gun down.	Leggðu frá þér byssuna.
No.	Nei.
Put your gun down.	Legg þú frá þér byssuna.
I'm glad you're here, Stone.	Gott að þú komst, Stone.
Why?	Saknaðirðu mín?
Did you miss me? I got no life without her.	Líf mitt er einskis virði án hennar.
She ain't gonna leave me.	Hún fer ekki frá mér.
And I ain't gonna leave her.	Og ég fer ekki frá henni.
Not ever.	Aldrei.
Jerry, if you love her, let her go.	Jerry, ef þú elskar hana leyfirðu henni að fara.
I'm gonna kill you and everybody in this place.	Ég drep þig og alla hér inni.
No, you're not.	Nei, það gerirðu ekki.
Jerry, stop!	Jerry, ekki!
He's down, Suit.	Hann er fallinn.
Mr. Simpson is stabilized.	Líðan herra Simpsons er stöðug.
He's in recovery.	Honum er haldið sofandi.
The next 48 hours are critical.	Næstu tveir sólarhringarnir skipta sköpum.
And Mr. Kim?	Og herra Kim?
Mr. Kim was dead on arrival.	Herra Kim var dáinn þegar hann kom.
Mr. Simpson will be in recovery for some time. Then we'll move him into Intensive Care.	Herra Simpson verður haldið sofandi um tíma og síðan flytjum við hann á gjörgæsludeildina.
We'll keep you up to date, Chief Stone.	Við látum þig fylgjast með, foringi.
Thank you, Doctor.	Þakka þér fyrir, læknir.
I'm staying.	Ég verð kyrr.
There's something I gotta do.	Ég þarf að gera dálítið.
Can you handle the station for a while, Tony?	Geturðu séð um stöðina í smátíma, Tony?
Sure thing, Skipper.	Auðvitað, stjóri.
Page me if anything changes.	Kallið mig upp ef eitthvað breytist.
Obviously, I was way out of line.	Ég fór auðvitað yfir strikið.
This apology is long overdue.	Þessi afsökunarbeiðni var löngu tímabær.
I just wish more people would take an interest in our youngsters.	Það væri óskandi að fleira fólk sýndi unga fólkinu okkar áhuga.
I do what I can.	Ég geri það sem ég get.
And the idea of having the young people attend with their parents, I think, creates a great sense of community.	Og sú hugmynd að unga fólkið mæti með foreldrum sínum vekur að ég held mikla samkennd.
How long have you been doing this?	Hve lengi hefurðu gert þetta?
About 10 years.	Í tíu ár.
Since I moved here.	Síðan ég flutti hingað.
Good for you.	Gott hjá þér.
You know Billie Bishop?	Þekkirðu Billie Bishop?
Excuse me?	Hvað sagðirðu?
Hank and Sandy Bishop's kid?	Dóttur Hanks og Sandy Bishop?
Well, I take an interest in all my young people.	Ég sýni öllu unga fólkinu mínu áhuga.
Good for you.	Gott hjá þér.
Where were you on the night of September 8th?	Hvar varstu að kvöldi 8. september?
Excuse me?	Hvað þá?
Where were you - the night of September 8th?	Hvar varstu - að kvöldi 8. september?
I heard what you said.	Ég heyrði hvað þú sagðir.
I want to know why you're asking me that.	Ég vil vita af hverju þú ert að spyrja mig að þessu.
'Cause I'm the police chief.	Af því að ég er lögreglustjórinn.
Well, I don't think that's any of your business.	Ég held að þér komi það hreint ekkert við.
On the contrary, I think it is.	Ég tel þvert á móti að það komi mér við.
Billie Bishop's dead.	Billie Bishop er dáin.
We found a body floating in the lake.	Við fundum lík á floti í vatninu.
You probably read about it.	Þú hefur sennilega lesið um það.
Oh, come on, Norman, she's one of your young people.	Láttu ekki svona, Norman, hún var ein af unga fólkinu þínu.
What was the date? September 8th.	Hvaða dag sagðirðu? 8. september.
I was with a business associate.	8. september... var ég með viðskiptafélaga mínum.
Who?	Hverjum?
Would he remember the meeting?	Myndi hann muna eftir því?
Yes, I'm sure he would.	Já, ég er viss um það.
It was rather lengthy, we have creative differences.	Þetta var langur fundur. Það var listrænn ágreiningur.
He's the subject of my next book.	Hann er viðfangsefni mitt í næstu bók.
Between you and me, it's an exposé.	Okkar á milli sagt verður hún mikil afhjúpun.
Chief Stone, I think this meeting's at an end.	Stone lögreglustjóri, ég held að þessi fundur sé á enda.
When can I expect that apology?	Hvenær get ég búist við þessari afsökunarbeiðni?
You can't.	Þú getur það ekki.
Norman Shaw says you had a long meeting with him the night of the 8th.	Norman Shaw segist hafa átt langan fund með þér að kvöldi þess áttunda.
What's he need an alibi for?	Af hverju þarf hann fjarvistarsönnun?
I did call a meeting, but I canceled it.	Ég bað um fund en ég aflýsti honum.
Because you're fickle?	Af því að þú ert hverflyndur?
Because he's a scumbag.	Af því að hann er óþokki.
This have something to do with the confidential nature of your relationship?	Hefur þetta eitthvað að gera með trúnaðinn í sambandi ykkar?
I don't want a guy like that writing my biography.	Ég vil ekki að svona maður skrifi ævisögu mína.
Why don't you have Lovey kill him?	Því læturðu ekki Lovey drepa hann?
Why don't you kiss my ass?	Því drullarðu þér ekki burt?
So a guy like what?	Hvernig maður?
All right, I'm not gonna cover for that son of a bitch.	Allt í lagi, ég fer ekki að hylma yfir með þessum skíthæl.
Because?	Hvers vegna?
Because he molests kids.	Af því að hann misnotar börn.
He uses his fundraisers to meet them.	Hann notar fjáröflunarsamkomurnar til að kynnast þeim.
How do you know?	Hvernig veistu það?
Had Lovey keeping tabs on him.	Ég lét Lovey fylgjast með honum.
He saw him go into this motel a couple of times with a kid.	Hann sá hann nokkrum sinnum fara á vegahótel með stelpu.
You know her name?	Veistu hvað hún heitir?
No, he does not know her name.	Nei, hann veit ekki hvað hún heitir.
Was she about 14?	Var hún á að giska 14 ára?
Can you talk?	Geturðu talað?
He can talk, but he's not going to testify.	Hann getur talað, en hann ætlar ekki að bera vitni.
At 9: 10, a woman walked in."	Klukkan 9. 10 gekk kona inn.
She was wearing big gold-hooped earrings and rings on four fingers."	Hún var með stóra gulleyrnalokka og hringi á fjórum fingrum.
She had the kind of lips that made me want to mash them in for her."	Varir hennar voru af þeirri tegund að mig langaði að snerta þær.
He's in a coma.	Hann er í dái.
When?	Hvenær gerðist þetta?
Doctor came in about an hour ago.	Læknirinn kom fyrir klukkutíma.
I thought he was asleep.	Ég hélt að hann svæfi.
When my sister got sick, things got pretty scary when she got like this.	Þegar systir mín veiktist var það ansi skelfilegt þegar hún varð svona.
I 'd just sit with her at the hospital.	Ég sat hjá henni á sjúkrahúsinu.
Doctor told me to talk to her, read to her.	Læknirinn sagði mér að tala við hana og lesa fyrir hana.
Said sometimes it would help people find their way back.	Sagði að stundum hjálpaði það fólki að rata til baka.
I don't know if it helped or not, but it sure made me feel better.	Ég veit ekki hvort það hjálpaði en það lét mér líða betur.
Did it work?	Virkaði það?
She died.	Hún dó.
I'm not gonna let that happen again.	Ég læt það ekki gerast aftur.
Why don't you take a break, Molly?	Viltu ekki taka þér pásu, Molly?
I'll be here.	Ég verð hérna.
Talk to him.	Talaðu við hann.
Let him know you're here.	Láttu hann vita að þú sért hér.
I found this in the wheel well next to the spare tire.	Ég fann þetta við hliðina á varadekkinu.
I'll bet you the cut end matches the piece we found at the lake.	Ég er viss um að endinn passar við það sem við fundum í vatninu.
Think we could match the cinder blocks?	Eigum við að bera vikursteinana saman við þessa?
I doubt it.	Ég held ekki.
See if you can find the name of the motel that Shaw used.	Reyndu að komast að því hvaða vegahótel Shaw notaði.
Maybe the manager can remember him or Billie Bishop.	Kannski man hótelstjórinn eftir honum eða Billie Bishop.
And interview everyone at Superior Promotions.	Og talaðu við alla sem vinna hjá Óviðjafnanlegum kynningum.
Billie used that number.	Billie notaði símanúmerið þeirra.
I called my attorney.	Ég hringdi í lögfræðinginn minn.
He's on his way here.	Hann er á leiðinni.
Said to stop everything until he arrives.	Segir ykkur að bíða með allt þar til hann kemur.
Did you show Norman the warrant?	Sýndirðu Norman heimildina?
I did.	Ég gerði það.
Anything in there about stopping everything till his lawyer gets here?	Stendur eitthvað í henni um að bíða með allt þar til lögmaðurinn hans kemur?
I should have had your head on a platter last time.	Ég hefði átt að ganga frá þér síðast þegar við hittumst.
I will not make the same mistake again.	Ég geri ekki sömu mistök aftur.
You're under arrest for the murder of Billie Bishop.	Þú ert handtekinn fyrir morðið á Billie Bishop.
My attorney will have me out in an hour.	Lögfræðingurinn minn fær mig lausan eftir klukkutíma.
You need to be a little more careful, Norman.	Þú þarft að vera varkárari, Norman.
You could start a fire that way.	Þú gætir kveikt í með þessu.
You can't do that.	Þú getur ekki gert þetta.
Oh, sure I can.	Jú, ég get það.
Whose cigar is that, Officer D 'Angelo?	Hver átti þennan vindil, D' Angelo?
Norman Shaw's.	Norman Shaw.
Child killers don't do well in prison.	Barnamorðingjum vegnar ekki vel í fangelsi.
You need to think about that.	Þú skalt hugleiða það.
Take him to County.	Farið með hann í sýslufangelsið.
I would never hurt Billie.	Ég hefði aldrei meitt Billie.
You have the right to remain silent.	Þér er heimilt að svara engu.
Anything you say can and will be used against you in a court of law.	Allt sem þú segir má nota gegn þér fyrir rétti.
You have the right to an attorney. If you cannot afford an attorney...	Þú átt rétt á lögmanni, Hafirðu ekki efni á...
Jesse, it's not your fault.	Jesse, þetta er ekki þér að kenna.
No, but it's my responsibility. How is he?	Nei, en ábyrgðin er mín. Hvernig líður honum?
No change.	Það er engin breyting.
Do you really think Norman killed her?	Heldurðu að Norman hafi drepið hana?
I know it.	Ég veit það.
Well, you must have had other suspects.	Þig hlýtur að gruna einhverja fleiri.
What about Hank Bishop?	Hvað með Hank Bishop?
Not all fathers are child molesters.	Það eru ekki allir feður barnaníðingar.
I know you didn't.	Ég veit að þú gerðir það ekki.
At a certain point it just became obvious.	Á vissri stundu varð þetta bara augljóst.
Some cases are hard, some are easy.	Sum mál eru erfið, önnur einföld.
This one was easy.	Þetta var einfalt.
Everything started to point toward Shaw.	Allt tók að benda á Shaw.
He was stupid.	Hann var heimskur.
He obviously panicked, didn't cover his tracks.	Hann missti augljóslega stjórn á sér og faldi ekki slóðina.
That makes you angry, doesn't it?	Það gerir þig reiðan, ekki satt?
I hate child molesters more than convicts do.	Ég hata barnaníðinga jafnvel enn meira en fangar gera.
That's the part of you that doesn't always show.	Það er sá hluti af þér sem sést ekki alltaf.
It's the cold part of you, without sentiment, without mercy.	Sá kuldalegi, án tilfinninga og án miskunnar.
It's frightening.	Hann er óttalegur.
People are more than one thing.	Fólk er ekki bara einhliða.
I know.	Ég veit.
I know you feel compassion.	Ég veit að þú býrð yfir meðaumkun.
I know that you found Billie's killer partly because you felt somehow you owed it to her.	Ég veit þú fannst morðingja Billie því þér fannst að vissu leyti að hún ætti það inni hjá þér.
I did owe it to her.	Hún átti það inni hjá mér.
I'm also employed to do that.	Ég er líka ráðinn til að gera það.
Well, maybe that part of you, the remorseless part.	Kannski þessi hluti af þér.
The part that looks at the world with an icy stare.	Miskunnarlausi hlutinn. Sá sem horfir á heiminn með ísköldum, starandi augum.
Maybe that's why you can do what you're employed to do.	Kannski er það þess vegna sem þú getur gert það sem þú ert ráðinn til.
I'll be at the hospital.	Ég verð á sjúkrahúsinu.
Anthony's gotta get home.	Anthony verður að komast heim.
We still have to work here sometime.	Við þurfum enn að vinna hérna við og við.
I know that.	Ég veit það.
I know you know.	Ég veit að þú veist það.
I'll be over in a while.	Ég kem eftir smástund.
Stupid.	Heimskingi.
What are you doing?	Hvað ertu að gera?
Should've tied a bowline.	Hann átti að hnýta pelastikk.
I phoned, got an answering machine.	Ég hringdi og fékk bara símsvarann.
You short-handed?	Eruð þið fáliðuð?
Yes, we are.	Já, við erum það.
We have to talk about Norman Shaw.	Við verðum að ræða um Norman Shaw.
He's home.	Hann er heima.
His attorney had him out in an hour.	Lögmaðurinn fékk hann látinn lausan innan klukkutíma.
That figures.	Gat nú verið.
When the DNA comes back, it's not gonna be Hank Bishop.	Þega DNA greiningin kemur verður það ekki Hank Bishop.
It's not gonna be Hooker Royce.	Það verður ekki Hooker Royce.
It's not gonna be some kid in school.	Það verður ekki einhver skólastrákur.
It's gonna be Shaw.	Það verður Shaw.
How do you know?	Hvernig veistu það?
I just know.	Ég veit það bara.
Then we'll have him.	Þá neglum við hann.
Well, not for murder, you won't.	Ekki fyrir morð.
The D. A.'s office is not going into court with two cinder blocks, a piece of rope and a bottle of pills.	Embætti saksóknara vill ekki hefja réttarhöld sem byggjast á tveimur vikursteinum, reipi og pilluglasi.
He doesn't have an alibi.	Hann hefur ekki fjarvistarsönnun.
Neither does half of Paradise.	Og ekki helmingur íbúa Paradísar.
He had a motive and he had the opportunity.	Hann hafði ástæðu og tækifæri.
He's a sick son of a bitch.	Hann er sjúkur tíkarsonur.
Boy, he's a sick son of a bitch.	Já, hann er sjúkur tíkarsonur.
Says he was in love with the girl.	Segist hafa verið ástfanginn af stúlkunni.
And you believe him?	Og trúirðu honum?
I didn't say that.	Það sagði ég ekki.
He knows she was pregnant.	Hann veit að hún var með barni.
He knows he's the father.	Hann veit að hann er faðirinn.
That's a motive.	Það er ástæða.
Or not.	Eða ekki.
Look, he knows we'll have him when the DNA comes back.	Hann veit að við neglum hann þegar DNA greiningin kemur.
He'll plead to the molestation.	Hann játar misnotkun.
A guy willing to do time like that has a certain credibility.	Maður sem er tilbúinn að sitja inni fyrir það hefur vissan trúverðugleika.
He killed Billie.	Hann drap Billie.
How do you know?	Hvernig veistu það?
If you can't come up with anything else, at least we'll have him for the molestation.	Ef þú finnur ekki neitt annað neglum við hann að minnsta kosti fyrir misnotkunina.
I'll get more.	Ég finn meira.
Molly.	Molly.
Go home and get some sleep.	Farðu heim að sofa.
I'm okay.	Það er allt í lagi með mig.
You can only do what you can do.	Þú getur aðeins visst mikið.
I went over to Lilly Summers' house to take her to dinner.	Ég fór heim til Lillyar Summer til að bjóða henni í mat.
I'm not going to tell you.	Ég segi þér ekki frá því.
I'll tell you if you wake up.	Ég segi þér það ef þú vaknar.
D. A.'s behaving like a horse's ass again.	Saksóknarinn hagar sér eins og fífl einu sinni enn og vill ekki ákæra morðingjann.
Won't prosecute the murder.	Ó, alveg rétt.
Oh, that's right, you don't know.	Þú veist ekki af því.
We got him.	Við náðum honum.
We got Shaw.	Náðum Shaw.
We found cinder blocks, pills and rope.	Við fundum vikursteina, pillur og reipi.
Of course, we couldn't have done any of this without the ring.	Auðvitað hefðum við ekki getað neitt af þessu án hringsins.
That's good police work, Suit.	Það var góð lögregluvinna.
Well...	Jæja...
Listen to this.	Hlustaðu á þetta.
What an ego."	Þvílíkt sjálfsálit.
Up comes the body and we're off to the races.	Líkið flýtur upp og við hefjum rannsókn.
Just stupid.	Heimskulegt.
Made it so easy.	Gerði þetta svo auðvelt.
You called me?	Þú hringdir í mig.
I appreciate you coming.	Þakka þér fyrir að koma.
You too, Lovey.	Líka þér, Lovey.
Look, I know I owe you, Leo.	Ég veit að ég stend í þakkarskuld við þig, Leo.
You gave me Shaw, but I need a little help here.	Þú bentir mér á Shaw en ég þarf smáhjálp.
I'm just a small-town cop.	Ég er bara smábæjarlögga.
Mostly, I give out parking tickets.	Skrifa aðallega stöðumælasektir.
I don't have enough to put this guy away for murder.	Ég hef ekki nóg til að láta dæma manninn fyrir morð.
That's your problem.	Það er þitt vandamál.
Oh, I thought it was our problem, knowing how we hate child molesters.	Ég hélt að það væri okkar vandamál. Við hötum báðir barnaníðinga.
So I don't get it, Leo.	Svo ég skil þetta ekki, Leo.
You tell me the guy doesn't have an alibi, but you won't let Lovey give me the name of the motel.	Þú segir mér að hann hafi ekki fjarvistarsönnun en vilt ekki leyfa Lovey að segja mér nafnið á hótelinu.
I got an officer in the hospital.	Starfsmaður minn liggur á sjúkrahúsi.
I only got two other people.	Ég hef bara tvo aðra starfsmenn.
Why won't you tell me the name of the motel?	Af hverju viltu ekki segja mér nafnið á hótelinu?
The Paradise Motel.	Vegahótelið Paradís.
Okay.	Allt í lagi.
I know it well, used to live there.	Ég þekki það vel. Ég bjó þar um tíma.
So why all the mystery, Leo?	Af hverju þessi leynd, Leo?
Because I don't like you.	Af því að mér líkar ekki við þig.
I'm hurt.	Mér sárnar.
A couple of more things?	Nokkuð fleira?
Fire away.	Skjóttu bara.
Nice phrasing.	Skemmtilega sagt.
See, I got some problems.	Ég er nefnilega í vanda.
I mean, the only way an amateur like Shaw would drug and drown a kid would be if she threatened to expose him, but I got no proof of that.	Eina ástæða þess að fúskari eins og Shaw hefði dópað og drekkt stelpu væri ef hún hefði hótað að koma upp um hann en ég get ekki sannað það.
In fact, she called her mom.	Reyndar hringdi hún í mömmu sína.
Said she was happy.	Sagðist vera hamingjusöm.
Oh, good for her.	Gott hjá henni.
She was pregnant, by the way.	Hún var líka ólétt.
Boy, this guy couldn't even tie a knot.	Hamingjan sanna, þessi maður... gat ekki einu sinni bundið hnút.
A pro like Lovey here would know how to dispose of a body.	Fagmaður eins og Lovey hérna hefði kunnað að losa sig við lík.
You 'd tie a bowline, wouldn't you, Lovey?	Þú hefðir notað pelastikk, ekki satt, Lovey?
Hey, you know how Shaw refers to his book?	Veistu hvað Shaw kallar bókina?
He calls it an exposé.	Hann kallar hana afhjúpun.
Does that sound like a biography to you?	Finnst þér það hljóma eins og ævisaga?
Sounds like a betrayal to me.	Mér finnst það hljóma eins og svik.
Well, to me it sounds like this meeting is over.	Fyrir mig hljómar það eins og þessum fundi sé lokið.
Come on, hear me out.	Hlustaðu á mig.
See, all this stuff started me thinking.	Þetta olli því nefnilega að ég fór að hugsa málið.
I mean, what if the killer wasn't stupid?	Hvað ef morðinginn væri ekki heimskur?
What if he was really smart?	Hvað ef hann væri mjög snjall?
What if the killer wanted the body discovered?	Hvað ef morðinginn vildi að líkið fyndist?
Why would Shaw do that?	Því ætti Shaw að vilja það?
I'm not talking about Shaw.	Ég er ekki að tala um Shaw.
See, just between you and me, I think the mute over there whacks people.	Okkar á milli sagt held ég að sá mállausi þarna drepi fólk.
But if you whack Norman Shaw, that's big news.	En ef þú dræpir Norman Shaw væru það stórfréttir.
And his exposé gets published big-time.	Og afhjúpunin fengi mikla umfjöllun.
But if a child molester gets convicted of murdering a kid, no publisher in the world would touch that book.	En ef að barnaníðingur er dæmdur fyrir að myrða barn myndi enginn útgefandi í heimi snerta við þessari bók.
See, I think you did have that meeting with Shaw.	Ég held nefnilega að þú hafir átt þennan fund með Shaw.
I think you set him up, then you set me up.	Ég held að þú hafir blekkt hann og svo blekktirðu mig.
I got him, Billie."	ÁSTKÆR DÓTTIR HENRYS OG SÖNDRU BISHOP Ég náði honum, Billie.
Chapter One."	HAFNABOLTI STÖĐVAFERNINGURINN Fyrsti kafli."
Harry Leon ' Suitcase ' Simpson "was born in the Broadville section of Atlanta" on a rainy evening, December 3rd, 1925."	Harry Leon ' Ferðataska ' Simpson fæddist í Broadville-hverfinu í Atlanta rigningarkvöldið 3. desember 1925.
He would grow up to be a star in the Negro League "and then cross the color barrier right behind Jackie Robinson," then be traded so many times" he became known as' Suitcase ' Simpson."	En svo var hann látinn skipta svo oft um lið að hann var kallaður ' Ferðataska ' Simpson. En allt þetta beið þessa litla barns þeirra Rosalee og Thomasar Simpson.
But all that was ahead "for the underweight child of Rosalee and Thomas Simpson," she a seamstress, he an employee of the Department of Public Works in Georgia,"' Suitcase ' Simpson began his major league career in 1951" with the Cleveland Indians."	Hún var saumakona, hann opinber starfsmaður í Georgiu. ' Ferðataska ' Simpson hóf feril sinn árið 1951 með Cleveland Indians.
Over eight years in the majors,"he also played for the A's, the Yankees, the White Sox and the Pirates."	Í rúm átta ár í meistaradeild lék hann líka með A ' s, Yankees, White Sox og Pirates.
He also played first base and the outfield..." 0 1 1336 10413 16 0 windows-1252 English 2011-10-05 1/1 1.0 1063 01:22:32,204 English 2006 USA 87 Crime,Drama,Mystery	Hann lék líka á fyrstu höfn og á útvelli... 1073 Icelandic 1.0 1/1 2011-10-05 01:22:32,185 USA 87 Crime,Drama,Mystery 2006 English 0 1331 0 9312 26 iso-8859-4 0
Previously on Lost: This is not your island.	Úr fyrri Þáttum: Þetta er ekki eyjan ykkar.
This is our island.	Þetta er okkar eyja.
They've attacked us, sabotaged us, abducted us, murdered us.	Þau hafa ráðist á okkur, unnið spellvirki, rænt okkur og myrt.
We're not the only people on this island, and we all know it.	Við erum ekki eina fólkið á eyjunni og vitum Það öll.
They came the first night, took three of us.	Þau komu fyrstu nóttina og tóku Þrjú okkar.
Then they came back and took nine more.	Síðan komu Þau aftur og tóku níu í viðbót.
They're smart and they're animals.	Þau eru gáfuð og haga sér eins og dýr.
You're coming with us.	Þið komið með okkur.
I burnt my hand.	Ég brenndi mig og formkökurnar líka.
Still hasn't fixed your plumbing yet?	Eru lagnirnar ennþá í ólagi?
It's a work in progress.	Þetta mjakast áfram.
It's not even literature.	Þetta eru ekki bókmenntir.
Now I know why Ben isn't here.	Nú skil ég af hverju Ben er ekki hér.
Excuse me?	Fyrirgefðu?
I know the host picks the book, but, Julie, he wouldn't read this in the damned bathroom.	Ég veit að gestgjafinn velur bókina, en Julie, hann myndi ekki lesa þessa á baðherberginu.
Well, Adam, I am the host, and I do pick the book.	Adam, ég er gestgjafinn og ég vel bókina.
You see where the tail landed?	Sástu hvar stélið lenti?
Probably in the water.	Sennilega í sjónum.
You can make that shore in an hour.	Þú nærð að ströndinni á klukkutíma.
Ethan, get up to that fuselage.	Ethan, finndu flakið.
There may actually be survivors.	Það gætu verið eftirlifendur.
And you're one of'em.	Þú ert einn þeirra.
A passenger.	Þú ert farþegi.
You're in shock.	Þú ert í áfalli.
Come up with a story if they ask. Stay quiet if they don't.	Ljúgðu einhverri sögu ef þú þarft en haltu þig annars til hlés.
Listen.	Hlustið.
Learn.	Lærið.
Don't get involved.	Verið hlutlausir.
I want lists in three days.	Ég vil yfirlit eftir þrjá daga.
Go.	Af stað.
So, I guess I'm out of the book club.	Ég er þá ekki lengur í bókaklúbbnum.
Hey! Kate!	LÍFSHÁSKl Kate!
Can you hear me?	Heyrirðu í mér?
Kate!	Kate!
Rise and shine, Kate.	Vaknaðu, Kate.
Where am I?	Hvar er ég?
You don't really think I'm going to answer that, do you?	Þú heldur þó ekki að ég ætli að segja þér það?
Where are Sawyer and Jack?	Hvar eru Sawyer og Jack?
I'll tell you what.	Ég skal segja þér eitt.
Why don't you just take a nice hot shower, wake yourself up, wash the day off you and start fresh?	Af hverju ferðu ekki í heita sturtu og vaknar almennilega og byrjar nýjan dag, hress og kát?
Here's a nice clean towel, shampoo, soap...	Hérna er hreint handklæði, sjampó, sápa...
I'm not showering in front of you.	Ég baða mig ekki fyrir framan þig.
Kate, you're not my type.	Kate, þú ert ekki mín týpa.
Hey.	Heyrðu.
Where are we?	Hvar erum við?
Who the hell are you?	Hver í fjandanum ert þú?
You ain't gonna talk to me?	Ætlarðu ekki að tala við mig?
What, you got more important things to do?	Hefurðu eitthvað mikilvægara að gera?
Warning.	Viðvörun.
I wouldn't do that.	Ég mundi ekki gera þetta.
If I want your advice, I'll ask for it.	Ef ég þarf ráð, þá spyr ég.
Son of a bitch!	Andskotans helvíti!
Told you.	Ég sagði þér það.
Stop that.	Hættu þessu.
Hi, Jack.	Halló, Jack.
I'm Juliet.	Ég heiti Juliet.
Hi.	Sæl.
I'm Jack Shephard.	Ég heiti Jack Shephard.
I'm here for the...	Ég er hérna vegna...
Where's your lawyer?	Hvar er lögfræðingurinn þinn?
You look pretty.	Þú lítur vel út.
I fired him.	Ég rak hann.
Sarah...	Sarah...
I'm sorry for pushing us to this place.	Mér þykir leitt að svona er komið.
I know that I...	Ég veit að...
Excuse me.	Fyrirgefðu.
I'm sorry.	Afsakaðu þetta.
Yeah?	Já?
No, not yet.	Nei, ekki ennþá.
He just got here.	Hann var að koma.
I'm gonna say this as simply as I can.	Ég ætla að einfalda þetta fyrir þig.
What's his name?	Hvað heitir hann?
Stop it.	Hættu þessu.
I'm not gonna stop it.	Ég hætti þessu ekki.
I'm gonna keep asking you until you tell me.	Ég held áfram að spyrja þar til þú svarar mér.
I don't ask you what you do...	Ég spyr þig ekki að...
Just tell me what his name is.	Segðu mér hvað hann heitir.
I wanna know who he is.	Ég vil vita hver hann er.
