BOOK I	FYRRI ÞÁTTUR
Michael remained thus on the look-out for some time.	Strogoff hélt áfram og sat lengi þannig, að hann hékk hálfur út úr vagninum.
About eleven o'clock lightning began to blaze continuously in the sky.	Þegar klukkan var ellefu um kvöldið fóru eldingar að fljúga um loftið í sífellu.
"At one o'clock in the morning if we ever get there at all," replied he, with a shake of his head.	»Klukkan eitt, ef við komumst þangað nokkurn tíma«, svaraði ökumaðurinn.
"No, I'm not afraid, but I repeat that I think you were wrong in starting."	»Ekki er ég það, en ég er á því enn, að þú hafir gert rangt, að leggja á fjöllin í nótt«.
"I should have been still more wrong had I stayed."	»Þó hefði ég gert enn meira rangt, ef ég hefði setst um kyrrt«.
"Hold up, my pigeons!" cried the iemschik;	»Herðið ykkur, dúfurnar mínar«, sagði þá ökumaður.
it was his business to obey, not to question.	Það var hans að hlýða, en ekki að þrátta.
The wind was unchained, but as yet it was the upper air alone which was disturbed.	Vindurinn var laus orðinn, en allur var hann enn hið efra, meðal regnskýjanna.
Successive crashes showed that many of the trees had been unable to resist the burst of the hurricane.	En hann var að nálgast og innan augnabliks kom brestur eftir brest, er sýndi að stórvaxin skógartré voru að bresta og brotna í ofveðrinu.
An avalanche of shattered trunks swept across the road and dashed over the precipice on the left, two hundred feet in front of the tarantass.	Á næsta augnabliki hljóp skriða af risa-trjám með braki og brestum fram yfir brautina tvö hundruð fet fyrir framan hestana og byltist þar fram af flugabjörgum.
The horses stopped short.	Hestarnir stóðu agndofa.
"Get up, my pretty doves!" cried the iemschik, adding the cracking of his whip to the rumbling of the thunder.	»Áfram, fallegu dúfurnar«, hrópaði ökumaðurinn og smellti svipunni.
Michael took Nadia's hand. "Are you asleep, sister?"	»Sefur þú, systir?« spurði Strogoff og leitaði að hönd hennar í myrkrinu.
The iemschik had no longer any control over his team.	Hann hafði ekkert vald yfir þeim lengur.
At that moment Michael Strogoff threw himself from the tarantass and rushed to his assistance.	Strogoff sá hvað um var að vera og henti sér út úr vagninum og fram fyrir hestana.
A perfect avalanche of stones and trunks of trees began to roll down the slope above them.	Í brekkunni fyrir ofan þá heyrðist skriðugangur ægilegur, er tré og grjót byltist fram. »Hér getum við ekki verið«, sagði Strogoff.
"Do not be afraid, Nadia!" cried Michael Strogoff.	»Vertu óhrædd, Nadía«, hrópaði Strogoff.
"I'm not afraid," replied the young Livonian, her voice not betraying the slightest emotion.	»Ég er ekki ögn hrædd«, svaraði hún, og var heldur ekki greint á rödd hennar að hún væri óttaslegin.
"No, we must go on!	Við höldum áfram!
Once past this turning, we shall have the shelter of the slope."	Ef við komumst fyrir þennan sveig, fáum við skýli undir berginu fyrir ofan«.
"But the horses won't move!"	»En hestarnir hreyfa sig ekki«.
"Do you mean to obey?"	»Skipar þú mér að hlýða?«
"The Father orders it!" answered Michael, for the first time invoking the all-powerful name of the Emperor.	Ökumaðurinn svaraði með því að tala til »dúfnanna« sinna og biðja þær að halda áfram.
"Forward, my swallows!" cried the iemschik, seizing one horse, while Michael did the same to the other.	Um leið tók hann í annan aftar hestinn og Strogoff í hinn.
Thus urged, the horses began to struggle onward.	Þannig til knúðir fóru hestarnir að brjótast áfram upp brekkuna.
They could no longer rear, and the middle horse not being hampered by the others, could keep in the center of the road.	Forustuhesturinn stóri brauzt nú einnig áfram ótilknúður, þegar hinir héldu honum ekki lengur aftur.
It was with the greatest difficulty that either man or beasts could stand against the wind, and for every three steps they took in advance, they lost one, and even two, by being forced backwards.	Svo var veðrið mikið, þó milli bylja væri, að fyrir hver þrjú skref áfram færðust þeir eitt eða jafnvel tvö skref aftur á bak.
They slipped, they fell, they got up again.	Þeir voru alltaf að hrasa eða detta og - standa upp aftur.
The vehicle ran a great risk of being smashed. If the hood had not been securely fastened, it would have been blown away long before.	Það lá við borð að vagninn færi í mola á hverju augnabliki og hefði ekki leðurhvelfingin verið reyrð eins vel og hún var, hefði hún fyrir löngu verið slitin burt.
Michael Strogoff and the iemschik took more than two hours in getting up this bit of road, only half a verst in length, so directly exposed was it to the lashing of the storm.	Þrátt fyrr kappsamlegt áframhald voru þeir Strogoff og ökumaðurinn fullar tvær klukkustundir að tosa hestunum og vagninum upp brekkuna upp undir klettahyrnuna í króknum, og var þó vegalengdin ekki nema hálf verst (290 faðmar); svona beint lá brautin á þessum kafla við hamremmis átökum vindarins.
"Oh, brother!" cried Nadia, who had seen it all by the light of the flashes.	»Bróðir!« hrópaði Nadía í vagninum, sem við þrumuljósið sá alt er gerðist út um glugga á leðurskýlinu.
"Nadia!" replied Michael, "fear nothing!"	»Vertu, óhrædd, Nadía!« svaraði Strogoff.
"It is not on my own account that I fear!"	»Sjálfrar mín vegna óttast ég ekkert, bróðir«, svaraði hún.
"God is with us, sister!"	»Guð er með okkur, systir!«
"With me truly, brother, since He has sent thee in my way!" murmured the young girl.	»Með mér sannarlega«, svaraði hún, »þar sem hann hefir sent mér þvílíkan bróður«.
Dragged, so to speak, by Michael and the iemschik, they toiled on towards a narrow pass, lying north and south, where they would be protected from the direct sweep of the tempest.	Þó var það sannast að þeir Strogoff og ökumaðurinn máttu sem næst draga hestana tvo til hliðanna til þess vagninn væri á hreyfingu.
The very violence of the storm makes me hope that it will not last long.	Ég vona líka, af því ofsinn er svo hræðilegur, að þetta veður endist ekki mjög lengi.
About three o'clock the day will begin to break, and the descent, which we cannot risk in the dark, we shall be able, if not with ease, at least without such danger, to attempt after sunrise."	Það fer að birta af degi kl. 3 í nótt, og eftir það getum við komizt slysalaust, þó ekki máske sem þægilegast niður austurhlíðar fjallanna«.
"Let us wait, brother," replied Nadia; "but if you delay, let it not be to spare me fatigue or danger."	»Þá skulum við bíða, »bróðir«, svaraði hún, »en ekki skaltu samt bíða mín vegna, eða til að létta þrautir mínar og þreytu«.
"Nadia, I know that you are ready to brave everything, but, in exposing both of us, I risk more than my life, more than yours, I am not fulfilling my task, that duty which before everything else I must accomplish."	»Ég veita það, Nadía, að það stendur ekki á þér, en með því að leggja okkur í hættu, legg ég meira í hættu en mig eða þig, því á ég á hættu að geta ekki unnið hlutverk mitt, hlutverk og skyldu, sem ég má til að láta sitja fyrir öllu«.
"A duty!" murmured Nadia.	»Skyldu?« tók Nadía upp spyrjandi.
Just as the last growlings of the thunder were lost in the recesses of the mountain, Michael felt Nadia's hand pressing his, and he heard her whisper these words in his ear:	Rétt í því að þessi ógna-þruma var að deyja út í fjallskörðunum, fann Strogoff að Nadía tók þétt um hönd hans.
"Cries, brother! Listen!"	»Ég heyri hróp og köll, »bróðir«, hlustaðu«.
CHAPTER XI TRAVELERS IN DISTRESS	XI. Ferðamenn í nauðum.
Michael listened attentively. The iemschik also listened, but shook his head, as though it was impossible to help.	Strogoff hlustaði með athygli og það gerði ökumaðurinn líka en hristi höfuðið, sem vott þess að öll líkn væri ómöguleg.
"They are travelers calling for aid," cried Nadia.	»Það eru ferðamenn að biðja um hjálp«, sagði Nadía.
"They can expect nothing," replied the iemschik.	»Þeir þurfa ekki að vonast eftir henni af okkar hálfu«, svaraði ökumaðurinn.
"Why not?" cried Michael. "Ought not we do for them what they would for us under similar circumstances?"	»Því ekki?« spurði Strogoff. »Eigum við ekki að gera fyrir þá, það sem við vildum að þeir gerðu fyrir okkur í sömu kringumstæðum?«
"Surely you will not risk the carriage and horses!"	»Sannarlega ferðu þó ekki að leggja hestana í hættu?« sagði ökumaður.
"I will go on foot," replied Michael, interrupting the iemschik.	»Ég fer fótgangandi«, tók Strogoff fram í.
"I will go, too, brother," said the young girl.	»Ég vil fara með þér, bróðir, sagdi Nadía.
"No, remain here, Nadia.	»Nei, vertu eftir, Nadía.
"You will find me where I now am." Michael pressed her hand, and, turning the corner of the slope, disappeared in the darkness.	Strogoff tók í hönd hennar og þrýsti að fast, hljóp svo út í myrkrið og hvarf á augnabliki fyrir klapparhornið.
"Your brother is wrong," said the iemschik.	»Bróðir þinn breytir ekki rétt«, sagði þá ökumaðurinn.
"He is right," replied Nadia simply.	»Jú, hann breytir einmitt rétt«, svaraði Nadía, og féll svo talið niður.
Meanwhile Strogoff strode rapidly on.	Strogoff hraðaði sér sem mest hann mátti.
If he was in a great hurry to aid the travelers, he was also very anxious to know who it was that had not been hindered from starting by the storm;	Var það hvorttveggja að hann vildi gjarnan koma mönnunum til hjálpar og hitt, að hann vildi gjarnan vita hverjir það voru, sem þannig lögðu á fjöllin undir nóttina og í útlitinu sem var um kvöldið.
for he had no doubt that the cries came from the telga, which had so long preceded him. The rain had stopped, but the storm was raging with redoubled fury.	Hann þóttist strax vita að það voru mennirnir í telga-vagninum sem hann allt af vildi ná og komast fram fyrir.
Even then, on account of the darkness, Michael could not see them, yet he heard distinctly their words.	Eftir fárra mínútna gang, heyrði Strogoff, að hann var rétt kominn til ferðamannanna, þó ekki gæti hann séð þá.
This is what he heard, and what caused him some surprise:	Allt í einu heyrði hann orðaskil og var það sem hann heyrði á þessa leið:
"Are you coming back, blockhead?"	»Ætlarðu að koma aftur nautshaus!«
"You shall have a taste of the knout at the next stage."	»Þú skalt svei mér fá að bragða á »knut«[* Knut er barefli Rússa, sem óbótamenn eru barðir með - hræðilegt morðvopn, ef böðullinn vill leggja sig fram til að kvelja bandingjann.] á næstu stöð«.
"Do you hear, you devil's postillion!	»Heyrir þú, þú armi póstþjónn!
"This is how a carriage takes you in this country!"	»Þannig fara fínu vagnarnir með mann í þessu landi!«
"Yes, this is what you call a telga!"	»Já, þetta, er það sem menn kalla telga!«
"You venture to laugh!" said the Briton angrily.	»Og þú getur hlegið að þessu«. sagði Englendingurinn.
"Yes, it undoubtedly is a good joke.	»Já, það er svei mér góður hrekkur!
This machine certainly never came from France."	En víst kom þessi maskína ekki frá Frakklandi!«
"Nor from England," replied the other.	»Ekki kom hún frá Englandi!« svaraði hinn.
On the road, by the light of the flashes, Michael saw, twenty yards from him, two travelers, seated side by side in a most peculiar vehicle, the wheels of which were deeply imbedded in the ruts formed in the road.	Við þrumuljósin sá nú Strogoff hvar tveir menn sátu í tíu faðma fjarlægð og rétt hjá þeim var vagn með hjólin til hálfs sokkin í leðju niðri í grafningi.
He approached them, the one grinning from ear to ear, and the other gloomily contemplating his situation, and recognized them as the two reporters who had been his companions on board the Caucasus.	Hann nálgaðist þá og þekkti þegar að það voru fregnritararnir, sem hann hafði kynnzt áður. - Það voru þeir, sem þannig spertu sig á undan honum frá Perm.
Let me introduce you to my intimate enemy, Mr. Blount."	Láttu mig gera þig kunnugan handgengnum óvin mínum, Mr.
The English reporter bowed, and was about to introduce in his turn his companion, Alcide Jolivet, in accordance with the rules of society, when Michael interrupted him.	Blount!« Englendingurinn hneigði sig og var í þann veginn að kynna aðkomumanninn Jolivet, þegar Strogoff tók fram í fyrir honum.
But may I know what has happened which, though a misfortune to your companion, amuses you so much?"	»Nikulás Korpanoff, kaupmaður frá Irkutsk«, svaraði Strogoff, og hélt svo áfram: »En má ég spyrja hvað það er, sem kætir þig svo mjög, þó að það sé stór óhagur fyrir félaga þinn?«
"Certainly, Mr. Korpanoff," replied Alcide.	»Auðvitað, Mr.
"Fancy! our driver has gone off with the front part of this confounded carriage, and left us quietly seated in the back part!	Korpanoff«, svaraði Frakkinn. »Hugsaðu þér bara, að ökumaðurinn okkar hefði látið sér lynda að halda áfram leiðar sinnar með framhlutann einungis af þessari horngrýtis »maskínu«, en við sitjum eftir með afturpartinn.
So here we are in the worse half of a telga; no driver, no horses.	Við höfum þannig verri hlutann af telga-vagni, höfum enga hesta og engann ökumann.
Is it not a joke?"	Eru þetta ekki glettur?«
"No joke at all," said the Englishman.	»Ég get enga glettni séð í því«, sagði Englendingurinn.
"Indeed it is, my dear fellow. You do not know how to look at the bright side of things."	»En þó er það svo, góðurinn minn; þú ert bara ónýtur til að sjá björtu hliðina«.
"How, pray, are we to go on?" asked Blount.	»Og hvernig eigum við að halda, áfram ferðinni?« spurði Englendingurinn.
"That is the easiest thing in the world," replied Alcide.	»Enginn hlutur auðveldari«, svaraði Frakkinn.
"Go and harness yourself to what remains of our cart; I will take the reins, and call you my little pigeon, like a true iemschik, and you will trot off like a real post-horse."	Þú bara tengslar þig við hjólin, ég sezt upp í, tek taumana og kalla þig »dúfuna mína« með meiru, eins og sannur ökumaður og svo brokkar þú brautina eins og pósthestur!«
and call me a broken-winded snail and faint-hearted tortoise if I don't take you over the ground at a rattling pace."	Þegar þú ert uppgefinn orðinn, tek ég til að draga, en þú hefir taumhaldið, og máttu þá kalla mig útpískaðan snígil og þreklausa skelpöddu, ef ég fer ekki nógu hart«.
Alcide said all this with such perfect good-humor that Michael could not help smiling. "Gentlemen," said he, "here is a better plan.	Allt þetta sagði Frakkinn í svo græzkulausu gamni, að Strogoff gat ekki annað en brosað, en svo sagði hann: »Til eru betri ráð.
We have now reached the highest ridge of the Ural chain, and thus have merely to descend the slopes of the mountain.	Við erum nú á hæsta hrygg fjallanna og eigum því héðan undan fæti.
My carriage is close by, only two hundred yards behind.	Minn vagn er svo sem 50 faðma héðan og vil ég ljá ykkur einn af mínum hestum.
I will lend you one of my horses, harness it to the remains of the telga, and to-mor-how, if no accident befalls us, we will arrive together at Ekaterenburg."	Gangi allt slysalsaust, komum við þá jafnsnemma til Ekaterenborgar á morgun«.
"That, Mr. Korpanoff," said Alcide, "is indeed a generous proposal."	»Þetta er drengilega mælt«, sagði Frakkinn.
"Indeed, sir," replied Michael, "I would willingly offer you places in my tarantass, but it will only hold two, and my sister and I already fill it."	»Ég hefði boðið ykkur sæti í vagni mínum, en þar er ekki rúm fyrir fleiri en tvo, og systir mín er með mér«.
"Really, sir," answered Alcide, "with your horse and our demi-telga we will go to the world's end."	»Hreinn óþarfi líka«, sagði Frakkinn aftur. »Með hest þinn fyrir telga-helmingi getum við farið heiminn á enda«.
"Sir," said Harry Blount, "we most willingly accept your kind offer. And, as to that iemschik-"	»Við tökum þínu göfuga boði með þökkum, herra minn! sagði þá Englendingurinn. »En hvað þennan ökumann snertir ...«.
"Oh! I assure you that you are not the first travelers who have met with a similar misfortune," replied Michael.	»Ég get fullvissað þig um að þið eruð ekki þeir fyrstu ferðamenn, sem verða fyrir öðru eins«, svaraði Strogoff.
"But why should not our driver come back?	»En því í ósköpunum snýr ökumaðurinn ekki aftur.
He never suspected such a thing."	Hann hefir ekki hugmynd um það«.
"Did I not tell you that it was a good joke, confrere?" cried Alcide.	»Sagði ég þér ekki, félagi, að þetta væri allra bezta glettni«, sagði þá Frakkinn.
"Then, gentlemen, if you will follow me," said Michael, "we will return to my carriage, and-"	»Jæja, herrar mínir, ef þið viljið koma, skulum við halda til vagns míns«, sagði Strogoff.
"But the telga," observed the Englishman.	»En hvað um þessa telga?« spurði Englendingurinn.
"There is not the slightest fear that it will fly away, my dear Blount!" exclaimed Alcide; "it has taken such good root in the ground, that if it were left here until next spring it would begin to bud."	»Engin hætta á að hún fljúgi burtu«, sagði Frakkinn. »Hún hefir tekið sér svo djúpar rætur, að ef við skildum hana eftir til næsta vors, færu nýir kvistir að vaxa út úr henni«.
"Come then, gentlemen," said Michael Strogoff, "and we will bring up the tarantass."	»Komið þá, herrar mínir«, sagði Strogoff, »og skulum við færa minn vagn hingað«.
The Frenchman and the Englishman, descending from their seats, no longer the hinder one, since the front had taken its departure, followed Michael.	Fregnritararnir stigu nú fyrst niður úr sæti sínu, sem nú var ekki baksæti lengur, síðan ökumaðurinn fór með það fremra, og gengu af stað með Strogoff.
"Well, sir, you have done us a good turn, and if you are going farther we may possibly meet again, and-"	»Ja, þú hefir nú gert vel samt, og ef þú ætlar austur eftir sléttunum, er hugsanlegt að við hittumst síðar og - - -«.
"Exactly so, Mr. Korpanoff; and we may possibly meet there."	Korpanoff. Ef til vill hittumst við þar«.
"Indeed, sir," replied Michael, "I have little love for cannon-balls or lance points, and am by nature too great a lover of peace to venture where fighting is going on."	»Satt sagt, herrar mínir, hefi ég litla löngun til að vera þar sem byssukúlur og lensubroddar eru á ferðinni.
"Do you go on to Omsk?" asked Michael, after a moment's reflection.	»Farið þið um Omsk?« spurði Strogoff eftir litla þögn.
"We know nothing as yet," replied Alcide; "but we shall certainly go as far as Ishim, and once there, our movements must depend on circumstances."	»Það er allt óráðið enn«, svaraði Frakkinn. »Það eitt er víst, að við förum til Ishim, hvað sem við gerum, er þar kemur«.
"Well then, gentlemen," said Michael, "we will be fellow-travelers as far as Ishim."	»Jæja, herrar mínir, við verðum þá samferða til Ishim fyrst og fremst«.
Michael would certainly have preferred to travel alone, but he could not, without appearing at least singular, seek to separate himself from the two reporters, who were taking the same road that he was.	Strogoff hefði miklu fremur kosið að ferðast einsamall, en það hefði litið einkennilega út, hefði hann neitað samfylgd fregnritaranna, úr því þeir fóru alveg sömu leið og hann.
You must hurry if you wish to get to Omsk before them."	Þú mátt hraða þér, ef þú vilt verða á undan uppreistarmönnunum til Omsk«.
"Indeed I must," replied Michael.	»Ja, ég skyldi nú halda það«, svaraði Strogoff.
"It is reported also that Colonel Ogareff has succeeded in passing the frontier in disguise, and that he will not be slow in joining the Tartar chief in the revolted country."	»Það er enn fremur sagt, að Ogareff óberst hafi tekist að smjúga um vörðinn á landamærunum og sé kominn austur og verði áður en langt líður tekinn við stjórn tartara-hersins«.
"But how do they know it?" asked Michael, whom this news, more or less true, so directly concerned.	»En hvernig vita menn þetta?« spurði Strogoff alvarlega, því þetta snerti hann að meira en litlu leyti.
"Oh! as these things are always known," replied Alcide; "it is in the air."	»Ja, það veit nú eiginlega enginn, en allt þesskonar fréttist æfinlega;
"Then have you really reason to think that Colonel Ogareff is in Siberia?"	það liggur í loftinu«. »Svo þið hugsið þá að Ogareff sé kominn austur yfir fjöll?«
"I myself have heard it said that he was to take the road from Kasan to Ekaterenburg."	»Ég hefi heyrt, að hann hafi farið austur um land frá Kasan«.
"Ah! you know that, Mr. Jolivet?" said Harry Blount, roused from his silence.	»Svo þú hefir þá heyrt þetta líka«, tók Englendingurinn fram í, sem til þessa hafði gengið þegjandi.
"I knew it," replied Alcide.	»Ég vissi það, já«, svaraði Frakkinn.
"And do you know that he went disguised as a gypsy!" asked Blount.	»Vissirðu þá líka, að hann var í giftabúningi og slapp þannig? spurði Englendingurinn.
"As a gypsy!" exclaimed Michael, almost involuntarily, and he suddenly remembered the look of the old Bohemian at Nijni-Novgorod, his voyage on board the Caucasus, and his disembarking at Kasan.	»Í gifta-búningi! hrópaði Strogoff upp yfir sig, fyrr en hann athugaði við hverja hann talaði. Og undir eins minntist hann stóra giftans, sem hann átti við í Nisni Novgorod og sem fór með Kákasus suður til Kasan.
"Just well enough to make a few remarks on the subject in a letter to my cousin," replied Alcide, smiling.	»Ég vissi svo mikið um það, að ég gat minnst á það í bréfi til »frænku«, svaraði Frakkinn.
"You lost no time at Kasan," dryly observed the Englishman.	»Já, þú eyddir ekki tímanum til ónýtis í Kasan«, sagði Englendingurinn þurrlega.
"No, my dear fellow! and while the Caucasus was laying in her supply of fuel, I was employed in obtaining a store of information."	»Nei, góðurinn minn! Á meðan Kákasus var að afla sér eldsneytis, aflaði ég mér frétta!«
Michael no longer listened to the repartee which Harry Blount and Alcide exchanged.	Strogoff hlustaði ekki lengur á þessa þrætu fréttaritaranna.
He was thinking of the gypsy troupe, of the old Tsigane, whose face he had not been able to see, and of the strange woman who accompanied him, and then of the peculiar glance which she had cast at him. Suddenly, close by he heard a pistol-shot.	Hann var að hugsa um gifta-flokkinn, sem yfirgaf Kákasus í Kasan, um konuna hávöxnu, sem horfði á hann svo einkennilega, þegar hann heyrði skammbyssuskot fá skref frá sér.
"Ah! forward, sirs!" cried he.	»Áfram, herrar mínir!«
"Hullo!" said Alcide to himself, "this quiet merchant who always avoids bullets is in a great hurry to go where they are flying about just now!" Quickly followed by Harry Blount, who was not a man to be behind in danger, he dashed after Michael.	»Hvað er nú!« hugsaði Frakkinn. »Þessi kaupmaður hræðist vopnaglamur og kúlnahríð, og þó flýtir hann sér þangað, sem þær eru, á ferðinni!« En hann sagði ekkert, heldur tók á rás á eftir Strogoff og svo gerði Englendingurinn, sem ekki vildi láta standa á sér, ef á liði þyrfti að halda.
In another instant the three were opposite the projecting rock which protected the tarantass at the turning of the road.	Innan fárra augnablika voru þeir allir komnir að klapparhorninu þar sem vagninn var.
The clump of pines struck by the lightning was still burning. There was no one to be seen.	Furutrjáklasinn, sem eldingin hafði kveikt í, var enn í björtu báli, en enginn maður var sýnilegur.
And drawing his cutlass from his belt, Michael bounded round the buttress behind which the young girl had promised to wait.	»Bjarndýr!« hrópaði Strogoff, sem þekkti röddina. »Nadía, Nadía!« Um leið og hann kallaði, dró hann bjarnarsveðjuna úr belti sínu, og fór á harða hlaupi í áttina til skútans, þar sem Nadía hafði lofað að bíða.
The pines, completely enveloped in flames, threw a wild glare on the scene.	Furutrjá-loginn lýsti upp klettaþröngina alla, þó birtan væri ekki skýr.
As Michael reached the tarantass, a huge animal retreated towards him. It was a monstrous bear.	Þegar Strogoff kom að vagninum, hoppaði stórvaxinn Síberíu-björn út frá klöppinni og stefndi á hann.
The tempest had driven it from the woods, and it had come to seek refuge in this cave, doubtless its habitual retreat, which Nadia then occupied.	Óveðrið hafði hrakið hann úr skóginum og hefir hann sjálfsagt átt heimi1i í skútanum, sem Nadía var í.
Two of the horses, terrified at the presence of the enormous creature, breaking their traces, had escaped, and the iemschik, thinking only of his beasts, leaving Nadia face to face with the bear, had gone in pursuit of them.	Þegar hestarnir sáu bjarndýrið, ærðust þeir algerlega og slitu sig lausa. Tveir þeirra voru tíndir og hafði ökumaðurinn farið að elta þá, en lét Nadíu eina eftir til að verjast birninum.
But the brave girl had not lost her presence of mind. The animal, which had not at first seen her, was attacking the remaining horse.	Í stað þess að æðrast, enda hafði björninn ekki séð hana strax, en hafði ráðist á þann hestinn, sem eftir stóð, stökk hún út úr skútanum og sótti aðra pístólu Strogoffs í vagninn, gekk svo með hana fast upp að dýrinu og hleypti af.
Nadia, leaving the shelter in which she had been crouching, had run to the carriage, taken one of Michael's revolvers, and, advancing resolutely towards the bear, had fired close to it.	Kúlan kom í bóg bjarnarins, sem þegar reiddist og sneri sér að vegandanum, en slepti hestinum.
This was the report which Michael had just heard. In an instant he was on the spot. Another bound and he was between the bear and the girl.	Þetta var skotið, sem leiðbeindi Strogoff, og var hann nú á næsta augnabliki kominn á milli meyjarinnar og dýrsins.
"Most masterly, indeed," added Blount.	»Já, með frábærri snilld«, bætti Englendingurinn við.
"In Siberia," replied Michael, "we are obliged to do a little of everything."	»Ójá, í Síberíu neyðast menn til að leggja alla hluti á gerva hönd!« svaraði Strogoff.
Alcide regarded him attentively. Seen in the bright glare, his knife dripping with blood, his tall figure, his foot firm on the huge carcass, he was indeed worth looking at. "A formidable fellow," said Alcide to himself. Then advancing respectfully, he saluted the young girl.	Frakkinn athugaði hann hátt og lágt með nákvæmni, og hann var þess virði, og engan veginn Síberíu-kaupmannlegur, þar sem hann stóð með annan fótinn á dýrsskrokknum og með hnífsveðjuna í hendinni, dreyrrauða af blóðinu. »Hann er ekki árennilegur andvígismaður«, hugsaði Frakkinn um leið og hann nálgaðist Nadíu, þreif af sér hattinn og hneigði sig fyrir henni.
Nadia bowed slightly. Alcide turned towards his companion.	Nadía hneigði sig, en ekki nema lítið.
said he. "Now, were I a bear, I should not meddle with two so brave and so charming."	»Systirin verðskuldar annan eins bróður!« sagði Frakkinn við félaga sinn og hélt svo áfram: »Væri ég bjarndýr, mundi ég ekki ráðast á önnur eins systkini, sem eru undir eins svo aðlaðandi og svo djörf«.
"All right, my friend," said Alcide, who understood the insinuation, "we will pay double."	»Gott og vel, vinur!« greip Frakkinn fram í, »við skulum borga tvöfalda upphæð!«
"Then gee up, my turtle-doves!" cried the iemschik.	»Áfram þá aftur, litlu dúfurnar mínar!« sagði ökumaðurinn.
Nadia again took her place in the tarantass. Michael and his companions followed on foot.	Nadía hafði tekið sæti sitt í vagninum, en Strogoff og fréttaritararnir fóru fótgangandi.
It was three o'clock.	Klukkan var nú orðin þrjú og stormurinn var óðum að réna.
The first person the reporters perceived at the door of the post-house was their iemschik, who appeared to be waiting for them.	Hann stóð í dyrunum og var sem hann biði eftir þeim.
This worthy Russian had a fine open countenance, and he smilingly approached the travelers, and, holding out his hand, in a quiet tone he demanded the usual "pour-boire."	Það var myndarlegur maður, og gekk hann nú brosandi á móti þeim, rétti fram hægri hendina og bað um sín venjulegu aukalaun, eins og ekkert hefði í skorist.
This very cool request roused Blount's ire to its highest pitch, and had not the iemschik prudently retreated, a straight-out blow of the fist, in true British boxing style, would have paid his claim of "na vodkou."	Þessi ósvífni gekk svo fram af Englendingnum, að hefði ökumaðurinn ekki hopað, mundi hann hafa farið flatur undan vel rösklegu hnefahöggi.
Then drawing several copecks from his pocket, "Here my friend," said he, handing them to the iemschik; "take them.	Svo dró hann fjölda marga kópeka, upp úr vasa sínum og fékk ökumanninum. »Hérna vinur«, sagði hann, »taktu þetta.
If you have not earned them, that is not your fault."	Hafirðu ekki beinlínis unnið fyrir þeim, þá tel ég það ekki þína skuld«.
This redoubled Mr. Blount's irritation. He even began to speak of a lawsuit against the owner of the telga.	Af þessu reiddist Englendingurinn enn meir og fór jafnvel að tala um lögsókn á hendur eiganda vagnsins.
"A lawsuit in Russia, my dear fellow!" cried Alcide. "Things must indeed change should it ever be brought to a conclusion!	»Lögsókn í Rússlandi, góðurinn minn!« sagði Frakkinn. »Þá er víst stór breyting á komin, ef það mál yrði nokkurntíma útkljáð!
Did you never hear the story of the wet-nurse who claimed payment of twelve months' nursing of some poor little infant?"	Hefirðu aldrei heyrt söguna um barnfóstruna, sem heimtaði laun sín fyrir að hafa tekið við hvítvoðungi og fóstrað hann árlangt?«
"I never heard it," replied Harry Blount.	»Nei, ég hefi aldrei heyrt hana«.
"Then you do not know what that suckling had become by the time judgment was given in favor of the nurse?"	»Svo þú veizt þá ekki heldur, hvað orðið var úr hvítvoðungnum, þegar dómstóllinn úrskurðaði, að konan ætti að fá launin?«
"What was he, pray?"	»Nei. Hvað var hann þá?«
"Telga, a Russian carriage with four wheels, that is when it starts; with two wheels, when it arrives at its destination."	»Telga, rússneskur vagn með fjórum hjólum, það er að segja, þegar ferðin er hafin, en með tveimur þegar hann kemur á endastöðina.
CHAPTER XII PROVOCATION	XII. Fyrsta þrautin.
EKATERENBURG, geographically, is an Asiatic city; for it is situated beyond the Ural Mountains, on the farthest eastern slopes of the chain.	Ef eðlileg landamerki réðu, Væri Ekaterenborg Asíubær, af því að hann er fyrir austan Uralfjöll - austast á hjöllunum, sem mynda fjallaræturnar.
Nevertheless, it belongs to the government of Perm; and, consequently, is included in one of the great divisions of European Russia.	Þó er nú svo, að bærinn er í Perm umdæminu og tilheyrir þannig einu hinna miklu héraða Rússlands.
It is as though a morsel of Siberia lay in Russian jaws.	Það er eins og hinn rússneski björn héldi þar litlum bita af Síberíu á milli tannanna.
Neither Michael nor his companions were likely to experience the slightest difficulty in obtaining means of continuing their journey in so large a town as Ekaterenburg.	Strogoff og þeir félagar voru hressir í huga, því ekki var að búast við eklu á hestum né ökumönnum í Ekaterenborg, sem er allstór bær.
It was founded in 1723, and has since become a place of considerable size, for in it is the chief mint of the empire.	Hann var fyrst grundvallaður 1723 og hefir síðan tekið miklum þroska og er nú þar aðalból peningasláttuhúsa veldisins.
and he had only to harness three good horses to it to take him swiftly over the road to Irkutsk. As far as Tioumen, and even up to Novo-Zaimskoe, this road has slight inclines, which gentle undulations are the first signs of the slopes of the Ural Mountains.	Hann hafði því sem fyrri, ekki annað að gera en fá þrjá hesta góða og ökumann, til að þeyta sér áfram slétturnar til Irkutsk.
for my sister and I are going to rejoin our mother.	Við systkinin eigum þar von á að hitta móður okkar.
Who can say whether we shall arrive before the Tartars reach the town!	Og hver getur sagt, að við náum þangað á undan Törturunum.
