We both know it.	Við vitum það bæði.
Officer?	Lögreglumaður?
Smells like marijuana to me.	Mér finnst þetta vera maríjúanalykt.
Write it up, Ruck.	Skrifaðu þetta, Ruck.
It's empty.	Þetta er tómt.
You can't cite me for possession of a baggie.	Það er ekki hægt að kæra mig fyrir að eiga poka.
The killer's here!	Morðinginn er hér!
The killer's in my house!	Morðinginn er í húsinu mínu!
Okay, Dukey.	Jæja, Dukey.
Everything's gonna be okay.	Allt verður í lagi.
Come on, come on.	Komdu nú.
Everything's going to be fine.	Þetta verður í lagi.
Yes, it is.	Já, það er í lagi.
All right, boy.	Jæja, drengur.
He's not dead!	Hann er ekki dauður!
Duke!	Duke!
Come on, lay down!	Leggstu!
Get down, Duke!	Leggstu, Duke!
All right.	Allt í lagi.
Hold on, Duke.	Bíddu, Duke.
Hold on.	Bíddu.
Where's the phone?	Hvar er síminn?
Run, Duke, run!	ER UNDIR RÚMINU Hlauptu, Duke!
He's under the bed!	Hann er undir rúminu!
Mom?	Mamma?
Dad?	Pabbi?
What's the matter?	Hvað er að?
Bad shrooms?	Dreymdi þig illa?
You got a fever?	Ertu með hita?
Here you go.	Hérna.
I'm going to show you. Oh, man!	Ég skal sýna þér þetta.
I love this video.	Hamingjan góða.
I didn't think they could show it anymore.	Ég er hrifinn af þessu myndbandi en það sést svo sjaldan.
Guys!	Heyrið þið!
Someone killed my parents!	Einhver drap foreldra mína!
This is the best part.	Þetta er besti kaflinn.
Shake them, baby.	Hristu þau, elskan.
Look!	Sjáið!
Look! Shit!	Fjárinn.
Yeah, you see?	Þarna sérðu.
Mr. Tobias?	Hr. Tobias?
Miss T.?	Ungfrú T?
Is this some kind of Halloween gag?	Er þetta hrekkjavökufyndni?
Your parents always go all out.	Foreldrar þínir fara alltaf út.
What the fuck are you doing?	Hvern fjandann ertu að gera?
That's my dad!	Þetta er pabbi minn!
CPR, man.	Lífgunartilraunir.
I saw it on Baywatch.	Ég sá þetta í Strandvörðunum.
Check it out.	Líttu á.
A clue."	Vísbending.
Ant "?	MAUR Maur?
They were killed by ants?	Drápu maurar þau?
Please, don't be stupid.	Ekki vera heimskur.
Do you have an evil aunt?	Áttu illa frænku?
Holy shit!	Hvert í hoppandi.
Are those ears?	Eru þetta eyru?
The killer was wearing your shirt.	Morðinginn klæddist skyrtunni þinni.
The killer was wearing me.	Morðinginn klæddist mér.
I'm the killer.	Ég er morðinginn.
I'm gonna call 911.	Ég hringi í 911.
What's the number?	Hvað er númerið þar?
There's something wrong with my friend.	Það er eitthvað að vini mínum.
I think he took some nutmeg or something.	Ég held hann hafi tekið múskat eða eitthvað.
Mick, buddy.	Mick, vinur.
I would remember something like that.	Ég myndi eitthvað slíkt.
You would.	Þ ú myndir gera það.
I'm not the killer. You know?	Ég er ekki morðinginn.
Yeah, I know.	Ég veit það.
But if O.J. Could get off, then I'm sure...	En úr því O.J. Slapp er ég viss um...
Do you want a beer?	Viltu bjór?
No, thanks.	Nei, þakka þér fyrir.
You sure?	Ertu viss?
Talk to me!	Talaðu við mig.
What the hell is happening to me?	Hver fjárinn er að koma fyrir mig?
Pnub, man.	Pnub, maður.
I didn't do it.	Þá það.
Okay, I did it.	Ég gerði það.
But it was an accident.	En þetta var slys.
I can't believe you told me to smoke that shit!	Ég trúi ekki að þú hafir sagt mér að reykja þennan óþverra.
Okay, Anton.	Jæja, Anton.
I have to leave now.	Nú verð ég að fara.
Yeah, that's probably a good idea.	Það er líklega skynsamlegt.
It's the basement!	Þetta er kjallarinn.
You can't get out that way!	Þ ú kemst ekki þá leið út.
Why are you doing this?	Af hverju gerirðu þetta?
I don't know!	Ég veit það ekki.
It's me, Pnub!	Þetta er ég, Pnub!
Your buddy!	Vinur þinn!
I know who you are.	Ég veit hver þú ert.
I don't want to hurt you.	Ég vil ekki gera þér mein.
Then don't!	Gerðu það þá ekki.
It's not me!	Þetta er ekki ég.
It's my hand!	Það er höndin á mér.
It's like I have no control over my hand!	Það er eins og ég hafi enga stjórn á hendinni.
I don't know how long I can hold it.	Ég veit ekki hve lengi ég hef hemil á henni.
Run!	Flýðu!
Get out of my way!	Vertu ekki fyrir mér.
Just go!	Farðu bara.
It's going to be okay.	Þetta verður í lagi.
I won't tell anybody.	Ég segi engum það.
I swear.	Ég lofa því.
Everything will be cool.	Allt verður í lagi.
What have I done?	Hvað hef ég gert?
Get out of here, Bones!	Farðu burt, Beini!
Sorry about your bush.	Leitt með runnann þinn.
No problem.	Það er í lagi.
What were you doing out there anyway?	Hvað varstu annars að gera þarna?
Jesus, look at you!	Jesús. Hvað er að sjá þig?
I was looking for my cat.	Ég leitaði að kettinum mínum.
We got in a fight.	Við lentum í áflogum.
You sure got your ass kicked.	Þ ú tapaðir illa.
I did okay.	Ég stóð mig vel.
So you ran and hid in my bush.	Þ ú flýðir þá og faldir þig í runnanum mínum.
I shouldn't be here.	Ég ætti ekki að vera hér.
I'm not myself today.	Ég er ekki með sjálfum mér í dag.
I'm someone completely different.	Ég er allt annar maður.
You're so shy.	Þ ú ert svo feiminn.
It's okay.	Það er í lagi.
I get it.	Ég skil.
So let's skip this chickening-out, sneaking-around stage.	Sleppum þessu stigi skræfuskapar og læðupokaháttar.
No, you don't understand.	Nei, þú skilur ekki.
I'm...	Ég er...
Do you want to come inside and talk?	Viltu koma inn og tala við mig?
You never gave me a chance to thank you.	Þ ú leyfðir mér ekki að þakka þér.
That book is important to me.	Bókin skiptir mig miklu.
They're amazing.	Þeir eru ótrúlegir.
Look, I even got my favourites memorized.	Ég lærði jafnvel þá sem mér þóttu bestir.
Devil girl with nothing to lose She got wind in her hair And gum on her shoes I was 13 when I wrote that.	Djöflastelpa hefur engu að tapa Vindur þytur um hár hennar og tyggjó er á skónum Ég var 13 ára þegar ég samdi þetta.
Yeah, well they're amazing.	Nú, jæja þetta var ótrúlegt.
Thanks.	Þakka þér fyrir.
I should not be here, Molly.	Ég ætti ekki að vera hér, Molly.
Safer in here than on the streets.	Öruggari hér inni en á götunum.
There's a killer out there.	Þar er morðingi á ferð.
That's exactly what I'm saying.	Ég segi það einmitt.
I'm dangerous.	Ég er hættulegur.
Oh, yeah?	Jæja?
How dangerous?	Hve hættulegur?
I'm not kidding.	Ég spauga ekki.
I've done stuff, you know?	Ég hef gert margt, veistu.
I'm impressed.	Ég er hrifin.
I never would've thought you 'd have the balls to just grab me like that.	Ég hélt ekki að þú þyrðir að grípa svona í mig.
Me either.	Ég ekki heldur.
You're kinky.	Þ ú ert afbrigðilegur.
That's me.	Já, ég er það.
Move it, people! Let's go!	Áfram með ykkur, gott fólk!
Some of us are on serious missions here.	Sumir okkar eru hér í alvarlegum erindagerðum.
There's evil out there, and I gotta kick its ass!	Þarna er eitthvað illt á ferð og ég ætla að uppræta það!
Shit, my parents are home.	Foreldrar mínir eru heima.
We'll have to pick this up later.	Höldum þessu áfram síðar.
My parents might take offense to some bloody boy banging their daughter.	Foreldrar mínir gætu móðgast af því að strákur ríður dóttur þeirra.
Tomorrow.	Á morgun.
You want to see me?	Viltu hitta mig?
Come by at 7.	Komdu klukkan sjö.
The curfew's annihilated our options, but we can go to the dance.	Útgöngubannið eyðilagði fyrir okkur en við getum farið á ballið.
I thought you said the streets weren't safe.	Sagðirðu ekki að göturnar væru ekki öruggar?
I'll protect you.	Ég vernda þig.
Dearly beloved we're gathered here today because you're all dead.	Kæru vinir. Við erum hér saman komin í dag af því að þið eruð öll dauð.
And it's my fault.	Og ég á sök á því.
Mom, Dad what can I say?	Mamma og pabbi hvað get ég sagt?
I mean you brought me into this world you put a roof over my head, you fed me until I killed you.	Þið komuð mér í heiminn. Þið veittuð mér þak yfir höfuðið og nærðuð mig uns ég drap ykkur.
If you look at it that way, I haven't been a good son, but I'm really really, really sorry.	Ef litið er á það þannig hef ég ekki verið góður sonur en mér þykir það mjög leiðinlegt.
And wherever you are I just want you to forgive me because I'm gonna try to change.	Hvar sem þið eruð vil ég að þið fyrirgefið mér því ég ætla að reyna að breyta mér.
Mick Pnub, guys...	Mick... Pnub, strákar.
You guys were the greatest.	Þið voruð frábærir.
I'm never going to forget the way we sat around all day, watched TV and got really stoned.	Ég gleymi aldrei þegar við sátum heilu dagana við sjónvarpið og vorum rammskakkir.
And all those other times where we just...	Og í öll hin skiptin þegar við bara...
I guess that's all we did.	Ég held við höfum ekki gert annað.
Amen.	Amen.
Over here.	Hérna.
Anton, help me.	Anton, hjálpaðu mér.
Come on, man.	Komdu, maður.
I can't breathe down here.	Ég get ekki andað hérna.
Anton, can you hear me?	Anton, heyrirðu í mér?
Yeah, man, Mick.	Já, Mick.
Now get me out of here.	Hjálpaðu mér út héðan.
You're dead.	Þ ú ert dauður.
No, I'm not.	Ég er það ekki.
You conked my head pretty good.	Þ ú lamdir mig illa í hausinn.
I must've been unconscious.	Ég hlýt að hafa rotast.
You think?	Heldurðu það?
I know, fucker.	Ég veit það, asni.
Now dig me up!	Grafðu mig upp.
Stay where you are, Mick!	Vertu þar sem þú ert, Mick.
Please don't kill me.	Ekki drepa mig.
Watch it, man!	Varlega, maður!
What did I take last night?	Hvers neytti ég í gærkvöldi?
That dream was intense.	Draumurinn var magnaður.
Intense.	Magnaður.
Turn it up.	Hækkaðu á þessu.
Check it out.	Horfðu á það.
Yeah, I'm watching.	Já, ég horfi.
Did you see?	Strákar!
Guys! That's funny.	Þetta er sniðugt.
Thank God you're alive, because I had this dream that I killed...	Guði sé lof að þið eruð á lífi. Mig dreymdi að ég hefði drepið...
Sorry about that thing with the shovel.	Fyrirgefðu þetta með skófluna.
You're dead.	Þ ú ert dauður.
Easy, tiger.	Hægan, tígur.
You killed me, all right?	Þ ú drapst mig.
Try and keep this thing in perspective.	Reyndu að sjá þetta í réttu samhengi.
I was bitter about the getting-killed-by-my-best-friend thing.	Ég varð bitur þegar besti vinur minn drap mig.
But I got over it.	En það leið hjá.
So why you here?	Af hverju ertu hér?
We need a place to kick it.	Við þurfum stað til að hamast á.
Don't be selfish.	Enga sjálfselsku.
No one else's parents are dead.	Enginn annar hefur misst foreldra sína.
No, not why are you "here" here.	Ekki af því að þið eruð hér.
I mean are you flesh-eating zombies back from hell to exact revenge?	Ég á við eruð þið uppvakningar úr víti, komnir til að hefna ykkar?
Is that it?	Er það málið?
Why would we go to hell?	Af hverju ættum við að fara til helvítis?
We're not bad.	Við erum ekki slæmir.
It's not like we're good, but at least we don't kill people!	Við erum ekki góðir en við drepum ekki fólk.
I didn't kill anybody on purpose.	Ég drap engan viljandi.
Yeah, well, we weren't in hell.	Við vorum ekki í helvíti.
There was this bright light at the end of a long tunnel.	Það var skær birta við enda löngu ganganna.
There were all these chicks' voices. And that music.	Ég heyrðu stelpuraddir og heyrði tónlist.
Music?	Tónlist?
Kind of uncool music, like Enya.	Hálflummulega eins og hjá Enya.
And these chicks were saying "Come to us.	Og stelpurnar sögðu: "Komdu til okkar.
Come towards the light."	Komdu í ljósið."
So what happened?	Hvað gerðist svo?
We figured, fuck it.	Við hugsuðum: Fjandinn.
I mean, it was really far.	Þetta var mjög langt í burtu.
I've got to ask.	Ég verð að spyrja.
What's with the hand?	Hvað er með höndina?
It doesn't obey me at all.	Hún hlýðir mér alls ekki.
The only thing I can come up with is, it's possessed.	Mér dettur aðeins í hug að hún sé haldin illum anda.
Do you guys know anything about Satan or evil or...?	Vitið þið eitthvað um Satan, illsku eða...?
No.	Nei.
But we know somebody who does.	En við vitum hver hefur vit á þessu.
Did you know them well?	STÓRBRL Þekktuð þið þá vel?
Not really.	Eiginlega ekki.
You?	Þ ú?
Yeah, they were great.	Þeir voru frábærir.
I just feel really bad, you know, because I was always so mean to them.	Mér líður illa því ég var alltaf svo vond við þá.
Like this one time, they asked me to go on a double-date and I thought they were'tards, because there's only one of me.	Einu sinni báðu þeir mig að koma á tvöfalt stefnumót. Mér fannst þeir bilaðir, því ég var bara ein.
So I told them to go blow each other.	Ég sagði þeim að dingla sér.
Did they?	Gerðu þeir það?
The way you treated them the guilt must be making you feel like shit inside.	Þ ú komst þannig fram við þá að þér hlýtur að líða ömurlega vegna sektartilfinningar.
Randy!	Randy!
You're still in high school?	Ertu enn í miðskóla?
Yeah, me, I got out about three years ago.	Já, ég slapp út fyrir um þremur árum.
I need your help.	Ég þarf hjálp þína.
What are you playing, a little two-ball?	Ertu með einhverja stæla?
I gotta talk to you.	Ég verð að tala við þig.
There's serious stuff going on.	Það er alvara í gangi.
Anton, can't you see I'm getting a little action over here?	Anton, sérðu ekki að ég er að gera dálítið hérna?
Oh, man. I can't believe you cock-blocked me like that.	Ég trúi ekki að þú hafir eyðilagt þetta fyrir mér.
I thought we were buds.	Ég hélt að við værum vinir.
Randy, wait!	Randy, bíddu!
I didn't mean to mess you up.	Ég ætlaði ekki að spilla fyrir þér.
Listen.	Hlustaðu á mig.
Piss off!	Hunskastu burt.
Fresh tomatoes...	Nýir tómatar...
Hey!	Heyrðu.
Who are you?	Hver ert þú?
New.	Nýr.
Drive-thru duty.	Afsakaðu.
Excuse me.	Fyrirgefðu.
Sorry.	Pása.
Break time.	Allt í lagi.
Give me the Big Five with the Spicy Safari Fries the African Apple Turnover and the Raspberry Rainforest Shake.	Ég ætla að fá "fimm stóra" með frönskum safaríkartöflum afrískri eplaböku og regnskógahristingi með hindberjabragði.
Slap some extra mustard on that Jungle Burger.	Frumskógaborgara með aukasinnepi.
Tell me everything you know about the devil.	Segðu mér frá öllu sem þú veist um djöfulinn.
Look, it's just music.	Þetta er bara tónlist.
Like Mozart and that other fag...	E ins og hjá Mozart og hinum hommanum...
Keep it clean.	Vertu ekki í vafa.
Who, Beethoven?	Beethoven?
I'm desperate.	Ég er frávita.
Oh, man!	Hamingjan sanna.
Here!	Hérna.
It's my hand.	Fífl.
It's like it's got a mind of its own.	Það er eins og höndin á mér hugsi sjálfstætt.
It makes me do things I don't want it to do.	Hún fær mig til að gera margt sem ég vil ekki að hún geri.
I used to be like that.	Ég var þannig.
Get into all kinds of stupid shit.	Lenti í alls konar vitleysu.
Look, the trick is to keep yourself busy.	Það er kúnstin að hafa nóg fyrir stafni.
That's why I'm always working on the Ford.	Þess vegna vinn ég sífellt að Fordinum.
Keeps me out of trouble.	Þá lendi ég ekki í vandræðum.
Idle hands are the devil's playground.	Lðjulausar hendur eru leikvöllur andskotans.
Keep my hands busy.	Hafa nóg að gera.
Yeah, that actually makes sense.	Já, það er vit í því.
You're the coolest.	Þ ú ert frábær.
So do you, like, knit now?	Prjónarðu núna?
Don't take this the wrong way, but you look queer doing that.	Taktu þessu ekki illa en það er skrítið að sjá þig gera þetta.
This is the noise complaint.	Þetta er hávaðakvörtunin.
Ain't this the Tobias residence?	Á Tobias-fólkið ekki heima þarna?
Holy shit!	Fjárinn.
It's Anton.	Þetta er Anton.
He's the killer!	Hann er morðinginn!
I better call for backup.	Ég ætti að biðja um aðstoð.
Are you crazy?	Ertu bilaður?
And let the feds get the credit?	Svo FBI fái heiðurinn?
If we collar him, we'll be heroes.	Ef við gómum hann verðum við hetjur.
We can't go in without a warrant.	Við getum það ekki án heimildar.
Piss on the Bill of Rights!	Fjandinn hirði réttindaskrána!
We got just cause.	Við höfum gilda ástæðu.
Freeze!	Kyrr!
Yeah, freeze!	Já, vertu kyrr.
Guys what do I do?	Strákar hvað á ég að gera?
I think you...	Ég held þú...
I was gonna say to do what they tell you but now I changed my mind.	Ég ætlaði að segja þér að gera eins og þeir segðu en ég er hættur við það.
You should just kill them.	Drepið hann bara.
They're alive!	Þeir eru lifandi.
They are not!	Þeir eru það ekki.
You shot one in the head!	Þ ú skaust einn í höfuðið.
They're morgue-meat.	Þeir eru líkhúsmatur.
Look, guys.	Heyrið þið.
I don't want to kill anybody else.	Ég vil ekki drepa fleiri.
You don't want to go to jail, though.	En þú vilt ekki fara í fangelsi.
Jail.	Fangelsi.
Cuff me!	Handjárnið mig!
Okay.	Allt í lagi.
Just drop the knitting needles.	Settu bara prjónana frá þér.
That's not a good idea.	Það er ekki hyggilegt.
Why don't you just cuff me?	Handjárnið mig bara.
Drop the needles and put your hands on your head!	Settu prjónana frá þér og settu hendurnar á höfuðið.
I can't!	Ég get það ekki.
Put down the needles and come quietly. Cuff me!	Settu prjónana frá þér og komdu hljóðlega.
Put the needles down now!	Handjárnið mig!
Cuff me! Put them down!	Settu prjónana frá þér!
Put them down!	Handjárnið mig!
Cuff me!	Niður með þá!
Go, go, Buffalo!	Áfram, Buffaló!
Stop!	Stansaðu!
I didn't do it.	Ég gerði það ekki.
It was my hand.	Hönd mín gerði það.
It's like, the knitting didn't help at all.	Prjónaskapurinn bætti ekkert úr skák.
I told you that saying was more, like, metaphorical.	Ég sagði þér að spakmælið væri frekar myndlíking.
I can't keep doing this!	Ég get ekki haldið þessu áfram.
I'm losing my mind.	Ég er að brjálast.
Get your head.	Vertu rólegur.
No way.	Fallaxarbeyglur Útilokað.
It's the only thing I can think of.	Þetta er það eina sem mér dettur í hug.
Once that hand is gone, how will you cut off the other one?	Þegar höndin er farin af hvernig verður hin þá tekin?
The left one's a keeper.	Sú vinstri er til verndar.
I mean, I guess it wasn't idle enough.	Hún var líklega ekki nógu iðjulaus.
Are you sure?	Ertu viss?
I use it for a lot of things.	Ég nota hana til margs.
I light up, I change the remote I relieve a little tension.	Ég kveiki, breyti fjarstýringunni og losa um nokkra spennu.
This is the answer.	Það er svarið.
I know it.	Ég veit það.
Those things won't even cut my bagel.	Þetta bítur jafnvel ekki á beygluna mína.
Grab the carver.	Taktu fyrirskurðarhnífinn.
Look at me!	Lítið á mig!
I'm Leatherface!	Ég er Leðurfés!
Thanks, Mick.	Takk, Mick.
I'll just use this one.	Ég nota bara þennan.
I can't watch.	Ég get ekki horft á þetta.
You missed.	Þ ú hæfðir ekki.
Pnub bite down.	Pnub bíttu fast.
Don't cut me, man!	Ekki skera mig!
You scream like a girl.	Þ ú æpir eins og stelpa.
What the hell are you doing?	Hvern fjandann ertu að gera?
I gotta stop the blood flow.	Það þarf að stöðva blæðinguna.
Don't you watch ER?	Horfirðu ekki á Bráðavaktina?
Look at that nasty thing.	Sjáðu þetta ljóta sár.
That's gonna be infected for sure.	Það sýkist örugglega.
You got any antiseptic, Anton?	Áttu sóttvarnaefni, Anton?
I don't know.	Ég veit það ekki.
Pnub's got some in a first-aid kit in his house.	Pnub á skyndihjálparkassa heima hjá sér.
And burritos.	Og flatkökur.
You'll be okay, buddy.	Þ ú jafnar þig, vinur.
We'll be back in a sec to fix you up, Anton.	Við komum strax aftur og hjálpum þér, Anton.
Catch you on the flip-flop.	Sé þig á vippurásinni.
Oh, shit!	Ansans.
Anton, are you home?	SLÆMUR LEIKUR ANTON Anton, ertu heima?
Don't come in!	Ekki koma inn!
Just stay there, okay?	Vertu bara þarna.
Very funny, Anton.	Góður, Anton.
Stay out there, Molly!	Vertu þarna, Molly!
I'm freezing my butt off.	Ég er að farast úr kulda.
Anton, we're gonna be late.	Anton, við komum of seint.
Anton, I can hear you in there!	Anton, ég heyri í þér inni!
Stay outside!	Vertu úti!
Come on, Anton!	Komdu, Anton!
Let's go!	Förum!
We're gonna be late!	Við verðum of sein.
We're gonna miss the band.	Við missum af hljómsveitinni.
Fry!	Stiknaðu!
Gross.	Ógeð.
Anton, I'm coming in.	Anton, ég kem inn.
Wait!	Bíddu.
You look incredible.	Þ ú ert glæsileg.
Thanks.	Takk.
But you should've called.	En þú hefðir átt að hringja.
If you needed more time with your costume, fine. But I hate waiting.	Þ ú máttir vinna lengur að búningnum en ég þoli ekki að bíða.
So what are you supposed to be, anyway?	Hvað áttu annars að vera?
I'm a fast-food employee that cut off his own hand.	Ég er starfsmaður á skyndibitastað sem missti hægri hönd sína.
Cute.	Sniðugt.
Come on!	Komdu.
Anton, we're back!	Anton, við erum komnir.
We got antiseptic and adhesive bandages!	Við erum með sótthreinsilyf og plástra!
The ouch-free kind!"	Sem ekki svíður undan."
Microwave for three minutes and enjoy."	Hitist í örbylgjuofni í þrjár mínútur.
That's really getting on my nerves.	Þetta er farið að fara í taugarnar á mér.
Could you...?	Gætirðu...?
This way.	Þessa leið.
Easy.	Varlega.
That's better.	Þetta er betra.
Thanks, man! Gross!	Ég þakka!
Maybe we should clean it first.	Ógeðslegt. Eigum við að hreinsa það fyrst?
Hey, yeah!	Já.
And while we're at it, we can clean the whole house.	Í leiðinni getum við hreinsað allt húsið.
This ain't our mess.	Þetta er ekki okkar sóðaskapur.
Look, I can't go to the dance yet, okay? I'm sorry.	Ég get því miður ekki farið strax á ballið.
My parents will be home in a few minutes.	Foreldrar mínir koma heim eftir nokkrar mínútur.
If they see the mess I made, they'll kill me.	Ég verð drepin ef þau sjá hvað ég svínaði allt út.
Look, I won't be too long.	Ég verð ekki mjög lengi.
I'll meet you there.	Hittumst þar.
Is something wrong?	Er eitthvað að?
You need to go there now and you can't stop till you're inside with everyone else, okay?	Þ ú þarft að fara þangað núna og stansar ekki fyrr en þú ert inni með öllum hinum.
Not a chance, babysnakes.	Þ ú ferð ekki að svíkja mig.
I'll get the next one.	Glætan, litla mín. Ég fæ þann næsta.
I bit my tongue.	Ég beit í tunguna á mér.
That's disgusting.	Það er ógeðslegt.
I bet I can fix that for you.	Ég er viss um að ég get lagað þetta fyrir þig.
Hold still.	Vertu kyrr.
That's better.	Þetta er skárra.
Burrito, burrito Wait, wait!	Flatbrauð, flatbrauð...
Don't open it!	Bíddu. Ekki opna!
I'm sorry, there were only two.	Þær voru því miður aðeins tvær.
No!	Nei!
You let the hand out!	Þá sleppur höndin út!
We brought you a first-aid kit.	Við komum með skyndihjálparkassann.
Where did it go?	Hvað varð um hana?
What?	Hverja?
You mean the hand?	Áttu við höndina?
Of course, the hand.	Auðvitað við höndina.
Try looking up your ass.	Prófaðu að kíkja upp í rassinn á þér.
Hey, foxy.	Glæsimeyja.
Looking for a ball?	Leitarðu að balli?
Because I could help you find one that's the right size for you.	Ég get hjálpað þér að finna ball sem er af réttri stærð.
What the hell?	Hver fjárinn.
Try and keep up.	Reyndu að hafa við mér.
I 'd be happy to keep up with you, sweet thing.	Ég myndi glaður hafa við þér, fagra mær.
Don't you have a dance to go to?	Ætlarðu ekki að fara á dansleik?
That's right.	Það er rétt.
We gotta do our costumes. You coming, Randy? No.	Við verðum að vera í búningum.
I think I can find myself a ride.	Kemurðu, Randy? Nei, Ég held að ég fái far sjálfur.
So what brings you to Bolan?	Hvað ertu að gera í Bolan?
You don't want to know.	Þ ú vilt ekki vita það.
No, seriously.	Í alvöru.
I'm interested.	Ég hef áhuga á því.
Really?	Í alvöru?
Here it goes. I'm a Druidic priestess sworn to fight a certain evil force that possesses the laziest fuckup it can find.	Skýringin er þessi: Ég er hofgyðja drúída og á að berjast gegn illu afli sem þjakar mesta letihaug sem aflið getur fundið.
It will kill as many people as possible and then drag a free soul into the Netherworld.	Þetta drepur eins marga og það getur og þröngvar síðan frjálsri sál niður í undirheima.
That's some weighty shit there.	Þetta er mikill boðskapur.
Here's the kicker. I have the one thing that can stop this from happening.	Best af öllur er að ég ræð yfir nokkru sem getur hindrað þetta.
I just need to find the bastard whose hand is possessed.	Ég verð að finna skepnuna sem er með heltekna hönd.
Weird.	Skrítið.
Earlier today, this guy, Anton, told me his hand was doing stuff that he didn't want it to do.	Fyrr í dag sagði Anton nokkur mér að hönd hans gerði margt sem hann vildi ekki að hún gerði.
Show me where he lives.	Sýndu mér hvar hann á heima.
Left! Turn left!	Beygðu til vinstri.
Guys!	HÚN ER MÍN Strákar.
We gotta go to the dance.	Við verðum að fara á ballið.
The hand, it's after Molly.	Höndin eltist við Molly.
Let's check out the dance.	Förum á ballið.
I'll win Best Costume.	Ég fæ verðlaun fyrir besta búninginn.
Chicks dig winners.	Stelpur elska sigurvegara.
You cut off your hand in the interest of others.	Þ ú skarst höndina af þér í þágu annarra.
It's not your problem anymore.	Þetta er ekki lengur vandamál þitt.
So what I want you to do is take a little Anton-time.	Ég vil að þú skemmtir þér að hætti Antons.
Just relax and kick back, my man.	Slakaðu á og lyftu þér upp.
No, no.	Nei, nei.
Not this time, okay?	Ekki í þetta sinn.
I'm through with that.	Ég er hættur þessu.
All I do is sit around.	Ég slæpist bara.
I veg out, I watch TV, I smoke pot...	Ég sóa tímanum, horfi á imbann, reyki maríjúana...
No Kevin Costner speeches.	Engar áróðursræður.
Let's just go.	Förum bara.
Come on, come on!	Svona, komdu!
That's him!	Þarna er hann.
They're getting into my Ford!	Þeir fara í Fordinn minn!
Wait here.	Bíddu hér.
He's dangerous.	Hann er hættulegur.
Wait.	Bíddu.
Don't let him steal my Ford.	Láttu hann ekki stela bílnum mínum.
Trust me.	Treystu mér.
I know what I'm doing.	Ég veit hvað ég geri.
That's lucky.	Það er happ.
Shit.	Fjárinn.
Couldn't be automatic.	Gat ekki verið sjálfskiptur.
Want me to drive?	Viltu að ég aki?
No, just shift for me.	Nei, sjáðu bara um gírskiptinguna.
Anton!	Anton!
Wait!	Bíddu!
What was that?	Hvað var þetta?
Who cares?	Það skiptir engu.
Get back here!	Komdu aftur hingað.
Who's got the barf breath?	Hver er svona andfúll?
Damn! It's hot in here.	Fjári er heitt hér.
So are you, babe.	Þ ú ert líka heit, elskan.
I'm sweating my costume off, Curtis.	Búningurinn fer að renna af mér vegna svitans.
Better?	Er þetta betra?
Help me get this off.	Hjálpaðu mér úr þessu.
Right there.	Einmitt svona.
It's here.	Hún er hér.
You guys go protect Molly.	Þið verndið Molly.
I'll go after the hand.	Ég eltist við lúkuna.
What a waste.	Hvílík sóun.
You didn't like Curtis.	Þér féll ekki við Curtis.
I'm talking about that ass!	Ég tala um kvenmanninn.
Well, at least he died happy.	Hann dó þó lukkulegur.
What's bugging you?	Hvað amar að þér?
Just thinking.	Bara að hugsa.
And I know who about.	Ég veit um hvern.
Just thought he 'd be here by now.	Ég hélt að hann væri kominn.
He'll be here.	Hann kemur.
I'll go get some punch.	Ég ætla að fá mér púns.
You want some?	Langar þig í?
Okay, I'll be right back.	Ég kem strax aftur.
You guys look great!	Hver farðaði þig?
I guess Anton did.	Líklega Anton.
Based on my design, though.	Eftir hönnun minni.
You want to dance?	Viltu dansa?
Hell, yeah!	Já, fjandinn hafi það.
We should find Molly.	Finnum Molly.
Quit being a skirt.	Vertu ekki þessi kerling.
We'll look for her while we dance.	Leitum hennar meðan við dönsum.
There's plenty of chicks here.	Hér er fullt af stelpum.
Careful, it's on kind of loose.	Varlega, hann er hálflaus.
Cool!	Æði!
Don't put me on hold again.	Ekki láta mig bíða aftur.
I want to talk to your supervisor.	Ég vil fá að tala við umsjónarmanninn.
What?	Hvað?
Yes, of course.	Já, auðvitað.
What's taking so long?	Hvað veldur þessari töf?
Is this the supervisor?	Er þetta umsjónarmaðurinn?
What do you mean my credit card is no good?	Af hverju segirðu að greiðslukortið mitt gildi ekki?
Well, you must have the wrong number.	Þ ú hlýtur að vera með vitlaust númer.
No, it's 8-4-6-8.	Nei, það er 8-4-6-8.
That's good.	Það er gott.
I think you've been a bad girl and I want to spank you with my ruler.	Þ ú hefur verið óþæg stúlka og mig langar að slá þig með reglustikunni.
Oh, yes, that's nice.	Já, það er indælt.
That is nice.	Það er fínt.
Now I'm hot.	Nú er mér heitt.
I'm hot.	Mér er heitt.
You got me so hot, it's like I can feel you touching me.	Þ ú hitar mig svo að það er næstum eins og þú komir við mig.
I can feel you touching me.	Ég finn þig snerta mig.
Bingo!	Þarna!
Come on! We got to find Anton!	Komdu, við verðum að finna Anton.
And kick his ass!	Og taka í hann!
Are you Anton?	Ert þú Anton?
If you're a teacher, we'll discuss my attendance later...	Ef þú ert kennari skulum við tala síðar um ástundun mína...
I found you!	Ég fann þig!
My name is Debi LeCure.	Ég heiti Debi LeCure.
I know what's happening.	Ég veit hvað er að gerast og gæti stöðvað það.
I could stop it.	Er það satt?
