Publication detail	Nánar um útgáfu
The relative standard error is over 20% for numbers under 1,000.	Frávikshlutfall er yfir 20% þegar fjöldi er minni en 1.000.
All numbers are rounded to the next hundred when greater than 50.	Tölur eru námundaðar að næsta hundraði ef fjöldinn er meiri en 50.
Due to rounding, figures may not add up to totals and subtotals.	Ekki er tryggt að tölur gangi upp í samtölur vegna námundunarinnar.
The data are classified according to the international classification of education ISCED 2011.	Tölurnar eru birtar með itarlegu niðurbroti skv. alþjóðlegu menntunarflokkuninni ISCED 2011.
Of those in the labour force 197,200 persons were employed and 4,800 persons were unemployed.	Af þeim voru 197.200 starfandi og 4.800 án vinnu og í atvinnuleit.
Number of employed increased by 11,500 persons and the rate went up by 2.2 points.	Fjöldi starfandi jókst um 11.500 og hlutfallið af mannfjölda hækkaði um 2,2 stig.
Number of unemployed decreased by 2,100 persons and the unemployment rate went down by 1.2 points.	Atvinnulausum fækkaði um 2.100 manns og hlutfall þeirra af vinnuaflinu lækkaði um 1,2 prósentustig.
Figures may not add up because of rounding.	Samtala undirliða þarf ekki að koma heim við heildartölur vegna námundunar.
Implementation	Framkvæmd
November 2016 is divided into four weeks, from October 31st to 27th of November.	Nóvember 2016 nær til fjögurra vikna, eða frá 31. október til 27. nóvember.
The total sample size was 1,205 persons, 16-74 years, randomly chosen from the Population Register.	Úrtakið var 1.205 einstaklingar á aldrinum 16-74 ára sem valdir voru af handahófi úr þjóðskrá.
Figures may not add up because of rounding.	Allar tölur fyrir fyrstu tvo mánuði nýjasta ársfjórðungs eru bráðabrigðatölur þar til ársfjórðungi lýkur.
Labour market in November - Original	Vinnumarkaður í nóvember - mæling
Innovation in 59% of enterprises in the years 2012-2014	Nýsköpun hjá 59% fyrirtækja á árunum 2012-2014
25. April 2016	25. apríl 2016
In the years 2012-2014, 50% of Icelandic enterprises were involved in innovation activities for goods, services, or processes.	Yfir árin 2012-2014 voru 50% fyrirtækja á Íslandi með nýsköpun vöru, þjónustu, eða verkferla.
36% of enterprises introduced new or significantly improved goods or services.	36% fyrirtækja settu nýja eða verulega endurbætta vöru á markað eða buðu upp á nýja eða verulega endurbætta þjónustu.
If organisation and marketing innovation were considered as well, 59% of enterprises were involved in some kind of innovation.	Ef einnig er tekið mið af nýsköpun skipulags og kynninga- eða markaðssetningarstarfs voru 59% fyrirtækja með einhverskonar nýsköpun.
40% thereof had some innovation with environmental benefits for the enterprise, and 32% had innovation with environmental benefits for the end user.	Þá hafði 40% umhverfisvænan ávinning af nýsköpuninni og hjá 32% var umhverfisvænn ávinningur nýsköpunar hjá neytendum.
The Community Innovation Survey covers enterprises with at least 10 persons employed, with the exception of enterprises in activity classes with less innovation in general.	Rannsókn Hagstofu Íslands á nýsköpunarvirkni fyrirtækja náði yfir fyrirtæki með að lágmarki 10 starfsmenn, en undanskildar voru atvinnugreinar þar sem ekki er gert ráð fyrir verulegri nýsköpun, almennt.
Statistics Iceland has produced statistics on science and technology since 2014, with two biannual surveys, each conducted every other year, in a two-year cycle.	Hagstofa Íslands tók yfir tölfræði um vísindi og tækni árið 2014, en felur það í sér framkvæmd tveggja rannsókna sem fram fara sitt hvort árið yfir tveggja ára tímabil.
In the fall of 2014, Statistics Iceland collected data on R&amp;D expenditures, with results published in April of 2015.	Þannig safnaði Hagstofan gögnum um útgjöld til rannsókna og þróunar (R&amp;Þ) haustið 2014 og voru þær niðurstöður síðan birtar í apríl 2015.
Now, the national statistical institute has completed the second survey of the cycle, on community innovation.	Nú hefur Hagstofan gert síðari rannsókn tímabilsins, á nýsköpunarvirkni fyrirtækja.
Data was collected from enterprises in the months of October-December of 2015, on the reference period of the calendar years of 2012-2014.	Gögnum var safnað frá fyrirtækjum á tímabilinu október-desember 2015, en viðmiðunartímabil spurninga voru árin 2012-2014.
The survey results have been published on the website of Statistics Iceland, under Business sectors, science and technology, community innovation.	Niðurstöður hafa nú verið birtar á vef Hagstofu Íslands, undir liðnum Atvinnuvegir, vísindi og tækni, nýsköpunarvirkni fyrirtækja.
Airfares in the consumer price index	Flugfargjöld í vísitölu neysluverðs
Statistics Iceland works in cooperation with Eurostat and other statistical institutions in Europe to harmonise methodology used for the Consumer Price Index (CPI) and the Harmonised Index of Consumer Prices (HICP).	Hagstofa Íslands starfar með öðrum hagstofum í Evrópu og Hagstofu Evrópusambandsins, Eurostat að því að samræma aðferðir við útreikning á vísitölu neysluverðs og samræmdri vísitölu neysluverðs.
New guidelines from Eurostat state that prices of goods are to be included in the compilation of the index at time of purchase, whereas prices of services shall be included at the time when the service is used.	Í nýjum viðmiðunarreglum frá Eurostat er gert ráð fyrir að verð á vörum skuli tekið inn í útreikning vísitölunnar í þeim mánuði sem varan er keypt en verð á þjónustu skuli tekið með í verðmælingu þegar þjónustan er nýtt.
Differences in the two cases are rare, except with regard to airfares.	Í mjög fáum tilfellum er munur á tímasetningu kaupa og notkunar á þjónustu nema í flugfargjöldum.
Statistics Iceland is changing the timing of when airfare purchases are included in the compilation in compliance with the guidelines.	Til að fylgja viðmiðunarreglunum breytir Hagstofan nú tímasetningu á því hvenær verð á flugi er tekið inn í útreikning vísitölunnar.
Until now all prices have been included in the CPI calculation in the month when the prices were observed.	Hefur mæling hvers mánaðar þannig komið jafnóðum fram í vísitölumælingu.
In May prices for flights with a departure after 14 days observed in May will be included in the calculation as well as prices for flights with a departure after one month which were collected in April.	Í maí munu flugferðir með brottför eftir 14 daga og einn mánuð fá nýjar mælingar en öðrum mælingum verður haldið óbreyttum frá fyrri mánuði.
In June all flight routes with various departure delays will have new prices and the change will have passed through.	Í júní lýkur aðlögun að nýrri aðferð en þá hafa öll flug fengið nýjar verðmælingar.
The change disregards price observations that have already been taken into account in previous months.	Þetta er gert með það að leiðarljósi að verðbreytingar sem þegar hafa komið fram í vísitölumælingu verði ekki tvíteknar.
Reference year: 2005.	Viðmiðunarár fyrir fast verðlag: 2005.
From 1990 onwards volume changes are now based on annual chain linking.	Við mat á magnbreytingum er nú byggt á árlegri keðjutengingu frá 1990.
Due to chain linking the sum of the components does not necessarily adds up to totals.	Árleg keðjutenging veldur því að niðurstöðutölur stemma alla jafna ekki við samtölu undirliða.
Policy and objectives for revisions	Endurskoðun og stefnumarkmið
Results are revised when Statistics Iceland changes published results using standard procedures and the policy covers all official statistics published by the institution.	Hagtölur eru endurskoðaðar þegar Hagstofa Íslands breytir áður birtri niðurstöðu með viðurkenndu verklagi og nær stefnan til allrar opinberrar tölfræði sem hún birtir.
The policy aims at making it clear for users when, how and why results that have been published are changed.	Markmiðið með stefnunni er fyrst og fremst að gera notendum ljóst hvenær, hvernig og hvers vegna niðurstöðum sem áður hafa verið birtar er breytt.
Users include both producers of statistic and other users of official statistics.	Notendur geta bæði verið framleiðendur hagtalna eða aðrir sem nota hagtölur að öllu jöfnu.
This policy applies generally for revisions of results published by Statistics Iceland but domain specific revision policy is described in the metadata and the relevant operating procedures.	Stefnan gildir almennt fyrir endurskoðun á niðurstöðum hjá Hagstofunni en reglur um endurskoðun fyrir einstök verkefni er að finna í lýsigögnum og verklagsreglum fyrir þau.
Rules for revision policy	Reglur um endurskoðun hagtalna
The general rules and methods used in the European Statistical System:	Sameiginlegar almennar reglur og aðferðir í evrópska hagskýrslusamstarfinu:
I. European Statistics Code of Practice (CoP) stipulates:	I. Meginreglur um evrópska hagskýrslugerð (skammstafað CoP), þar segir:
Revisions follow standard, well-established and transparent procedures (item 8.6).	Endurskoðun á niðurstöðum fylgir viðurkenndu, traustu og gagnsæju verklagi (liður 8.6).
Errors discovered in published statistics are corrected at the earliest possible date and publicised (item 6.3).	Villur sem finnast í útgefnum skýrslum eru leiðréttar og leiðréttingarnar birtar svo skjótt sem auðið er (liður 6.3).
Advance notice is given on major revisions or changes in methodology (item 6.6).	Tilkynnt er fyrirfram um meiriháttar endurskoðun hagskýrslna og breytingar á aðferðum (liður 6.6).
Revisions are regularly analysed in order to improve statistical processes (item 12.3).	Endurskoðaðar hagtölur sæta reglubundinni greiningu til að bæta aðferðir í hagskýrslugerð (liður 12.3).
II. Quality Assurance Framework of the European Statistical System (QAF)including more detailed guidelines of revisions.	II. Quality Assurance Framework of the European Statistical System (QAF), þar er að finna ítarlegri leiðbeiningar um endurskoðun hagtalna.
ESS guidelines on revision policy for PEEI'spublication describing thoroughly the main guidelines for revisions.	ESS guidelines on revision policy for PEEI's, þar sem gildandi meginreglum um endurskoðun hagtalna er lýst nánar.
Reasons for revisions	Ástæður þess að hagtölur eru endurskoðaðar
Results are mainly revised when new and better data sets become available.	Hagtölur eru fyrst og fremst endurskoðaðar þegar ný og betri gögn verða tiltæk.
Traditionally regular revisions are conducted for many domains such as national accounts.	Hefð er fyrir reglubundinni endurskoðun í hagskýrslugerð, til dæmis í þjóðhagsreikningum.
Preliminary results are often released before final results are available according to advance release calendar to meet user demand for timeliness.	Bráðabirgðatölur eru gefnar út áður en endanlegar niðurstöður eru birtar samkvæmt fyrirfram ákveðinni birtingaráætlun til þess að mæta kröfum notenda um tímanleika upplýsinga.
Results will be more reliable when new data become available and revised figures are published.	Niðurstöður verða áreiðanlegri þegar nýrri gögn líta dagsins ljós og endurskoðaðar tölur eru birtar.
The main disadvantage of a timely publication is that preliminary results sometimes change drastically when final figures are published having effect on the trustworthiness of the producers and the results.	Helsti ókostur við tímanlega birtingu er að niðurstöður breytast stundum mjög mikið á milli birtinga sem getur dregið úr trúverðugleika þeirra og framleiðenda þeirra.
Major changes in methods or definitions occur and lead to revisions.	Meiriháttar breytingar á aðferðum eða skilgreiningum geta einnig leitt til endurskoðunar á hagtölum.
In such cases the changes are organised and announced in advance in news releases or in another way.	Við þær aðstæður eru breytingarnar skipulagðar og tilkynntar fyrirfram í fréttum eða með öðrum hætti.
Need may also arise for revisions of results that are not preannounced.	Auk þessa getur þurft að gera breytingar á niðurstöðum sem ekki er greint frá fyrirfram.
In such cases the reason for this is explained in news releases or explanatory notes on case by case basis.	Í slíkum tilvikum er gerð grein fyrir ástæðum endurskoðunar í fréttatilkynningum eða í skýringum við talnaefni eftir því sem við á.
Preliminary results and analyses of revisions	Bráðabirgðatölur og greining á endurskoðuðum niðurstöðum
It should be stated clearly in table and text in a publication if the results are preliminary.	Koma þarf greinilega fram í töflum og texta við birtingu ef niðurstöður eru til bráðabirgða.
It is necessary to analyse the results regularly to ensure the quality of the data by measuring the effect of the changes on results and compare the results to other statistical indicators.	Regluleg greining á niðurstöðum er nauðsynleg til að tryggja gæði gagnanna þar sem áhrif breytinga á niðurstöður eru metin og þær settar í samhengi við aðrar hagstærðir.
When new results are published instead of older one there could arise need to preserve and publish the original findings to make it easier for users to analyse the results.	Þegar nýjar niðurstöður eru birtar í stað eldri getur verið þörf á að varðveita og birta upprunalegu niðurstöðurnar til að auðvelda notendum greiningu.
Decisions concerning which data set to preserve should be taken based on analysis of the results and by consultation with users.	Taka skal ákvörðun um varðveislu eldri gagna með greiningu á niðurstöðum í samráði við notendur.
Extensive changes in results should be explained in the news releases.	Ef breytingar á niðurstöðum eru umfangsmiklar skal greina sérstaklega frá ástæðum þeirra í fréttum.
Statistical revisions are conducted in three forms	Endurskoðun hagtalna fer fram með þrennum hætti
I. Regular revision (planned in advance)	I. Regluleg endurskoðun (ráðgerð fyrirfram)
Two quality dimensions are important for official statistics, timeliness and accuracy of results.	Tvær gæðavíddir eru mikilvægar í opinberri tölfræði, tímanleiki og nákvæmni í niðurstöðum.
As the aim of the publication of Statistics Iceland is to publish results as soon as possible it is common that results are based on preliminary figures that are later revised.	Í reglulegum birtingum Hagstofunnar er algengt að niðurstöður séu endurskoðaðar enda eru þær oft reistar á bráðabirgðatölum þar sem markmiðið er að gera grein fyrir þeim eins fljótt og unnt er.
Accuracy increases usually with time, both for short term statistics as well as longer time series usually as new and better data sets become available, e.g. from public registers.	Nákvæmni eykst venjulega með tímanum þegar nýrri og betri gögn bæði til skemmri og lengri tíma verða tiltæk, til dæmis úr opinberum skrám.
Statistics Iceland states if results are preliminary or final and users should treat preliminary results with care as final results are more reliable than preliminary figures.	Hagstofan gerir grein fyrir því hvort niðurstöður eru til bráðabirgða eða endanlegar og þurfa notendur að túlka bráðabirgðaniðurstöður af varfærni því endanleg niðurstaða er áreiðanlegri en bráðbirgðaniðurstaða.
In such cases results can change more often and cover longer time periods than usually is the case for regular revisions.	Í þeim tilvikum geta niðurstöður breyst tíðar og breytingar náð yfir lengra tímabil en venjulega gildir um reglulega endurskoðun.
The existence of development projects should be explained in the relevant operating procedures.	Gera þarf grein fyrir því hvaða verkefni eru í þróun í verklagsreglum.
When seasonal adjustment is applied previously published results can change without any change in underlying data sets and the methods used for revisions of seasonal data should be explained in the relevant operating procedures.	Við árstíðaleiðréttingar geta fyrri niðurstöður breyst á milli mælinga án þess að undirliggjandi gögn eða eldri mælingar breytist og gera þarf grein fyrir því hvaða aðferðir eru notaðar við endurskoðun á árstíðaleiðréttum gögnum í verklagsreglum.
II. Major revision (planned in advance)	II. Meiriháttar endurskoðun (ráðgerð fyrirfram)
When new international methods or classifications are implemented there is usually a need for changes in methods and the relevant time series.	Þegar ný alþjóðleg aðferðafræði eða flokkun er tekin í notkun verður oftast að breyta aðferðum og áður birtum tímaröðum.
Examples of such changes are new classification of economic activities or changes in the methods in the compilation of national accounts and therefore it may be necessary to revise classifications and adopt new definitions.	Dæmi um slíkt eru ný atvinnugreinaflokkun eða breytingar á aðferðum við gerð þjóðhagsreikninga og getur þá verið nauðsynlegt að endurskoða flokkun og skilgreiningar.
New data sources are sometimes adopted and older results revised.	Nýjar gagnalindir eru stundum teknar í notkun og niðurstöðum fyrri ára breytt.
All major revisions should be preannounced in news releases or in another way	Tilkynna þarf sem fyrst í fréttum eða með öðrum hætti fyrirfram um slíka meiriháttar endurskoðun.
Corrections (not planned in advance)	Leiðréttingar (ekki er gert ráð fyrir þeim fyrirfram)
In some cases there may be need for Statistics Iceland to correct results because of minor or major errors that are discovered in the base data or under the data production.	Hagstofan þarf í einstöku tilvikum að leiðrétta niðurstöður vegna minni- eða meiriháttar villna sem koma fram í grunngögnum eða við úrvinnslu gagna.
The effect of the corrections on the total results both for preliminary or final results and the importance of the data for users are important when decision is taken to correct errors.	Áhrif af leiðréttingu á bráðabirgða eða endanlegar niðurstöður og mikilvægi gagnanna fyrir notendur eru mikilvæg atriði sem taka þarf tillit til þegar leiðréttingar eru ákveðnar.
Corrections should be explained as soon as needed and such corrections or incidents can also be a part of Statistics Iceland information security policy.	Greina þarf frá leiðréttingum eins fljótt og þörf er á og geta slíkar leiðréttingar eða atvik einnig fallið undir stefnu Hagstofu Íslands um upplýsingaöryggi.
Domain specific revision policy	Stefna um endurskoðun hagtalna fyrir einstök verkefni
Domain specific revision policy should be described in relevant work policy	Lýsa þarf stefnu um endurskoðun fyrir hvert verkefni í verklagsreglum Hagstofunnar.
Statistics Iceland aims if possible to keep consistency in revision policy between domains, especially in the case of related statistics.	Gæta þarf að samræmi í stefnu um endurskoðun milli einstakra verkefna ef unnt er, sérstaklega ef um tengd verkefni er að ræða.
In the metadata and relevant operating procedures for each domain there is a need for following reporting:	Í lýsigögnum og verklagreglum um endurskoðun þarf að koma fram:
Frequency and timing.	Tíðni og tími.
Reasons, coverage and time interval.	Greining á breytingum þegar við á.
Analysis of changes when relevant.	Stefna Hagstofu Íslands um endurskoðun hagtalna
General revision policy for Statistics Iceland	Almennar reglur um endurskoðun eru til staðar
Revisions are preannounced	Greint frá endurskoðun fyrirfram
At Statistics Iceland website revisions are preannounced (in advance release calendar, in a special news release or in the Statistical Bulletin).	Á vef Hagstofunnar skal fyrirfram gerð grein fyrir áformaðri endurskoðun (í birtingaráætlun, með sérstakri frétt eða í Hagtíðindum).
Timing of revisions and reasons are explained to users so they are aware of what is to be expected.	Greint er frá því hvenær þær verða og af hvaða ástæðum þannig að notendur viti hvað er í pípunum.
It should be clearly stated if the results are preliminary and information given about if, when or how previous data sets will be changed.	Greinilega þarf að koma fram ef um bráðabirgðaniðurstöður er að ræða og sagt frá hvort, hvenær eða hvernig eldri gögnum verður breytt.
Domain specific revision policy available	Reglur um endurskoðun fyrir einstök verkefni tiltækar
Revisions coordinated between domains	Endurskoðun samhæfð milli verkefna
Revisions should be coordinated between domains as far as possible to increase their usefulness.	Leitast er við af fremsta megni að samhæfa endurskoðun milli verkefna til að auka notagildi hennar.
Methodological changes introduced as soon as possible	Aðferðafræðibreytingar kynntar sem fyrst
When methodological changes are planned users should be informed as soon as possible about the content and the need for these.	Þegar fyrirhugaðar eru breytingar á aðferðum á að veita notendum eins fljótt og auðið er upplýsingar um þær og þörfina á þeim.
Revised results should be published available to all users with explanations about the impact of the methodological changes introduced.	Birta á endurskoðaðar niðurstöður með skýringum, sem eru aðgengilegar öllum, þar sem áhrif af breytingum á aðferðum eru útskýrðar.
Analysis of revisions	Greining á endurskoðuðum niðurstöðum
Revisions analysis should be carried out regularly to improve the statistics.	Greina þarf áhrif af endurskoðun á niðurstöður reglulega til að bæta hagskýrslugerðina.
Impact of corrections estimated	Áhrif leiðréttinga metin
When results have to be corrected the impact on the results should be analysed as soon as needed, taking into account the importance of the data for users.	Þegar leiðrétta þarf niðurstöður á að meta eins fljótt og þörf er á áhrif þeirra og í því sambandi huga að mikilvægi gagnanna fyrir notendur.
Necessary corrections should be introduced in a clear way explaining the reason for them and at the same time securing the data confidentiality.	Kynna á nauðsynlegar leiðréttingar á greinargóðan hátt og greina frá ástæðum þeirra, en gæta jafnframt að þagnarskyldu.
Reykjavík 27 April 2016	Reykjavík 27. apríl 2016
Reference January 2010 = 100.	Grunnur janúar 2010 = 100.
The table displays values at time of application.	Taflan er miðuð við gildistíma.
Material cost represents domestic and imported materials as well as machines, transportation and energy where appropriate.	Efnishluti iðngreina er samsettur úr íslensku efni, innfluttu efni, vélum, tækjum, flutningskostnaði og orkukostnaði þar sem við á.
A programming error caused a deviation in the Building Cost Index in 2010.	Kerfisvilla olli skekkju í útreikningi vísitölu byggingarkostnaðar árið 2010.
A recalculated time series is available on the BCI webpage.	Endurreiknaða tímaröð má finna í excel skjali á vefsvæði vísitölu byggingarkostnaðar.
A programming error caused a deviation in the Building Cost Index until April 2011 by month of application.	Kerfisvilla olli skekkju í útreikningi vísitölu byggingarkostnaðar fram til apríl 2011 miðað við gildistíma.
Salted cod, kg	Saltfiskur, kg
Values for August and November 2014 were corrected in February 2015	Gildi fyrir ágúst og nóvember 2014 var leiðrétt í febrúar 2015
Cabbage, kg	Hvítkál, kg
Values for May 2014 were corrected in July 2014.	Gildi fyrir maí 2014 var leiðrétt í júlí 2014.
Cauliflower, kg	Blómkál, kg
Chinese cabbage, kg	Kínakál, kg
Beer, Egils gull, 50 cl, can	Bjór, Egils gull, 50 cl, dós
Until November 1999 the price is for a six-pack of 33 cl cans.	Til og með ágúst 1999 miðast verðið við 33cl dósir seldar sex saman.
Beer, Beck's, 33 cl, bottle	Bjór, Beck's, 33 cl, flaska
From August 2012 and onward economic charge.	Frá og með ágúst 2012 B-póstur.
Cell phone charge, monthly, charge	Mánaðargjald GSM, Síminn
From November 2012 3 friends independent of service provider.	Frá nóvember 2012 miðað við 3 vini óháð kerfi.
Radio and TV user charge, per year	Afnotagjöld sjónvarps, ársgjald
Licence fees for radio and TV were abolished in January 2009 and replaced by a specific charge.	Afnotagjöld sjónvarps voru lögð af í janúar 2009.
In autumn 2004 the duplicate count was 2% for students in schools at the tertiary level.	Haustið 2004 reyndust um 2% nemenda vera tvískráðir í tölum um skráða nemendur á háskólastigi.
Statistics Iceland	Hagstofa Íslands
The data is used to compare wages and labour costs to our neighbouring countries.	Gögnin eru notuð til að bera saman laun og launakostnað á milli Íslands og nágrannalandanna.
It has not yet been tested who the main domestic users are.	Ekki er komin reynsla á hverjir helstu notkunaraðilar hér innanlands eru.
The likeliest users are institutions, analysts and the public.	Ætla má að notendur séu stofnanir, hinir ýmsu greiningaraðilar og einstaklingar.
The source of the data is the survey on wages, earnings and labour costs (ISWEL).	Gögnin koma úr launarannsókn Hagstofu Íslands.
ISWEL is based on a sample of companies and is collected directly from their software.	Launarannsóknin byggir á úrtaki fyrirtækja og er gögnunum safnað beint úr launahugbúnaði þeirra.
The data covers the economic activities; Manufacturing (D), Construction (F), Wholesale and retail trade; Repair (G) and Transport, Storage and communications (I).	Gögnin ná til atvinnugreinanna iðnaður (D), byggingarstarfssemi og mannvirkjagerð (F), verslun, viðgerðir- og þjónusta (G) og samgöngur og flutningar (I).
Data is collected according to Act No 163/2007 regarding Statistics Iceland and Council regulation no 530/1999 concerning structural statistics on earnings and labour cost.	Upplýsingum er safnað í samræmi við heimild í lögum nr. 163/2007 um Hagstofu Íslands og reglugerð Evrópuráðsins nr. 530/1999 um launakannanir.
The regulation regarding wage and labour cost is the council regulation No 530/1999 concerning structural statistics on earnings and labour costs.	Grunnreglugerð vegna launa og launatengdra gjalda er reglugerð Evrópuráðsins nr. 530/1999 um launakannanir.
Definitions and implementation of the survey can be found in other regulations.	Skilgreiningar og útfærsla á rannsókninni kemur fram í öðrum reglugerðum.
Those regulations are 450/2003 and 1216/2003.	Þetta eru reglugerðir 450/2003 og 1216/2003.
This survey is intended to publish concepts to measure changes in wages and labour costs in a way that we can compare them with our neighbouring countries.	Þessari rannsókn er ætlað að setja fram hugtök til að meta breytingar á launum og launakostnaði og gera kleyft að bera þau saman á milli landa Evrópusambandsins.
Annual earnings are defined in the survey as the sum of Basic wages and salaries, Additional allowances, Bonus payments, Overtime pay, Shift premium, Sickness pay, Lump sum payments, Other payments and Remuneration paid for leave.	Heildarlaun eru skilgreind sem samtala grunndagvinnulauna, álagsgreiðslna, kostnaðargreiðslna, bónussgreiðslna, ákvæðisgreiðslna, vaktaálags, yfirvinnulauna, eingreiðslna, nefndarlauna, hlunninda, annarra launa, orlofsgreiðslna og vísindasjóðs.
The total number of paid hours is defined in the survey as paid hours for daytime, overtime and sickness.	Heildarlaunakostnaður án óreglulegra greiðslna er samtala heildarlauna og annars launakostnaðar að frádregnum óreglulegum greiðslum og annars launakostnaðar sem þeim tengist.
Daytime hours are defined as total number of paid hours without paid hours for overtime.	Óreglulegar greiðslur skilgreinast hér sem þær greiðslur sem ekki eru gerðar upp á hverju útborgunartímabili.
Sample errors are subjected to the sample frame, the size of the sample and its variance.	Úrtaksskekkjur eru háðar úrtakshönnun, stærð úrtaks og dreifni (e. variance).
Errors due to imperfect sample frame: In the construction of the sample and the sample frame is attempted to minimize the sample errors and errors due to imperfect sample frame.	Skekkjur vegna ófullkomins úrtaksramma: Við úrtakshönnun og gerð úrtaksramma launarannsóknarinnar hefur verið reynt að halda úrtaksskekkju og skekkju vegna ófullkomins úrtaksramma í lágmarki.
That kind of errors is expected to decrease as the sample grows and sample frame is updated.	Reiknað er með að þessar skekkjur minnki mjög við stækkun úrtaks og endurnýjun úrtaksramma.
Measurement errors and errors due to non-response and missing values: It happens e.g. that those employees are wrongly categorized, especially in enterprises with great turnover.	Mæliskekkjur og brottfallsskekkjur við gagnaöflun: Það kemur t.d. fyrir að starfsmenn fyrirtækja eru ekki rétt flokkaðir, sérstaklega í þeim fyrirtækjum þar sem starfsmannavelta er mikil.
By keeping good relations with the enterprises in the survey and using specific work methods in the data collection and the quality checking it is attempted to reduce those errors.	Með góðu samstarfi við fyrirtæki er taka þátt í rannsókninni og nákvæmum vinnureglum við móttöku gagna er reynt að draga úr þessum skekkjum.
The methodology is the same between periods although Eurostat can change variables and methods slightly as more experience is gained using the data.	Eurostat getur þó breytt breytum og aðferðum minniháttar eftir því sem reynsla kemur á vinnslu og notkun gagna.
The sample can change considerably between periods and even though a set distribution is kept in every economic activity it can affect the comparison of the data.	Úrtakið getur breyst töluvert á milli tímabila og þó svo passað er upp á að ákveðinni dreifingu fyrirtækja sé náð í hverri atvinnugrein þá getur það vissulega haft áhrif á samanburðarhæfni gagna.
Comparison has been made with the wage index.	Gerður hefur verið samanburður við launavísitöluna.
The results were that the labour cost indices had risen little more than the wage index for the private sector.	Í ljós kom að vísitölur launakostnaðar höfðu hækkað lítið eitt meira en vísitala launavísitölunnar fyrir almennan markað.
Considerable difference is between those two indices as the wage index is based on a paired sample and measures only regular wages.	Töluverður munur er þó á eðli vísitalnanna þar sem launavísitalan byggir á pöruðum breytingum og nær eingöngu til grunndagvinnulauna.
The most recent figures are provisional until next publication.	Nýjustu tölur eru bráðabirgðatölur þar til næst er gefið út.
Computed child equivalents:	Skýringar
Computed child equivalents (CCE) are used to estimate the need for staff in pre-primary schools.	Barngildi er reiknað gildi til að meta starfsmannaþörf leikskóla og reiknast út frá aldri og dvalartíma barns.
telephone 528 1209	sími 528 1209
Comparable surveys are carried out in other countries.	Sambærilegar rannsóknir eru framkvæmdar í öðrum löndum.
The main purpose of the household expenditure survey is to gather information on the consumption expenditures of households for the expenditure base of the consumer price index.	Megintilgangur útgjaldarannsókna er að afla upplýsinga um neysluútgjöld heimila fyrir útgjaldagrunn vísitölu neysluverðs.
It provides important insight into changes to patterns of consumer spending and information on household expenditure and its composition according to various social and economic factors.	Þær veita þýðingarmikla vitneskju um breytingar á neyslumynstri og upplýsingar um heimilisútgjöld og samsetningu þeirra eftir ýmsum félagslegum og efnahagslegum þáttum.
In addition to being the base of the consumer price index, its value is extensive:	Auk þess að vera grunnur að gerð vísitölu neysluverðs, þá er notkunargildi hennar víðtækt:
in evaluating private consumption for national accounts	við mat á einkaneyslu í þjóðhagsreikningum
in surveys, in the social and economic fields	við rannsóknir, á sviði félags- og efnahagsmála
in market research	við markaðsrannsóknir
in international comparisons of consumption.	við alþjóðlegan samanburð á neyslu.
The expenditures survey is a sample survey	Útgjaldarannsóknin er úrtakskönnun.
Sources can be divided into three categories: Interviews with participants, household expenditure diaries, and information from the National Register of Persons, tax records and the Land Registry.	Skipta má heimildum í þrennt: Viðtöl við þátttakendur, búreikningshald, og upplýsingar úr þjóðskrá, skattskrá og fasteignaskrá.
Current act no. 12/1995 regarding the consumer price index stipulates that Statistics Iceland should carry out a household expenditure survey at intervals of no more than five years.	Í gildandi lögum um vísitölu neysluverðs nr. 12/1995 segir að Hagstofan skuli eigi sjaldnar en á fimm ára fresti gera athugun á heimilisútgjöldum, útgjaldarannsókn.
Those in the sample can choose not to respond.	Þeir sem lenda í úrtaki rannsóknarinnar geta neitað að taka þátt í henni.
They can choose to hand in receipts from stores, which eases the response burden.	Þeim gefst kostur á að skila inn kvittunum úr verslunum sem auðveldar þátttöku.
The response burden for participants is therefore some.	Svarbyrði þátttakenda er því nokkur.
In addition to this data information is gathered from the National Register of Persons, the tax register and the Land Registry, as well as information from telephone companies.	Til viðbótar þessum gögnum eru fengnar upplýsingar úr þjóðskrá, skattskrá og fasteignaskrá auk upplýsinga frá símafyrirtækjum
No formal treaties or rules.	Engin formleg samþykkt eða reglugerð.
EEA regulation on the calculation of harmonized consumer price indices prescribes that expenditure surveys are carried out regularly.	Tilskipun EES um gerð samræmdra neysluverðsvísitalna gerir ráð fyrir því að útgjaldarannsóknir séu gerðar reglulega.
Housing.	- Húsnæði.
Residence in owned versus rented dwelling, type and size of dwelling.	Eigið húsnæði, leiguhúsnæði, stærð þess og gerð.
Participants are all those living in the household of the chosen individual.	Þátttakendur eru allir sem búa á heimili þess sem dreginn er út.
Data collection.	Gagnasöfnun.
In interviews with participants at the beginning of the survey information is gathered on, among other things, the number of household members, how they are connected, their identification numbers, education and employment.	Í viðtölum við þátttakendur í upphafi könnunar er m.a. aflað upplýsinga um fjölda heimilismanna, innbyrðis tengsl þeirra, kennitölur, menntun og atvinnu.
Participants keep household expenditure diaries for two weeks and note all expenses.	Þátttakendur halda búreikninga í tvær vikur og skrá niður öll útgjöld heimilisins.
Households are provided with special household expenditure diaries in which to note expenditures.	Heimilunum eru send sérstök búreikningshefti til að færa útgjöldin í.
