Closing the Loop for ALMA	ALMA nær mikilvægum áfanga
At its core, behind large lenses that ensure the best possible image quality [3], lies the 770 kg OmegaCAM camera, built around 32 CCD detectors [4], sealed in vacuum, that together create 268-megapixel images [5].	Á bakvið stórar linsur, sem leiðrétta skekkjur og tryggja bestu mögulegu myndgæði [3], er 770 kg OmegaCAM myndavélin sem smíðuð er umhverfis 32 CCD myndflögur [4] sem geymdar eru í lofftæmi svo úr verða 268 megapixla ljósmyndir [5].
The First Images	Fyrstu myndirnar
Both the telescope and the camera have been designed to fully exploit the high quality skies at Paranal.	Bæði sjónaukinn og myndavélin voru smíðuð til að fullnýta gæði himinsins yfir Paranal.
“The superb images now coming from VST and OmegaCAM are a tribute to the hard work of many groups around Europe over many years.	„Þessar frábæru myndir sem koma nú frá VST og OmegaCAM eru afrakstur mikillar vinnu sem fjölmargir hópar hafa innt af hendi um árabil.
We are now looking forward to a rich harvest of science and unexpected discoveries from the VST surveys,” adds Massimo Capaccioli, principal investigator of the VST project.	Við hlökkum til að njóta ríkulegra ávaxta VST sjónaukans, nýrra vísinda og óvæntra uppgötvana“ segir Massimo Capaccioli, verkefnisstjóri VST.
The first released image shows the spectacular star-forming region Messier 17, also known as the Omega Nebula or the Swan Nebula, as it has never been seen before.	Fyrsta myndin sem birtist frá sjónaukanum er af stjörnumyndunarsvæðinu Messier 17, einnig þekkt sem Omegaþokan eða Svansþokan.
This dramatic region of gas, dust and hot young stars lies in the heart of the Milky Way in the constellation of Sagittarius (The Archer).	Þetta tilþrifamikla svæði gass, ryks og ungra stjarna er í stjörnumerkinu Bogmanninum í hjarta vetrarbrautarinnar okkar.
The VST field of view is so large that the entire nebula, including its fainter outer parts, is captured - and retains its superb sharpness across the entire image.	Sjónsvið VST er svo vítt að þokan næst í heild sinni á eina hnífskarpa mynd, líka daufari ytri hlutar hennar.
The second released image may be the best portrait of the globular star cluster Omega Centauri ever made.	Seinni myndin er af kúluþyrpingunni Omega Centauri í stjörnumerkinu Mannfáknum.
This is the largest globular cluster in the sky, but the very wide field of view of VST and OmegaCAM can encompass even the faint outer regions of this spectacular object.	Þetta er stærsta kúluþyrping himins en þökk sé víðu sjónsviði VST og OmegaCAM sjást meira að segja ystu og daufustu svæði þessa glæsilega fyrirbæris.
This view, which includes about 300 000 stars, demonstrates the excellent resolution of VST.	Myndin sýnir vel hve góða upplausn VST hefur en hér sjást um 300.000 stjörnur.
The Surveys	Kortlagningin
The VST will make three public surveys over the next five years [6].	Á næstu fimm árum verða unnin þrjú opinber kortlagningarverkefni með VST [6].
The KIDS survey will image several regions of the sky away from the Milky Way.	KIDS kortlagningin verður unnin á nokkrum svæðum himins sem liggja utan við Vetrarbrautina.
It will further the study of dark matter, dark energy and galaxy evolution, and find many new galaxy clusters and high-redshift quasars.	Sú kortlagning snýr að ítarlegum rannsóknum á hulduefni, hulduorku og þróun vetrarbrauta en búist er við að fjölmargar áður óþekktar vetrarbrautaþyrpingar finnist í leiðinni sem og fjölmörg ný dulstirni með hátt rauðvik.
The VST ATLAS survey will cover a larger area of sky and focus on understanding dark energy and supporting more detailed studies using the VLT and other telescopes.	VST ATLAS kortlagningin þekur stórt svæði af himninum en markmið hennar er að auka skilning okkar á hulduorku og veita stuðning við nákvæmari rannsóknir með VLT og öðrum sjónaukum.
The third survey, VPHAS+, will image the central plane of the Milky Way to map the structure of the Galactic disc and its star formation history.	Í þriðja verkefninu, VPHAS+, verður miðflötur Vetrarbrautarinnar kortlagður svo draga megi upp nákvæma mynd af skífu hennar og stjörnumyndunarsögu.
VPHAS+ will yield a catalogue of around 500 million objects and will discover many new examples of unusual stars at all stages of their evolution.	Með VPHAS+ verður til skrá yfir meira en 500 milljón fyrirbæri og búist er við að ný dæmi um óvenjulegar stjörnur á öllum þróunarstigum sínum finnist.
The data volume produced by OmegaCAM will be large.	OmegaCAM framleiðir gríðarlegt gagnamagn.
About 30 terabytes of raw data will be produced per year and will flow back into data centres in Europe for processing [7].	Ár hvert verða til um 30 terabæti af hráum gögnum en þeim verður miðlað í gagnaver í Evrópu til frekari úrvinnslu [7].
A novel and sophisticated software system has been developed at Groningen and Naples to handle the very large data flow.	Í Groningen og Napólí hefur nýr og mjög vandaður hugbúnaður verið þróaður svo hægt sé að höndla þetta mikla gagnamagn.
The end products from the processing will be huge lists of the objects found, as well as images, and these will be made available to astronomers worldwide for scientific analysis.	Að lokum verður útbúinn stór listi yfir þau fyrirbæri sem fundist hafa og hann, ásamt myndum, verður allt gerður aðgengilegur stjörnufræðingum um heim allan til frekari rannsókna.
“The combination of large field of view, excellent image quality, and the very efficient operations scheme of the VST will produce an enormous wealth of information that will advance many fields of astrophysics,” concludes Konrad Kuijken, head of the OmegaCAM consortium.	„VST mun skila feikilegu gagnamagni þökk sé víðu sjónsviði, frábærum myndgæðum og miklum afköstum sjónaukans sem á eflaust eftir að auka framgang margra sviða í stjarneðlisfræði“ segir Kondrad Kuijken, yfirmaður OmegaCAM samstarfsins að lokum.
Notes	Skýringar
[1] The VST has been designed at the Astronomical Observatory of INAF at Capodimonte, Naples.	[1] VST var hannaður í Stjörnustöð INAF í Capodimonte í Napóli.
All components apart from the main optics, which were supplied by the Russian firm LZOS, have been built by Italian industries.	Ítölsk fyrirtæki sáu um smíði allra hluta hans fyrir utan sjóntækjanna sjálfra sem komu frá rússneska fyrirtækinu LZOS.
INAF has managed the construction and secured the assembly at the Paranal Observatory. This work was performed with the contribution of the project manager G. De Paris and the AIV manager D. Fierro, members of the INAF Department of National Projects, Monte Mario, Rome, Italy.	Smíði og samsetning sjónaukans í Paranal stjörnustöðinni var líka í höndum INAF með framlagi frá verkefnastjóranum G. De Paris og D. Fierro, framkvæmdarstjóra AIV, og starfsmönnum INAF Department of National Projects í Monte Mario í Róm á Ítalíu.
The project manager of the current phase of commissioning is P. Schipani from INAF-Capodimonte Observatory.	Núverandi verkefnisstjóri er P. Schipani frá INAF-Capodimonte stjörnustöðinni.
He was the former VST project engineer and leads a team mostly from the Naples and Padua Observatories.	Hann er fyrrum verkfræingur við VST og leiðir nú hóp fólks frá stjörnustöðvunum í Napólí og Padúa.
The VST-Tube software system to handle the data at Naples was developed by A. Grado.	A. Grado þróaði VST-Tube hugbúnaðinn sem sér um gögnin í Napólí.
[2] The OmegaCAM consortium is comprised of institutes in the Netherlands (NOVA, in particular the Kapteyn Institute / OmegaCEN Groningen and Leiden Observatory), Germany (in particular the university observatories of Munich, Göttingen and Bonn) and Italy (INAF, in particular the Padua and Naples Observatories).	[2] Í OmegaCAM samstarfinu eru stofnanir frá Hollandi (NOVA, sér í lagi Kapteyn-stofnunin / OmegaCEN Groningen og Leiden stjörnustöðin), Þýskalandi (sér í lagi stjörnustöðvar háskóla í München, Göttingen og Bonn) og Ítalíu (INAF, sér í lagi stjörnustöðvarnar í Padúa og Napólí).
The ESO Optical Detector Team provides the detector system.	Skynjarar eða nemarnir koma frá ESO Optical Detector Team.
[3] The telescope optics also include correction for dispersion by the Earths atmosphere.	[3] Sjóntæki sjónaukans leiðrétta líka fyrir ljósdreifingu sem verður í lofthjúpi jarðar.
[4] The camera also contains extra CCDs, which work with the telescopes systems to help control the guiding and active optics systems.	[4] Í myndavélinni eru fleiri CCD flögur sem sjá um stýringu sjónaukans og virku sjóntækin.
[5] To measure the colours of objects in the sky, different very large glass filters can be slid automatically in front of the detectors.	[5] Til að mæla liti fyrirbæra á himninum eru mjög stórar glersíur settar fyrir framan CCD flögurnar.
Each filter is over 30 cm on a side and most have special coatings that ensure that very little light is lost.	Hver sía er meira en 30 sentímetrar á alla kanta og flestar sérstaklega húðaðar til að sem mest ljós berist í gegnum þær.
There is also a very large shutter consisting of two blades that can be used to block the light while the detectors are read out.	Einnig er stór loki sem samanstendur af tveimur blöðum sem hægt er nota til að hindra að ljós berist inn á meðan nemarnir lesa upplýsingarnar.
[6] More details about the VST public surveys are available at http://www.eso.org/sci/observing/policies/PublicSurveys/sciencePublicSurveys.html.	[6] Frekari upplýsingar um VST kortlagningarnar er að finna á http://www.eso.org/sci/observing/policies/PublicSurveys/sciencePublicSurveys.html.
[7] The VST/OmegaCAM surveys will make use of a new, dedicated fast intercontinental data link between Paranal and Europe that was established with support from the European Union (eso1043).	[7] VST/OmegaCAM nýtur góðs af nýrri háhraðatengingu milli Paranal og Evrópu sem sett var upp með stuðningi Evrópusambandsins (eso1043).
A Galactic Crash Investigation	Árekstur vetrarbrautaþyrpinga grannskoðaður
A team of scientists has studied the galaxy cluster Abell 2744, nicknamed Pandoras Cluster.	Hópur stjarnvísindamanna hefur rannsakað vetrarbrautaþyrpinguna Abell 2744 sem nefnd hefur verið Pandóru þyrpingin.
They have pieced together the clusters complex and violent history using telescopes in space and on the ground, including ESOs Very Large Telescope and the Hubble Space Telescope.	Stjörnufræðingarnir hafa með hjálp geimsjónauka og sjónauka á jörðu niðri, þar á meðal Very Large Telescope ESO og Hubblessjónaukanum, dregið upp mynd af sögu þyrpingarinnar sem er bæði ofsafengin og flókin.
Abell 2744 seems to be the result of a simultaneous pile-up of at least four separate galaxy clusters and this complex collision has produced strange effects that have never been seen together before.	Svo virðist sem Abell 2744 sé afleiðing áreksturs fjögurra vetrarbrautaþyrpinga í einu og hefur hann haft skringileg áhrif í för með sér sem hafa aldrei sést áður í einni þyrpingu.
When huge clusters of galaxies crash together, the resulting mess is a treasure trove of information for astronomers.	Þegar stórar vetrarbrautaþyrpingar rekast saman verður til samsuða upplýsinga sem er sannkölluð fjársjóðskista fyrir stjörnufræðinga.
By investigating one of the most complex and unusual colliding clusters in the sky, an international team of astronomers has pieced together the history of a cosmic crash that took place over a period of 350 million years.	Alþjóðlegum hópi stjarnvísindamanna hefur tekist að púsla saman sögu áreksturs sem stóð yfir í um 350 milljónir ára í geimnum með því að rannsaka eina flóknustu og óvenjulegustu vetrarbrautaþyrpingu himins.
Julian Merten, one of the lead scientists for this new study of cluster Abell 2744, explains: “Like a crash investigator piecing together the cause of an accident, we can use observations of these cosmic pile-ups to reconstruct events that happened over a period of hundreds of millions of years.	„Rannsóknir okkar á þessari árekstraþyrpingu gerir okkur kleift að draga upp mynd af þeim atburðum sem urðu á hundruð milljóna ára tímabili, á svipaðan hátt og menn geta fundið út orsök árekstra í umferðinni“ segir Julian Merten, einn af aðlhöfundum greinar um rannsóknina á Abell 2744.
This can reveal how structures form in the Universe, and how different types of matter interact with each other when they are smashed together.”	„Þetta getur sýnt okkur hvernig form í alheiminum myndast og hvernig mismunandi tegundir af efnum víxlverka hvert við annað þegar það rekst saman.“
“We nicknamed it Pandoras Cluster because so many different and strange phenomena were unleashed by the collision.	„Við gáfum þyrpingunni viðurnefnið Pandóra vegna þeirra mörgu skrítnu fyrirbæra sem virðast hafa losnað úr læðingi við áreksturinn.
Some of these phenomena had never been seen before,” adds Renato Dupke, another member of the team.	Sum þeirra höfum við aldrei séð áður“ segir Renato Dupke, meðlimur í rannsóknarhópnum.
Abell 2744 has now been studied in more detail than ever before by combining data from ESOs Very Large Telescope (VLT), the Japanese Subaru telescope, the NASA/ESA Hubble Space Telescope, and NASAs Chandra X-Ray Observatory.	Stjörnufræðingar hafa nú rannsakað Abell 2744 í meiri smátriðum en nokkru sinni fyrr með hjálp Very Large Telescope (VLT) ESO, japanska Subaru sjónaukanum, Hubblessjónauka NASA og ESA og Chandra röntgensjónauka NASA.
The galaxies in the cluster are clearly visible in the VLT and Hubble images.	Vetrarbrautir þyrpingarinnar sjást greinilega á myndum VLT og Hubbles.
Although the galaxies are bright they make up less than 5% of the mass there.	Þótt þær séu bjartar telja þær innan við 5% af heildarmassanum sem í þyrpingunni er.
The rest is gas (around 20%), which is so hot that it shines only in X-rays, and dark matter (around 75%), which is completely invisible.	Afgangurinn er gas (í kringum 20%) sem er svo heitt að það hefur aðeins frá sér röntgengeislun og hulduefni (í kringum 75%) sem er ósýnilegt.
To understand what was going on in the collision the team needed to map the positions of all three types of matter in Abell 2744.	Til að skilja hvað gekk á við áreksturinn kortlögðu stjörnufræðingarnir staðsetningu allra þriggja efnistegunda í Abell 2744.
Dark matter is particularly elusive as it does not emit, absorb or reflect light (hence its name), but only makes itself apparent through its gravitational attraction.	Mjög erfitt er að henda reiður á hulduefninu því það gefur hvorki frá sér ljós né dregur það í sig og endurvarpa því sömuleiðis ekki (samanber nafnið).
To pinpoint the location of this mysterious substance the team exploited a phenomenon known as gravitational lensing.	Stjörnufræðingarnir nýttu sér því fyrirbæri sem kallast þyngdarlinsa til að staðsetja nákvæmlega þetta dularfulla efni.
This is the bending of light rays from distant galaxies as they pass through the gravitational fields present in the cluster.	Þyngdarlinsa sveigir ljósgeisla frá fjarlægum vetrarbrautum þegar ljósið ferðast í gegnum þyngdarsvið þyrpingarinnar.
The result is a series of telltale distortions in the images of galaxies in the background of the VLT and Hubble observations.	Afleiðingin er sú að bakgrunnsvetrarbrautirnar sýnast bjagast eins og sjá má á myndum VLT og Hubbles.
By carefully plotting the way that these images are distorted, it is possible to map quite accurately where the hidden mass - and hence the dark matter - actually lies.	Með því að mæla bjögunina er hægt að kortleggja mjög nákvæmlega hvar þessi duldi massi leynist og þar af leiðandi hvar hulduefnið er.
By comparison, finding the hot gas in the cluster is simpler as NASAs Chandra X-ray Observatory can observe it directly.	Miklu einfaldara er að finna heita gasið í þyrpingunni því Chandra röntgensjónaukinn sér það.
These observations are not just crucial to find out where the gas is, but also to show the angles and speeds at which different components of the cluster came together.	Athuganir Chandra eru ekki aðeins nauðsynlegar til að finna megi út hvar gasið er, heldur líka til að sýna okkur úr hvaða stefnu og á hvaða hraða mismunandi hlutar þyrpingarinnar runnu saman.
When the astronomers looked at the results they found many curious features.	Í niðurstöðum sínum fundu stjörnufræðingar mörg áhugaverð fyrirbæri.
“Abell 2744 seems to have formed from four different clusters involved in a series of collisions over a period of some 350 million years.	„Abell 2744 virðist hafa myndast úr fjórum mismunandi þyrpingum sem rákust saman á um 350 milljóna ára tímabili.
The complicated and uneven distribution of the different types of matter is extremely unusual and fascinating,” says Dan Coe, the other lead author of the study.	Efnin í þyrpingunni dreifast ójafnt og á flókinn hátt sem er mjög óvenjulegt en um leið heillandi“ segir Dan Coe, annar aðalhöfundur greinarinnar.
It seems that the complex collision has separated out some of the hot gas and dark matter so that they now lie apart from each other, and from the visible galaxies.	Við þennan flókna árekstur virðist hluti heita gassins og hulduefnisins hafa skilist að. Gasið er því nokkuð langt frá hulduefninnu og sýnilegu vetrarbrautunum.
Pandoras Cluster combines several phenomena that have only ever been seen singly in other systems.	Í Pandóruþyrpingunni sjáum við nokkur fyrirbæri sem aðeins hafa sést ein og sér í öðrum kerfum.
Near the core of the cluster is a “bullet”, where the gas of one cluster collided with that of another to create a shock wave.	Við miðju þyrpingarinnar er „byssukúla“ þar sem gas einnar þyrpingar rakst á gas úr annarri þyrpingu svo að höggbylgja myndaðist.
The dark matter passed through the collision unaffected [1].	Hulduefnið barst í gegnum áreksturinn án þess að verða fyrir nokkrum áhrifum [1].
In another part of the cluster there seem to be galaxies and dark matter, but no hot gas.	Í öðrum hluta þyrpingarinnar sjást aðeins vetrarbrautir (venjulegt efni) og hulduefni en ekkert heitt gas.
The gas may have been stripped away during the collision, leaving behind no more than a faint trail.	Gasið gæti hafa þeyst burt við áreksturinn og aðeins skilið eftir sig daufa slóð.
Even odder features lie in the outer parts of the cluster.	Við ytri hluta þyrpingarinnar eru enn furðulegri fyrirbæri.
One region contains lots of dark matter, but no luminous galaxies or hot gas.	Á einum stað er mikið hulduefni en hvorki bjartar vetrarbrautir né heitt gas.
A separate ghostly clump of gas has been ejected, which precedes rather than follows the associated dark matter.	Gasklumpur hefur losnað frá og kastast burt frá hulduefninu á undan því frekar en eftir.
This puzzling arrangement may be telling astronomers something about how dark matter behaves and how the various ingredients of the Universe interact with each other.	Þessi sérkennilega myndun gæti sagt stjörnufræðingum sitthvað um það hvernig hulduefnið hegðar sér og hvernig ýmis efni í alheiminum víxlverka við hvert annað.
Galaxy clusters are the biggest structures in the cosmos, containing literally trillions of stars.	Vetrarbrautaþyrpingar eru stærstu form alheimsins og innihalda trilljónir stjarna.
The way they form and develop through repeated collisions has profound implications for our understanding of the Universe.	Það hvernig þær myndast og þróast við síendurtekna árekstra hefur djúp áhrif á skilning okkar á alheiminum.
Further studies of the Pandoras Cluster, the most complex and fascinating merger yet found, are in progress.	Unnið er að frekari rannsóknum á Pandóruþyrpingunni, einum margslungnasta og mest heillandi vetrarbrautasamruna sem fundist hefur.
Notes	Skýringar
[1] This effect has been seen before in a few galaxy cluster collisions, including the original "Bullet Cluster", 1E 0657-56 .	[1] Þessi áhrif hafa sést áður í nokkrum árekstrum vetrarbrautaþyrpinga, þar á meðal í „Byssukúluþyrpingunni“ 1E 0657-56.
The Flames of Betelgeuse	Logar Betelgáss
New image reveals vast nebula around famous supergiant star	Ný mynd sýnir mikla þoku umhverfis reginrisan fræga
Using the VISIR instrument on ESOs Very Large Telescope (VLT), astronomers have imaged a complex and bright nebula around the supergiant star Betelgeuse in greater detail than ever before.	Stjörnufræðingar hafa notað VISIR mælitækið á Very Large Telescope (VLT) ESO til að ljósmynda margslungna og bjarta þoku umhverfis reginrisastjörnuna Betelgás í meiri smáatriðum en nokkru sinni fyrr.
This structure, which resembles flames emanating from the star, is formed as the behemoth sheds its material into space.	Þokan minnir á loga sem stíga út úr stjörnunni og varð til þegar risastjarnan varpaði frá sér efni út í geiminn.
Betelgeuse, a red supergiant in the constellation of Orion, is one of the brightest stars in the night sky.	Betelgás er rauður reginrisi í stjörnumerkinu Óríon, ein bjartasta stjarna næturhiminsins og ein sú stærsta sem sést frá jörðinni.
It is also one of the biggest, being almost the size of the orbit of Jupiter - about four and half times the diameter of the Earths orbit.	Væri Betelgás í miðju sólkerfisins næði stjarnan út að braut Júpíters - fjórum og hálfum sinnum breiðari en braut jarðar.
The VLT image shows the surrounding nebula, which is much bigger than the supergiant itself, stretching 60 billion kilometres away from the star's surface - about 400 times the distance of the Earth from the Sun.	Á mynd VLT sést þokan sem umlykur Betelgás en hún er miklu stærri en stjarnan sjálf. Hún nær 60 milljarða km frá yfirborði hennar eða sem nemur 400 faldri fjarlægðinni milli jarðar og sólar.
Red supergiants like Betelgeuse represent one of the last stages in the life of a massive star.	Rauðir reginrisar eins og Betelgás eru á síðustu stigum ævi sinnar.
In this short-lived phase, the star increases in size, and expels material into space at a tremendous rate - it sheds immense quantities of material (about the mass of the Sun) in just 10 000 years.	Á þessu stutta æviskeiði vex stjarnan og varpar ytri lögum sínum frá sér út í geiminn af miklu offorsi - á aðeins 10.000 árum varpar hún um það bil einum sólarmassa af efni út í geiminn.
The process by which material is shed from a star like Betelgeuse involves two phenomena.	Tvenns konar fyrirbæri eru ábyrg fyrir því að Betelgás varpi frá sér efni.
The first is the formation of huge plumes of gas (although much smaller than the nebula now imaged) extending into space from the stars surface, previously detected using the NACO instrument on the VLT [1].	Fyrst er það myndun stórra gasstróka (sem eru mun smærri en þokan sem hér sést) sem teygja sig út í geiminn frá yfirborði stjörnunnar og hafa sést með NACO mælitækinu á VLT [1].
The other, which is behind the ejection of the plumes, is the vigorous up and down movement of giant bubbles in Betelgeuses atmosphere - like boiling water circulating in a pot (eso0927).	Hitt fyrirbærið, sem varpar stórkunum út í geim, er færsla stórra gasbóla upp og niður í lofthjúpi Betelgáss sem líkja mætti við iðustrauma sjóðandi vatns í potti (eso0927).
The new results show that the plumes seen close to the star are probably connected to structures in the outer nebula now imaged in the infrared with VISIR.	Nýju niðurstöðurnar sýna að strókarnir sem sjást við stjörnuna tengjast líklega þeim formum sem sjá má í ytri hlutum þokunnar á þessari innrauðu ljósmynd sem tekin var með VISIR.
The nebula cannot be seen in visible light, as the very bright Betelgeuse completely outshines it.	Þokan sést ekki í sýnilegu ljósi því birtan frá Betelgási er miklu meiri og yfirgnæfir hana.
The irregular, asymmetric shape of the material indicates that the star did not eject its material in a symmetric way.	Þokan er óregluleg og ósamhverf sem bendir til þess að stjarna varpi ekki ytri lögunum frá sér á samhverfan hátt.
The bubbles of stellar material and the giant plumes they originate may be responsible for the clumpy look of the nebula.	Hugsanlegt er að kúlur úr efni frá stjörnunni og risastrókar eigi sök á kekkjóttu yfirbragði þokunnar.
The material visible in the new image is most likely made of silicate and alumina dust.	Efnið sem sést á nýju myndinni er líklega ryk úr sílikötum og áli.
This is the same material that forms most of the crust of the Earth and other rocky planets.	Það er sama efni og myndar jarðskorpuna að mestu leyti sem og skorpur annarra bergreikistjarna.
At some time in the distant past, the silicates of the Earth were formed by a massive (and now extinct) star similar to Betelgeuse.	Á einhverjum tímapunkti í fjarlægri fortíð myndaði því massamikil stjarna sem nú er sprungin, svipuð Betelgási, sílikötin á jörðinni.
In this composite image, the earlier NACO observations of the plumes are reproduced in the central disc.	Á þessari samsettu mynd eru strókarnir sem sáust í eldri mælingum NACO í sjáanlegir í skífunni í miðjunni.
The small red circle in the middle has a diameter about four and half times that of the Earths orbit and represents the location of Betelgeuses visible surface.	Litli rauði hringurinn í miðjunni er um fjórum og hálfum sinnum breiðari en braut jarðar um sólina og markar staðsetningu Betelgáss sjálfs.
The black disc corresponds to a very bright part of the image that was masked to allow the fainter nebula to be seen.	Svarta skífan markar mjög bjart svæði á myndinni sem var skyggt svo hægt væri að sjá þokuna sem er daufari.
The VISIR images were taken through infrared filters sensitive to radiation of different wavelengths, with blue corresponding to shorter wavelengths and red to longer.	Myndir VISIR voru teknar í gegnum innrauðar síur sem hleypa í gegn geislun í mismunandi bylgjulengdum. Blár litur samsvarar stuttum bylgjulengdum en rauður litur lengri.
The field of view is 5.63 x 5.63 arcseconds.	Sjónsviðið er 5,63 x 5,63 bogasekúndur.
Notes	Skýringar
[1] NACO is a VLT instrument that combines the Nasmyth Adaptive Optics System (NAOS) and the Near-infrared Imager and Spectrograph (CONICA).	[1] NACO er mælitæki á VLT sem sameinar Nasmyth aðlögunarsjóntæknikerfið (Nasmyth Adaptive Optics System, NAOS) og nær-innrauðu myndavélina og litrófsritann CONICA.
It provides adaptive optics assisted imaging, imaging polarimetry, coronography and spectroscopy, at near-infrared wavelengths.	Með NACO er hægt að taka ljósmyndir, gera skautunarmælingar, nota kórónusjá og gera litrófsmælingar með aðstoð aðlögunarsjóntækni í nær-innrauðum bylgjulengdum.
Most Distant Quasar Found	Fjarlægasta dulstirni sem fundist hefur
A team of European astronomers has used ESOs Very Large Telescope and a host of other telescopes to discover and study the most distant quasar found to date.	Hópur evrópskra stjörnufræðinga hefur með hjálp Very Large Telescope ESO og nokkurra annarra sjónauka, fundið og rannsakað fjarlægasta dulstirni sem fundist hefur hingað til.
This brilliant beacon, powered by a black hole with a mass two billion times that of the Sun, is by far the brightest object yet discovered in the early Universe.	Þetta fyrirbæri er knúið áfram af tveggja milljarða sólmassa svartholi og er langbjartasta fyrirbæri sem fundist hefur í hinum unga alheimi til þessa.
The results will appear in the 30 June 2011 issue of the journal Nature.	Greint er frá þessu í nýjasta hefti tímaritsins Nature sem kemur út 30. júní 2011.
“This quasar is a vital probe of the early Universe.	„Dulstirnið er gott tækifæri fyrir okkur til að rannsaka hinn unga alheim.
It is a very rare object that will help us to understand how supermassive black holes grew a few hundred million years after the Big Bang,” says Stephen Warren, the studys team leader.	Þetta er mjög sjaldgæft fyrirbæri sem hjálpar okkur að skilja hvernig risasvarthol uxu aðeins nokkur hundruð milljónum ára eftir Miklahvell“ segir Stephen Warren sem gegndi forystuhlutverki í rannsókninni.
Quasars are very bright, distant galaxies that are believed to be powered by supermassive black holes at their centres.	Dulstirni eru mjög bjartar og fjarlægar vetrarbrautir, knúin áfram af risasvartholum í miðju þeirra.
Their brilliance makes them powerful beacons that may help to probe the era when the first stars and galaxies were forming.	Þau skína mjög skært svo hægt er að nota þau til að rannsaka það tímabil þegar fyrstu stjörnurnar og vetrarbrautirnar voru að myndast.
The newly discovered quasar is so far away that its light probes the last part of the reionisation era [1].	Þetta nýuppgötvaða dulstirni er svo fjarlægt að ljós þess berst frá lokum hins svokallaða endurjónunarskeiðs í sögu alheims [1].
The quasar that has just been found, named ULAS J1120+0641 [2], is seen as it was only 770 million years after the Big Bang (redshift 7.1, [3]).	Dulstirnið kallast ULAS J1120+0641 [2] og sjáum við það eins og það var einungis 770 milljónum ára eftir Miklahvell (rauðvik 7,1 [3]).
It took 12.9 billion years for its light to reach us.	Ljós þess var því 12,9 milljarða ára á leið til okkar.
Although more distant objects have been confirmed (such as a gamma-ray burst at redshift 8.2, eso0917, and a galaxy at redshift 8.6, eso1041), the newly discovered quasar is hundreds of times brighter than these.	Fjarlægari fyrirbæri hafa reyndar fundist áður (eins og gammablossi með rauðvik 8,2, eso0917 og vetrarbraut með rauðvik 8,6, eso1041) en dulstirnið sem hér um ræðir er nokkur hundruð sinnum bjartara en hin fyrirbærin.
Amongst objects bright enough to be studied in detail, this is the most distant by a large margin.	Dulstirnið er það langfjarlægasta sem hægt er að rannsaka í smáatriðum vegna þess hve bjart það er.
The next most-distant quasar is seen as it was 870 million years after the Big Bang (redshift 6.4).	Næstfjarlægasta dulstirni sem þekkist sést 870 milljónum ára eftir Miklahvell (rauðvik 6,4).
Similar objects further away cannot be found in visible-light surveys because their light, stretched by the expansion of the Universe, falls mostly in the infrared part of the spectrum by the time it gets to Earth.	Svipuð fyrirbæri, enn lengra í burtu, sjást ekki í sýnilegu ljósi því útþensla alheimsins hefur teygt á ljósinu svo það er að mestu innrautt þegar það loks berst til jarðar.
The European UKIRT Infrared Deep Sky Survey (UKIDSS) which uses the UK's dedicated infrared telescope [4] in Hawaii was designed to solve this problem.	Evrópska kortlagningarverkefnið UKIRT Infrared Deep Sky Survey (UKIDSS), sem gert var með breskum innrauðum sjónauka [4] á Hawaii, var falið að leysa þetta vandamál.
The team of astronomers hunted through millions of objects in the UKIDSS database to find those that could be the long-sought distant quasars, and eventually struck gold.	Stjörnufræðingarnir skoðuðu milljónir fyrirbæra í UKIDSS gagnagrunninum í leit að fjarlægum dulstirnum og höfðu að lokum heppnina með sér.
“It took us five years to find this object,” explains Bram Venemans, one of the authors of the study. “We were looking for a quasar with redshift higher than 6.5.	„Það tók okkur fimm ár að finna þetta fyrirbæri“ útskýrir Bram Venemans, einn af höfundum greinar um rannsóknina.
Finding one that is this far away, at a redshift higher than 7, was an exciting surprise. By peering deep into the reionisation era, this quasar provides a unique opportunity to explore a 100-million-year window in the history of the cosmos that was previously out of reach.”	„Við vorum að leita að dulstirni með rauðvik meira en 6,5 svo það kom okkur skemmtilega á óvart að finna svona fjarlægt dulstirni, með rauðvik meira en 7. Þetta dulstirni gerir okkur kleift að skyggnast djúpt inn í endurjónunarskeiðið og veitir okkur einstakt tækifæri til að rannsaka 100 milljón ára tímabil í sögu alheimsins sem var áður utan seilingar.“
The distance to the quasar was determined from observations made with the FORS2 instrument on ESOs Very Large Telescope (VLT) and instruments on the Gemini North Telescope [5].	Fjarlægðin til dulstirnisins var mæld með FORS2 mælitækinu á Very Large Telescope (VLT) ESO og mælitækjum á Gemini norður sjónaukanum [5].
Because the object is comparatively bright it is possible to take a spectrum of it (which involves splitting the light from the object into its component colours).	Vegna þess hve bjart dulstirnið er var hægt að gera litrófsmælingar á því, þ.e. skoða litina í ljósi þess og komast að mörgu um það.
These observations showed that the mass of the black hole at the centre of ULAS J1120+0641 is about two billion times that of the Sun.	Mælingarnar sýndu að risasvartholið í miðju ULAS J1120+0641 er um tveir milljarðar sólmassa.
This very high mass is hard to explain so early on after the Big Bang.	Erfitt er að útskýra svo massamikið svarthol svo skömmu eftir Miklahvell.
Current theories for the growth of supermassive black holes predict a slow build-up in mass as the compact object pulls in matter from its surroundings.	Kenningar um vöxt risasvarthola segja að massi þéttra fyrirbæra vaxi hægt þegar þau toga til sín efni úr nágrenninu.
