No more murders!	Ekki fleiri morð!
It's not a big deal.	SAM + LEE ' S Matseld frá Alaska og Kína Þetta er ekkert stórmál.
There are plenty of great stories in LA.	Það eru margar frábærar fréttir í LA.
We don't do great stories!	Við fjöllum ekki um frábærar fréttir!
No one does.	Enginn gerir það.
And no one would watch them even if we did.	Og enginn myndi horfa ef svo væri.
Do you know that there are at least 30 wars going on around the world, as we speak?	Veistu að það eru allavega 30 stríð í gangi um allan heim, á þessari stundu?
Yeah.	Já.
Of course you don't.	Auðvitað veistu það ekki.
Because there are no reporters there to tell you about them because they're all here covering three stupid whales!	Því það eru engir fréttamenn þar til að segja frá þeim því þeir eru allir hér að fjalla um þrjá heimska hvali!
Look at what they've done to me.	Sjáðu hvað þeir hafa gert mér.
I'm just a smelly, drunk, depressed Barbie.	Ég er illa lyktandi, drukkin, og þunglynd Barbie-dúkka.
No, no, of course not.	Nei, nei, auðvitað ekki.
You...	Þú...
Do you know what?	Veistu hvað?
Maybe this is my wake-up call. Okay.	Kannski er þetta vakning mín. Allt í lagi.
If this is what reporting is all about, I don't want any part of it.	Ef fréttamennska snýst um þetta vil ég ekki taka þátt í henni.
What would you do?	Hvað myndirðu þá gera?
Maybe be a teacher.	Kannski vera kennari.
Adam, it's Rachel.	Adam, þetta er Rachel.
Come in.	Svaraðu.
Hey, Rachel, can you give me a second?	Sæl, Rachel, geturðu beðið?
I'm kind of in the middle of something.	Ég er eiginlega upptekinn.
Adam, we need a generator!	Adam, við þurfum rafal!
There's got to be one at your station.	Það hlýtur að vera einn á stöðinni þinni.
If we don't get it in the next few minutes, the whales are dead.	Ef við fáum hann ekki innan fárra mínútna eru hvalirnir dauðir.
Now, start it up inside and keep it running until you get to the SAR hangar.	Kveiktu á honum innandyra og haltu honum gangandi þangað til þú kemur í skýlið.
Adam, do you roger that?	Adam, náðir þú þessu?
Yeah, I got it.	Já, ég náði þessu.
I'm just saying, grab a camera and some equipment while you're in there.	Gríptu bara með þér tökuvél og búnað á meðan þú ert þarna.
It'll take two seconds.	Það tekur enga stund.
I need you to be my cameraman.	Þú þarft að taka upp fyrir mig.
Jill, this is about the whales.	Jill, nú skipta hvalirnir máli.
And, by the way, what happened to your wake-up call?	Og hvað varð um vakningu þína?
Five minutes ago, you were going to be a school teacher.	Fyrir fimm mínútum ætlaðir þú að verða kennari.
This story is our chance, Adam.	Þessi frétt er okkar möguleiki, Adam.
It fell into your lap, but it landed you on national television!	Fréttin lenti í höndunum á þér og hún var sýnd um allt land!
What's happening out there on the ice right now, Adam, that's our story.	Það sem er að gerast á ísnum núna er fréttin okkar, Adam.
Don't throw it away.	Ekki henda því frá þér.
The people will spend the next two months in total darkness.	Fólkið mun eyða næstu tveimur mánuðum í algjöru myrkri.
What happened?	Hvað gerðist?
No way!	Ekki möguleiki!
There's about a million FAA regs against that.	Það eru milljón reglur sem banna þetta.
Shut it off, or we don't go.	Slökkvið á honum, eða við förum ekki.
It'll freeze.	Hann frýs.
This is the only way.	Þetta er eina leiðin.
Pat!	Pat!
We'll all be unconscious in five minutes.	Við missum meðvitund eftir fimm mínútur.
That's not what you want from your pilot.	Það er slæmt fyrir flugmanninn.
What if we just leave all the doors open and let all the air out?	Hvað ef við skiljum dyrnar eftir opnar og hleypum loftinu út?
You're joking, right?	Þið eruð að grínast, ekki satt?
Fine!	Allt í lagi!
But there's a pretty good chance we're going to freeze to death.	En það er sennilegt að við frjósum til dauða.
Seventy below?	57 gráðu frost?
That can't be right.	Það getur ekki verið rétt.
Feels pretty right.	Mér finnst það líklegt.
But wait, if we're going 100 knots, then that makes our wind chill at about...	Ef við erum á 180 km hraða þá er vindkulið um það bil...
Are you all right?	Er allt í lagi?
Are you okay?	Er í lagi með þig?
Are you all right?	Er í lagi með þig?
My eye is frozen shut!	Augun mín eru frosin föst!
What?	Hvað?
I can't see out of my eye!	Ég sé ekki út um augun!
What do I do?	Hvað geri ég?
I have a pocket knife.	Ég er með vasahníf.
I could cut it open, like in Rocky.	Ég get skorið þau opin, eins og í Rocky.
No!	Nei!
No cutting or ripping!	Ekki skera eða rífa!
Okay, okay, okay.	Allt í lagi, allt í lagi.
Okay, you know what?	Veistu hvað?
Just keep her steady.	Haltu henni bara stöðugri.
What are you doing?	Hvað ætlarðu að gera?
I'm going to lick your eye!	Sleikja á þér augað!
Nobody's licking my eye!	Enginn sleikir á mér augað!
Listen to me!	Hlustaðu á mig!
No!	Nei!
Stay calm!	Vertu rólegur!
No!	Nei!
You're not going to lick my eye! Yeah?	Þú ætlar ekki að sleikja á mér augað!
Yeah.	Já?
Yeah?	Já.
All right!	Það var lagið!
Now whatever you do, you don't blink!	Hvað sem þú gerir, ekki blikka!
Yeah!	Já!
That got a little weird! Whoo!	Þetta varð svolítið skrýtið!
Oh, God.	Guð minn góður.
You got it?	Ertu með hann?
Let's go to the other side of the ice.	Förum hinum megin við gatið.
Get the shot looking back.	Taktu upp í átt að gatinu.
Right here.	Hérna.
In three, two...	Eftir þrjár, tvær...
Okay.	Allt í lagi.
The temperature, minus 50.	Hitastigið, 45 gráðu frost.
The situation, critical.	Aðstæðurnar, tvísýnar.
The three mighty leviathans, a family on the brink.	Stórhvelin þrjú, fjölskylda á heljarþröm.
With ice, aggressive and merciless, easily outpacing the heroic rescuers struggling to clear it, their only hope now, one last ditch effort by two mystery men from Minnesota and their homemade de-icing machines.	Ísinn, ágengur og miskunnarlaus, á auðvelt með að yfirbuga hetjulega framgöngu björgunarmannanna, þeirra eina von nú er lokatilraun tveggja leyndardómsfullra manna frá Minnesota og ísbræðara þeirra.
You ready?	Tilbúinn?
Yeah! It's safe, right?	Er þetta ekki hættulaust?
They're not going to get electrocuted?	Fá þeir nokkuð raflost?
Good question.	Góð spurning.
Is this going to work?	Á þetta eftir að virka?
Hell if I know, Rachel.	Það veit ég ekki, Rachel.
I'll take the Breakfast Burrito.	Ég fæ mér Morgunverðarmaísköku.
That will come with a side of reindeer sausage.	Þú færð hreindýrapylsur í meðlæti. Ekki ég.
Mine won't.	Allt í lagi.
Okay. From panicked to playful.	Frá skelfingu til skemmtunar.
The hum of motors inside these strange boxes is the sound of salvation.	Mótorsuðið í þessum undarlegu kössum er hljóð frelsis.
For, in dramatic fashion, these odd machines have turned what might have been a dark, watery Arctic grave into a bubbling Jacuzzi.	Á undraverðan hátt hafa þessar furðulegu vélar breytt því sem hefði getað orðið dimm og blaut heimskautagröf í bullandi nuddpott.
How the hell did they get that story?	Hvernig náðu þau þessari frétt?
This is Jill Jerard with Adam Carlson, Barrow, Alaska.	Þetta er Jill Jerard með Adam Carlson, Barrow, Alaska.
Well, I was just doing my job, but I'm glad that you enjoyed it, Ed.	Ég var bara að vinna vinnuna mína, en það er gott að þér líkaði það, Ed.
Peter Jennings said that?	Sagði Peter Jennings það?
It's going national.	Þetta verður sýnt á landsvísu.
He is.	Hann er það.
He's right here.	Hann er hér.
My producer wants to talk to you.	Framleiðandi minn vill tala við þig.
Thank you, sir.	Takk, herra.
Well, we were...	Ja, við vorum...
I've actually been in Alaska for four years, now.	Núna hef ég reyndar verið í Alaska í fjögur ár.
Before that, I...	Fyrir það var ég...
I would absolutely love to send you my reel.	Það væri gaman að fá að senda þér myndefni mitt.
Thank...	Takk...
We make a pretty good team.	Við erum nokkuð gott lið.
I think we do.	Það finnst mér.
My absolute favorite whale is the mommy, Wilma, because she's a gentle mommy that loves and cares for her cute little baby.	Uppáhaldshvalurinn minn er mamman, Wilma, því að hún er blíð mamma sem elskar og sér um litla sæta kálfinn sinn.
And that must mean she has a big heart.	Og það þýðir að hún hefur stórt hjarta.
She also has big lungs.	Hún er líka með stór lungu.
I mean, look how long she can stay underwater.	Sjáið bara hvað hún getur verið lengi í kafi.
And she's huge!	Og hún er risastór!
I hope they make it to freedom.	Ég vona að þau fái frelsi.
Thank you, Shayna, for the seventh report about the whales today.	Takk, Shayna, fyrir sjöundu hvalafrásögnina í dag.
Who would like to talk about something else?	Hver vill segja frá einhverju öðru?
Who wants to do the next report on the whales?	Hver vill segja næst frá hvölunum?
Who will win in Alaska, the ice or the whales?	Hver sigrar í Alaska, ísinn eða hvalirnir?
Experts now fear for Bamm-Bamm...	Sérfræðingar óttast um Bamm-Bamm...
You have a phone call, Mr. McGraw.	Það er síminn til þín, hr. McGraw.
Here we go.	Þarna kom það.
Hey.	Sæll.
McGraw.	McGraw.
Hello, Colonel.	Sæll, höfuðsmaður.
How are you doing?	Hvernig hefurðu það?
We're all waiting for you up here.	Við erum að bíða eftir ykkur.
It what?	Hvað?
We have just received news that the hover barge will not be arriving in Barrow.	Við vorum að frétta að svifpramminn kemur ekki til Barrow.
Not now, not ever.	Hvorki nú, né seinna.
The massive craft careened into an Arctic pothole, even bigger than the barge itself, nearly causing a midair collision between the two sky cranes tasked with pulling it.	Risastórt farartækið féll niður í heimskautaskessuketil, sem var stærri en pramminn sjálfur, og olli næstum árekstri loftkrananna tveggja sem höfðu það hlutverk að draga hann.
Colonel, why didn't you tell the President how badly the rescue was going when he called?	Hví sagðirðu ekki forsetanum hversu illa gengi þegar hann hringdi?
Did you deliberately mislead your Commander in Chief?	Villtirðu vísvitandi fyrir æðsta yfirmanni þínum?
Ma 'am, we took on a monumental challenge in a difficult work environment.	Við tókum að okkur stórt verkefni í erfiðu vinnuumhverfi.
Our immediate goal was the delivery of the barge and now it's obvious that we lost that battle.	Markmið okkar var afhending prammans og það er ljóst að sú orrusta tapaðist.
But there's still a mission to complete.	En verkefnið er enn óklárað.
The National Guard isn't going to stop fighting until those whales are free.	Þjóðvarðliðið hættir ekki fyrr en hvalirnir eru frjálsir.
We all tried our hardest.	Við reyndum okkar besta.
I'm proud of you guys.	Ég er stoltur af ykkur.
I want you to clear out.	Nú skuluð þið fara heim.
Go find yourself some chow.	Fáið ykkur að borða.
Thank you, gentlemen.	Takk, herramenn.
Those guys set me up.	Þeir blekktu mig.
This is the worst day of my life!	Þetta er versti dagur lífs míns!
You know, they can take that out of your pay.	Veistu, þeir geta dregið þetta af laununum þínum.
Kelly?	Kelly?
I was in the neighborhood.	Ég var í nágrenninu.
If I 'd known you were this pretty, I would have returned that first phone call of yours right away.	Hefði ég vitað að þú værir svona sæt hefði ég svarað fyrsta símtalinu strax.
So, does my Commander in Chief have a Plan B, by any chance?	Er æðsti yfirmaður minn með aðra áætlun?
I was hoping you 'd have one for us.	Ég var að vona að þú værir með eina slíka.
We need to make a path out to the open water.	Við verðum að búa til slóð út á opið haf.
Otherwise, the whales will die here waiting.	Annars deyja hvalirnir meðan þeir bíða.
Let's start cutting holes every 60 feet.	Byrjum að skera göt með 18 metra millibili.
But what makes you think they're going to follow our path?	Hví heldurðu að þeir fylgi slóð okkar?
We have no choice but to try.	Við verðum að reyna.
The struggle to save three gray whales took an unexpected turn as local Eskimos began the daunting task of cutting a path of breathing holes, five miles long.	Baráttan við björgun gráhvalanna þriggja tók óvænta stefnu þegar eskimóar af staðnum byrjuðu á því óvænlega verkefni að skera átta kílómetra langa slóð öndunargata.
Their hope, to lure the whales to open water.	Þeir vonast til að geta lokkað hvalina út á opið haf.
There appears to be no other option for the trapped whales and to many, the Eskimos' audacious plan seems insane.	Það virðist engin önnur leið fyrir föstu hvalina og mörgum finnst djörf áætlun eskimóanna vera brjálæði.
We told them it's a no-go.	Við sögðum það af og frá.
No, maybe we should consider it.	Nei, kannski ættum við að íhuga það.
Gorbachev's been telling us to trust him on this glasnost thing.	Gorbachev hefur sagt okkur að treysta sér varðandi glasnost.
This might be a good first step.	Kannski er þetta gott fyrsta skref.
Well, I like Mr. Gorbachev but I am not ready to play the trust card.	Mér líkar við hr. Gorbachev en ég er ekki tilbúinn að sýna fullt traust.
Not for this.	Ekki fyrir þetta.
Gentlemen, if you'll excuse me, please.	Herramenn, hafið mig afsakaðan.
Ladies and gentlemen, the President of the United States.	Herrar mínir og frúr, forseti Bandaríkjanna.
USSR Admiral Arsenyev, Bering Sea The only available icebreaker within navigable distance belongs to the Soviets.	USSR Admiral Arsenyev, Beringshaf Eini fáanlegi ísbrjóturinn í skipfærri fjarlægð er í eigu Sovétmanna.
The Presidential candidates are weighing an opinion.	Forsetaframbjóðendurnir hafa sínar skoðanir.
The Dukakis camp is giving indications that this is a perfect...	Dukakis-menn eru með tilgátu um það að þetta sé fullkomin...
How much you want to bet they'll call?	Hvað viltu veðja miklu um að þeir hafi samband?
How much?	Hvað miklu?
Fifty rubles.	Fimmtíu rúblum.
A hundred and bubble gum.	Hundrað og tyggjói.
Bubble gum it is.	Tyggjó skal það vera.
Why aren't they moving?	Hvers vegna koma þeir ekki?
They can't leave until the baby's better.	Þeir geta ekki farið fyrr en kálfinum batnar.
The US Government is not going to let a Russian icebreaker come and save the day.	Ríkisstjórn Bandaríkjanna ætlar ekki að leyfa rússneskum ísbrjóti að bjarga málunum.
Neither am I. Who knows if they would even come?	Ekki ég heldur. Hver veit hvort þeir kæmu yfirleitt?
Please, they 'd all come for the same reasons that you're doing this.	Þeir myndu koma af sömu ástæðu og þið eruð að þessu.
Good PR.	Til að bæta almannatengslin.
Excuse me, young lady, but this is no PR stunt.	Afsakaðu, dama, þetta hefur ekkert með almannatengsl að gera.
I'm in for $ 2 million for gas and equipment.	Ég er búinn að eyða tveimur milljónum dala í eldsneyti og búnað.
And I care about those whales, just as much as you do.	Og mér er jafn annt um þessa hvali og þér.
Maybe even more so.	Kannski jafnvel meira.
What the hell is that supposed to mean?	Hvað meinarðu eiginlega með því?
It means that J.W. is spending his money, while you're making it hand over fist.	Ég meina að J.W. Er að eyða fjármunum á meðan þú græðir stöðugt.
Yeah, thank you.	Já, takk fyrir.
Thank you.	Takk fyrir.
Don't act like you're not piling up on the donations.	Ekki láta eins og peningaframlögin streymi ekki inn.
Well, we're going to need every penny to fight what you and your boss have done to the environment over the last eight years.	Við þurfum hvert penní til að berjast við það sem þið yfirmaður ykkar hafið gert umhverfinu síðustu átta ár.
Excuse me, I couldn't hear you over the sound of the booming economy and massive job creation.	Afsakið, ég heyrði ekki í þér vegna hávaðans frá dynjandi efnahagslífinu og stórfelldu atvinnusköpuninni.
At the expense of everything else.	Á kostnað alls annars.
Okay. All right.	Allt í lagi.
And that's why you're here, right?	Ertu ekki hérna þess vegna?
That's why we're here.	Við erum hér þeirra vegna.
It sounds like the only viable option is to call in the Soviets.	Eina raunhæfa leiðin virðist vera að kalla í Sovétmenn.
No, it's not!	Nei, ekki raunhæft!
I cannot recommend that to the President.	Ég get ekki ráðlagt forsetanum það.
It's not going to work.	Það gerist ekki.
You think I like calling the Soviets?	Heldurðu að mig langi að kalla í Sovétmenn?
They're some of the worst whalers in the world.	Þeir eru með verstu hvalveiðimönnum í heimi.
And now they're going to come in here and look like environmental heroes.	Og nú koma þeir hingað og líta út eins og umhverfishetjur.
But, as much as we hate it, Greenpeace is willing to shut our mouths and let them.	En, eins mikið og okkur er illa við það, er Greenpeace til í að halda kjafti og leyfa þeim það.
Well, I'm not.	Ekki ég.
I'll be damned if I'm going to let those Reds come in here and save the day.	Ég mun ekki leyfa þessum kommúnistum að koma hingað og bjarga deginum.
It's not going to happen!	Það gerist aldrei!
That's right.	Rétt.
Then those whales are going to die.	Þá deyja þessir hvalir.
Right there in front of the cameras.	Fyrir framan tökuvélarnar.
And when the weeping schoolchildren and the heartsick men and women of this country look for someone to blame...	Og þegar grátandi skólabörnin og sorgmætt fólk þessa lands leita að einhverjum til að ásaka...
And they always do, right?	Og þannig er það alltaf, ekki satt?
They're going to ask the nice, trustworthy lady at Greenpeace.	Þá spyrja þau þessa góðu og traustvekjandi konu frá Greenpeace.
And I'm going to tell them that Ronald Reagan killed those whales.	Og ég ætla að segja þeim að Ronald Reagan hafi drepið hvalina.
Goodbye legacy.	Bless arfleifð.
Goodbye George Bush election.	Bless George Bush-kosningabarátta.
Goodbye to everything that you three came here to do.	Bless við allt sem þið þrjú komuð hingað til að gera.
Can you recommend that to the President?	Geturðu ráðlagt forsetanum það?
Gorby, it's Ronny.	Gorby, þetta er Ronny.
Capitan. Vladivostok Base to icebreaker Admiral Arsenyev.	Vladivostok-stöðin kallar Admiral Arsenyev-ísbrjótinn.
Stand by to receive transmission of new orders...	Ný fyrirmæli eru á leiðinni...
Steer course to 160.	Setjið stefnuna á 160.
You know this could end very badly.	Þú veist að þetta gæti endað illa.
The sea is freezing over.	Sjórinn er að frjósa.
If we don't act fast we're going to be trapped with those whales.	Ef við flýtum okkur ekki sitjum við fastir með hvölunum.
A theme that dominated today's episode of the trapped whales was "The Russians are coming."	Í dag var aðalefni þáttarins um föstu hvalina... "Rússarnir eru að koma."
And now the Soviet Union has actively joined the effort to save the whales still trapped in the ice off Alaska.	Og nú hafa Sovétríkin ákveðið að taka virkan þátt í björgun hvalanna sem enn eru fastir við strönd Alaska.
Tonight, there's a new twist to this drama.	Í kvöld kom ný flækja í atburðarásina.
The Soviet Navy is now sending reinforcements to help the Americans...	Sovéski herinn er að senda liðsauka til að hjálpa Ameríkönum...
The stage now is set for a climax to this long suspense story.	Komið er að hámarki þessarar löngu spennusögu.
Everyone involved seems to be planning for one final push no matter what it costs.	Allir þátttakendur virðast planleggja lokaátak hvað sem það kostar.
That's all.	Það er allt og sumt.
Anyway, we got five miles of holes to cut, so we can't waste any time.	Við þurfum að gera átta kílómetra gataslóð, svo við megum engan tíma missa.
By God, we can do it.	Guð veit að við getum það.
Just give him a cheer so we can get on with it.	Fagnið honum bara svo við getum haldið áfram.
Exactly.	Einmitt.
Guardsmen, we're on the move!	Þjóðvarðliðar, hefjumst handa!
Come on!	Svona!
Let's go!	Áfram!
That's it.	Þetta er málið.
It's going to be okay, Bamm-Bamm.	Þetta verður allt í lagi, Bamm-Bamm.
The ice-smashing cold war comrades will arrive within a day, but won't stay long as the brutal Beaufort Sea's frozen waters will soon become impassable.	Hinir ísbrjótandi kaldastríðskumpánar koma í dag, en staldra stutt þar sem frosin vötn hins hrikalega Beaufort-hafs verða brátt ófær.
The Red rescuers will have just one Hail Mary shot at breaking through the pressure ridge.	Hinir rauðu björgunarmenn fá eitt tækifæri til að brjótast í gegnum þrýstingshrygginn.
Wait.	Bíddu.
What's happening?	Hvað er að gerast?
What are they upset about?	Af hverju eru þeir svona æstir?
I think they're getting ready to move.	Ég held þeir séu tilbúnir að færa sig.
They are moving.	Þeir eru að færa sig.
Okay.	Allt í lagi.
Dean, Karl, de-icers!	Dean, Karl, ís-bræðarar!
Let's go!	Komum!
As quickly as possible!	Eins fljótt og við getum!
Where's Bamm-Bamm?	Hvar er Bamm-Bamm?
He's not coming up.	Hann kemur ekki upp.
Where is he?	Hvar er hann?
He's just a baby and he's confused.	Hann er bara kálfur og hann er ringlaður.
He'll come up.	Hann kemur upp.
Pat, I don't see him.	Pat, ég sé hann ekki.
Just give him a minute.	Gefðu honum smá tíma.
I don't see him.	Ég sé hann ekki.
He's always right here.	Hann er alltaf hérna.
He's down here.	Hann er hérna niðri.
He's gone.	Hann er farinn.
The other two were protecting him, but he could no longer hold on.	Hinir tveir voru að vernda hann, en hann gat ekki haldið sér lengur á lífi.
Bamm-Bamm is dead.	Bamm-Bamm er dáinn.
Come on, surface.	Svona, komdu upp.
Come on, Bamm-Bamm.	Svona, Bamm-Bamm.
No, he's going to come up.	Nei, hann kemur upp.
On me in three, two, one.	Á mér eftir þrjár, tvær, eina.
Adam, where you going?	Adam, hvert ertu að fara?
He's going to come up.	Hann kemur upp.
Surface.	Komdu upp.
We can't let him die.	Við getum ekki látið hann deyja.
We can't!	Við getum það ekki!
We should have started earlier.	Við hefðum átt að byrja fyrr.
We didn't do enough.	Við gerðum ekki nóg.
No, no, no.	Nei, nei, nei.
This is nobody's fault.	Þetta er engum að kenna.
Listen, there are going to be things that happen that neither you or anyone else can do anything about.	Hlustaðu, það á margt eftir að gerast sem hvorki þú né nokkur annar getur gert nokkuð í.
You got to stop.	Þú verður að hætta.
Just stop fighting.	Hættu að berjast.
That baby is gone.	Kálfurinn er dáinn.
And you can't change that.	Þú getur ekki breytt því.
Amen.	Amen.
One of three whales trapped in the ice near Barrow, Alaska, has not surfaced since yesterday.	Einn af hvölunum þremur, sem fastir eru í ís nærri Barrow, Alaska, hefur ekki komið upp á yfirborðið síðan í gær.
The whale, nicknamed Bamm-Bamm, is now presumed dead.	Hvalurinn, sem kallaður var Bamm-Bamm, er álitinn dauður.
Rescuers say Bamm-Bamm's mother and father refused to leave their baby's side, until the very end.	Björgunarmenn segja að foreldrar Bamm-Bamm hafi neitað að yfirgefa kálfinn, uns hann var dáinn.
To the little one. Whoa, whoa!	Skál fyrir þeim litla.
Miss Kramer?	Fröken Kramer?
Ma 'am, I know how much you wanted to save that baby.	Ungfrú, ég veit hvað þig langaði heitt að bjarga kálfinum.
And him dying, I 'd be lying if I told you it didn't hurt like hell.	Og ég væri að ljúga ef ég viðurkenndi ekki að dauði hans var mér afar sár.
But I just want you to know that we all give you the lion's share of credit around here.	En ég vil bara að þú vitir að okkur finnst þú eiga langmest hrós skilið.
Because if it weren't for you, all three of those whales would be dead now.	Ef ekki væri fyrir þig væru hvalirnir þrír allir dauðir.
And I promise you we're going to save the other two, no matter what it takes.	Og ég lofa að við björgum hinum tveimur hvað sem það kostar.
You're not as easy to hate as I thought.	Það er ekki eins auðvelt að hata þig og ég hélt.
Neither are you.	Ekki þig heldur.
Cut.	Klippa.
Arnold, you have to hold the camera straight.	Arnold, þú þarft að halda vélinni stöðugri.
The camera's facing the ground.	Tökuvélin vísar niður.
You got to keep it up.	Þú átt að halda henni uppi.
I'm sorry.	Fyrirgefðu.
Let's go again.	Byrjum aftur.
If the whales or the Soviets don't arrive at the exact...	Ef hvalirnir eða Sovétmenn koma ekki á nákvæmlega...
The town of Barrow has shut down as schoolchildren and shopkeepers alike answer the call to help out on the ice in any way they can.	Bærinn Barrow er lokaður þar sem skólabörn jafnt sem verslunarmenn svara kallinu um hjálp úti á ísnum sem best þeir geta.
Those not cutting holes are providing hot food and coffee.... with the Soviets racing across the sea the whales are now within a mile of the ridge.	Þeir sem ekki eru að skera göt útvega heitan mat og kaffi.... Sovétmenn eru á fleygiferð yfir hafið og hvalirnir eru um einn og hálfan kílómetra frá hryggnum.
This is hole 425!	Þetta er gat númer 425!
That's over 30 holes an hour, in one solid day.	Það gera 30 göt á klukkustund á einum degi.
It's incredible!	Það er ótrúlegt!
We really did it.	Okkur tókst það.
They could've told us it was so big.	Þeir hefðu mátt vara okkur við stærðinni.
Maybe this wasn't such a great idea.	Kannski var þetta ekkert sérstök hugmynd.
Slow ahead 10 knots.	Hægt áfram, tíu hnúta.
Very well.	Skal gert.
That's big.	Hann er stór.
It hardly made a dent.	Það sér varla á honum.
Let's go again.	Prófum aftur.
Stand by.	Bíðið.
Attention.	Takið eftir.
This is Icebreaker Admiral Arsenyev.	Þetta er ísbrjóturinn Admiral Arsenyev.
The ship is going to hit the ice again.	Skipið ætlar að sigla aftur á ísinn.
Fall back!	Hörfið!
Stop engine.	Stöðvið vélina.
They're swimming away!	Þeir synda í burtu!
It's the vibration!	Það er titringurinn!
Oh, no.	Ó, nei.
Stop!	Stopp!
No, no, no!	Nei, nei, nei!
There's nowhere left for them to go!	Þeir komast hvergi!
The old holes are frozen over!	Það hefur fryst yfir gömlu götin!
Come back!	Komið aftur!
We could have structural damage.	Skipið hefur skemmst.
We go again.	Við prófum aftur.
They've been under there too long, Rachel.	Þeir hafa verið of lengi þarna niðri, Rachel.
We did enough.	Við gerðum nóg.
30 knots.	30 hnúta.
Full ahead.	Fulla ferð áfram.
Oh, my Lord.	Guð minn góður.
That Ruskie's crazy.	Þessi Rússi er brjálaður.
Careful.	Varlega.
Do you see them?	Sérðu þá?
Come on, you bastards, surface!	Svona, vitleysingar, komið upp!
Fred.	Fred.
I'm going to miss them.	Ég á eftir að sakna þeirra.
Karl and Dean became local celebrities back in Minnesota and their de-icer business took off.	Karl og Dean urðu þekktir heima í Minnesota og ísbræðarafyrirtæki þeirra hóf starfsemi.
It's Arctic-proven, don't you know?	Þeir eru heimskautaprófaðir, vitið þið það ekki?
Colonel Boyer and Kelly Meyers fell in love.	Boyer höfuðsmaður og Kelly Meyers urðu ástfangin.
They got married on August 12th, 1989.	Þau giftu sig 12. ágúst, 1989.
And they spent their entire honeymoon down in Baja, watching the whales.	Þau eyddu allri brúðkaupsferðinni í Baja, að skoða hvali.
It only took three more stations, but Jill Jerard finally made it to a national news network.	ALASKA GRÁHVALUR Aðeins þremur stöðvum síðar komst Jill Jerard á sjónvarpsstöð sem sýndi á landsvísu.
So, Joey, you've denied the affair.	Þú neitar þessu ástarævintýri, Joey.
You say Amy Fisher was just obsessed with you.	Þú segir að Amy Fisher hafi verið heltekin af þér.
I thought you were supposed to be at a job interview in Pittsburgh.	Ég hélt þú ættir að vera í starfsviðtali í Pittsburgh.
I canceled it.	Ég aflýsti því.
I had something else I had to do.	Ég þurfti að gera svolítið annað.
I don't like the robe.	Ég er ekki ánægður með sloppinn.
See, I knew I was going to hurt your feelings.	Sko, ég vissi að ég myndi særa þig.
No, honesty is important.	Nei, heiðarleiki er mikilvægur.
Good, because honestly, you drive me crazy.	Gott vegna þess að í sannleika sagt gerir þú mig brjálaðan.
I can't imagine my life without you.	Ég get ekki ímyndað mér lífið án þín.
Adam got offers from all over the lower 48, but he turned them down to stay in Anchorage.	Adam fékk tilboð hvaðanæva frá Bandaríkjunum, en hann hafnaði þeim til að dvelja áfram í Anchorage.
He told me, "The biggest stories happen in the least likely places."	Hann sagði mér... "Stærstu fréttirnar gerast á ólíklegustu stöðunum."
And now, here's Sarah Heath with tonight's sports.	Og hér er Sarah Heath með íþróttir kvöldsins.
Not just Iditarod news tonight, right?	Eru nokkuð bara fréttir af hundasleðakeppninni?
Right.	Nei.
There was some good college basketball today.	Það eru góðar fréttir úr háskólakörfuboltanum.
I'm going to show you highlights, plus tell you all about that, next.	Ég ætla að sýna ykkur hápunktana og segja ykkur frá, næst.
Stay right there.	Haldið áfram að horfa.
Yeah.	Já.
Me and my grandfather spend a lot of time together now.	Við afi eyðum miklum tíma saman núna.
He and the rest of my people never stopped laughing at the huge fuss the crazy outsiders made.	Hann, ásamt fólki mínu, hætti aldrei að hlæja út af fjaðrafokinu sem utanbæjarfólkið olli.
But sometimes, I think about the whales and that hole in the ice where we first found them, and how it kept getting bigger and bigger until it let the whole world in.	En stundum hugsa ég um hvalina og gatið í ísnum þar sem við fundum þá fyrst, og hvernig það varð stærra og stærra þar til allur heimurinn safnaðist að því.
It happens every so often, an animal's dilemma captures the public imagination and continues to hold onto it.	Það gerist annað slagið að dýr í vanda grípur ímyndunarafl almennings og neitar að sleppa.
Those three California gray whales trapped in the Arctic ice off Alaska...	Kaliforníu-gráhvalirnir þrír sem fastir eru í heimskautaís við Alaska...
And since you've refused to read them, we'll go ahead and read them for you.	Og fyrst þið neitið að lesa þau, geri ég það fyrir ykkur.
What is it that's brought you to this site to do all of this work?	Hvað varð til þess að þú komst hingað til að vinna þetta starf?
I think it's the same as with most people that have a real good feeling about whales...	Það sama og hjá flestum sem líkar vel við hvali. Ég sagði við konuna mína..."
I just told my wife, I said, "We can open that hole up for them."	Við getum opnað gatið fyrir þá."
Well, the purpose was to keep the water open and it almost looks like we've got something else going here.	Tilgangurinn var að halda gatinu opnu en það er næstum eins og eitthvað annað sé að gerast.
The whales seem to really like them.	Hvalirnir eru stórhrifnir.
That must make you feel very good.	Þið hljótið að vera ánægðir með það.
Yes, it does.	Já, vissulega.
Well, this whole project is a real long shot, you know.	Þetta verkefni er áhættusamt.
There's no use pretending that this is a foregone conclusion that we're gonna get these guys out of here.	Við þurfum ekki að láta sem útkoman sé fyrirfram ákveðin, að við náum að frelsa hvalina.
If the weather...	Ef veðrið...
They're spitting all over us.	Þeir frussa yfir okkur.
