Step aside.	Farið frá.
If I wanted.	Ef ég vildi það.
I'm telling you, Slavicky had evidence that Beau-line was toxic.	Slavicky gat sannað að Beau-line er eitrað.
That's why Laurel killed him.	Þess vegna myrti Laurel hann.
George found out and she killed him too.	George komst að því og hún myrti hann líka.
Ballistics show the same weapon killed both men:	Þeir voru báðir myrtir með byssunni sem þú hélst á.
the gun in your hand.	Kattarkonan hélt á henni.
Catwoman's hand.	Hver er munurinn?
What's the difference?	Það skiptir líklega engu máli.
Guess it doesn't matter.	Skilurðu þetta ekki?
AII of the evidence, every single piece, it points to you.	Allar vísbendingarnar leiða okkur til þín.
There's nothing that shows me anything else.	Það er ekkert sem sýnir annað.
There's me.	Hvað með mig?
You can believe me.	Þú getur trúað mér.
Do you remember the first time you saw me?	Manstu fyrsta skiptið sem þú sást mig?
Yeah.	Já.
What did you see?	Hvað sástu?
A girl rescuing a cat.	Ég sá stúlku að bjarga ketti.
No, you didn't.	Það er ekki rétt.
You saw a crazy person out on a ledge trying to jump.	Þú sást klikkaða konu sem ætlaði að stökkva.
And all the evidence pointed to that, didn't it?	Allt benti til þess.
I really need you to believe me.	Þú verður að trúa mér.
How can I?	Hvernig get ég það?
I don't know who you are.	Ég veit ekki hver þú ert.
I'm the same girl you were with last night.	Ég er sama stúlka og þú varst með í gær.
Take her back.	Farðu með hana.
You be a nice kitty, now.	Vertu góð kisa.
Look at it this way, Lone.	Sjáðu málið svona.
You may have lost your woman, but at least you got your man.	Þú glataðir stúlkunni en gómaðir sökudólginn.
Did I?	Gerði ég það?
Hello, Midnight.	Miðnætti.
You've spent a lifetime caged.	Þú hefur verið lokuð inni alla ævi.
By accepting who you are, all of who you are you can be free. And freedom is power.	Ef þú sættir þig við allt sem þú ert getur þú orðið frjáls og frelsi er máttur.
It's not just about me anymore, Midnight.	Málið snýst ekki aðeins um mig núna.
You know Lassie would have brought me a key.	Lassí hefði komið með lykil.
You'll get to talk to a lawyer.	Krossleggðu loppurnar.
Are you okay?	Ertu ómeidd?
A girl like me lands on her feet. Wait! Wait!	Stúlka eins og ég lendir á fótunum. bíddu.
My husband dreamed of a world where every woman could be as beautiful as she wanted to be.	Eiginmanninn minn dreymdi um heim þar sem hver kona gat verið eins falleg og hún vildi.
He dedicated his life pursuing that dream.	Hann helgaði líf sitt því að láta þann draum rætast.
As Hedare's new chief executive I intend to make that dream a reality by proceeding with tomorrow's launch of Beau-line.	Sem nýi framkvæmdastjóri Hedare hef ég ákveðið að láta þennan draum rætast og setja Beau-line á markað á morgun.
Thank you!	Þakka þér fyrir.
Everyone, this is the man that brought my husband's killer to justice.	Þetta er maðurinn sem gómaði morðingja mannsins míns.
Can I talk to you, in private?	Mætti ég tala við þig í einrúmi?
Why, detective, you make it sound like I'm a suspect.	Þetta hljómar eins og ég sé grunuð.
What if I told you I had evidence? If you have evidence, then how come I'm not in cuffs?	Hvað ef ég segði þér að ég hefði sönnunargögn? hvers vegna er ég þá ekki í handjárnum?
Well, you're a smart woman, Mrs. Hedare.	Þú ert klár kona.
Beautiful. Rich.	Falleg og rík.
I thought maybe we could work something out.	Við ættum að geta samið um þetta.
So this evidence... You'll make it disappear? Pin it on the other girl?	Ætlar þú að láta sönnunargögnin hverfa og kenna hinni stelpunni um þetta allt saman?
If that's what you want me to do.	Ef þú vilt að ég geri það.
And you?	Hvað með þig?
What do you want?	Hvað vilt þú?
You just gave me what I want.	Þú varst að gefa mér það sem ég vildi.
You just told me it was you. Now, why would you believe it was me?	Þú sagðir mér að þú værir sek. Hvers vegna heldur þú að ég sé sú seka?
Because I finally trusted a friend.	Vegna þess að loksins treysti ég vini mínum.
Yeah, well, your friend just got you killed.	Sá vinur orsakaði dauða þinn.
Don't be stupid, Laurel.	Laurel.
You don't want to kill a cop.	Þú vilt ekki drepa löggu.
I'm a woman, Lone.	Lone.
I'm used to doing all kinds of things I don't wanna do.	Ég er vön því að gera það sem ég vil ekki.
Give my regards to my husband.	Ég bið að heilsa manninum mínum.
How sweet.	Þetta er sætt.
Now I can kill you both. Hold on, I gotta stop.	Nú get ég drepið ykkur bæði. ég verð að stoppa aðeins.
How is it?	Hversu slæmt er þetta?
Well, there goes my jump shot.	Ég get lítið spilað körfubolta.
Listen.	Heyrðu.
I want you to know I'm sorry.	Ég biðst afsökunar.
I should have trusted you all along.	Ég hefði átt að treysta þér.
A hero?	Hetja?
A thief?	Þjófur?
A freak?	Viðundur?
If you don't have an identity, why keep it a secret?	Hvers vegna leynir þú því hver þú ert?
Because you killed me.	Því þú myrtir mig.
It was me you flushed down the pipes.	Það var ég sem þú sturtaðir út í sjó.
I'm Patience Phillips.	Ég heiti Patience Phillips.
You're just a scared little girl playing dress-up.	Þú ert bara hrædd stúlka í grímubúningi.
Nobody. Nothing.	Ekkert og engin.
Where do you think you're going?	Hvert þykist þú vera að fara?
You're gonna look like a cop-killer.	Þér verður kennt um löggumorðið.
You wanted to save him.	Þú vildir bjarga honum.
Honey, you couldn't save yourself.	Þú getur ekki einu sinni bjargað sjálfri þér.
Game over.	Leik lokið.
Guess what.	Veistu hvað?
It's overtime.	Það er framlenging.
Give me your hand!	Taktu í höndina á mér.
Help me!	Hjálpaðu mér!
I might not be a hero, but I'm certainly not a killer.	Ég er ekki mikil hetja en ég er ekki morðingi.
The day I died was the day I started to live.	Daginn sem ég dó lifnaði ég við.
In my old life, I longed for someone to see what was special in me.	Í gamla lífinu þráði ég að einhver gæti séð það sérstaka við mig.
You did, and for that you'll always be in my heart.	Þér tókst það og þess vegna gleymi ég þér aldrei.
But what I really needed was for me to see it. And now I do.	En það sem ég þurfti var að sjá þetta sjálf.
You're a good man, Tom.	Nú sé ég það.
But you live in a world that has no place for someone like me.	Þú ert góður maður en þinn heimur hefur ekki pláss fyrir mína líka.
You see, sometimes I'm good.	Stundum er ég góð.
Oh, I'm very good.	Ég get verið mjög góð.
But sometimes I'm bad.	En stundum er ég vond.
But only as bad as I wanna be.	Eins vond og ég leyfi mér.
Freedom is power.	Frelsið er máttur.
To live a life untamed and unafraid is the gift that I've been given and so my journey begins.	Að lifa óhamin og óhrædd er sú gjöf sem mér var gefin.
2004 Action,Crime,Thriller 104 USA English, Spanish 1/1 1.0 English 2014-12-27 798 01:38:13,600 7298 96 1036 0 utf-8 16 107	Nú hefst för mín. 802 Icelandic 1.0 1/1 2014-07-27 01:34:09,600 USA 104 Action,Crime,Thriller 2004 English, Spanish 1 909 0 5522 0 iso-8859-4 0
Los Angeles Tower. this is Transworld 2 2 heavy.	Los Angeles flugturn þetta er Transworld 22.
We are going down.	Við erum á niðurleið.
Repeat. engines two and two- Mayday!	Hreyflar tvö og...
Mayday!	Neyðarkall...
Andrew?	Festið sætisólar Andrew?
This is your father.	Þetta er faðir þinn.
Hello?	Halló?
Look. you don't call me back. so I don't know how to do this.	Þú hringir aldrei aftur svo ég veit ekki hvað ég get gert.
If you're not gonna return my calls. then there's no way for us to communicate.	Ef þú hringir aldrei aftur í mig getum við ekki átt samskipti.
Look. I don't know how to do this.	Ég veit ekki hvernig ég get sagt þetta.
You're gonna need to come home now.	Nú verður þú að koma heim.
Last night...	Í gær...
Your mother died last night. Andrew.	Móðir þín lést í gær, Andrew.
She drowned.	Hún drukknaði.
Last night. she drowned in the bath.	Hún drukknaði í baðkarinu í gær.
Ten résumés just today.	Tíu manns sóttu um vinnu í dag.
They come in every day from Idaho or Milwaukee or Florida.	Fólk frá Idaho og Flórída.
And do you know what they want more than a spot on Everybody Loves Raymond?	Hvað vilja þau frekar en hlutverk í Allir elska Raymond?
They want your job.	Þau vilja starfið þitt.
This cannot happen again.	Þetta má ekki gerast aftur.
This will never happen again.	Tvö borð bíða og þú ert hálftíma of seinn.
You have two tables, you are 30 minutes late, and if I ever say this again, your job will go to Todd Slauson from Duluth, Minnesota.	Ef ég segi það aftur fer starfið þitt... til Todd Slauson frá Duluth í Minnesota.
Sparkling or flat?	Með eða án kolsýru?
Waiter ten. do you have your earpiece in?	Þjónn 10, ert þú með heyrnartólin?
You forget the order 4 1 for table 1 0 1!	Þú gleymdir pöntun 41 fyrir borð númer 101.
What the fuck, man?	Hvaða rugl er þetta?
What are you, on break?	Ertu í kaffi?
Nah, I'm just messin' with ya.	Nei, ég er bara að fíflast í þér.
Uh, we'll have four Ketel Red Bulls and...?	Við ætlum að fá fjóra Ketel í Red Bull og...
And I'll have a Ketel Cosmo with a Red Bull, and some bread ASAP.	Ég ætla að fá Ketel Cosmo í Red Bull og brauð strax.
We don't have bread.	Við erum ekki með brauð.
What do you mean?	Hvað áttu við?
How can you not have bread?	Hvernig er hægt að eiga ekki brauð?
Uh, we're a Vietnamese restaurant. We just don't have bread.	Þetta er víetnamskur staður og við erum ekki með brauð.
Well, you're not Vietnamese.	Þú ert ekki frá Víetnam.
No, I'm not.	Nei, það er rétt.
Can I have something to chew on?	Fæ ég eitthvað til að tyggja?
Fuck, bamboo. Whatever.	Bambus eða hvað sem er.
I'll see what I can find.	Ég skal athuga hvað ég finn.
Waiter number 1 2. flight number 1 2 1 with nonstop service to Newark International will be departing from Gate 32.	Þjónn númer 12, flug númer 121 beint til Newark fer frá hliði 32.
Holy shit!	Fjandinn.
What's up, man?	Hvað segirðu?
Largeman, what are you doing here?	Largeman, hvað ert þú að gera hérna?
Uh... that's my mom.	Þetta er mamma mín. Fjandinn.
Fuck.	Fjandinn.
Aw, fuck. Sorry.	Ég samhryggist.
Yeah.	Já.
So... welcome back home.	Velkominn heim.
Thanks.	Takk.
So, what have you been doin'?	Hvað ertu nú að gera?
You still acting and shit, right?	Ertu ennþá að leika?
Yeah. In L.A., right?	Býrðu ekki í L. A?
Yeah.	Einmitt.
That's cool.	Það er svalt.
I hear that place is, like, fucking crazy.	Ég hef heyrt að það sé brjálaður staður.
My cousin's a writer out there.	Frændi minn er rithöfundur þar.
He says that place is, like, mad crazy.	Hann segir að allt sé brjálað.
He's, like, writing a movie about snowboarders or some shit.	Hann er að skrifa handrit að snjóbrettamynd.
I don't, I don't know.	Ég veit það ekki...
Um... I should introduce you to him, Largeman.	Ég ætti að kynna ykkur.
Yeah, definitely.	Þið gætuð unnið saman.
What are you doing tonight, man?	Ekki spurning.
Uh... nothin', you know.	Hvað ætlarðu að gera í kvöld?
You know, no real plans.	Ekkert sérstakt.
Just in town for a couple of days, so...	Ég verð í bænum í nokkra daga.
You should come out with us.	Komdu með okkur.
We're gonna go over to the Gleasons' house.	Við ætlum að fara til Gleasons.
They're having some... fucking huge party or something.	Það verður rosapartí eða eitthvað þarna.
Supposedly.	Svo er sagt.
Well, yeah, supposedly.	Svo er sagt.
Really?	Er það?
He lives up on the hill.	Hann á heima uppi á hæðinni.
We'll probably go over there after we bury your mom.	Við förum þangað þegar við höfum grafið mömmu þína.
Well, I got to shower.	Ég verð að fara í sturtu.
Same.	Já, ég líka.
Do you know your mother redid the hallway bathroom?	Vissirðu að mamma þín lét breyta baðherberginu?
What? I'm sorry, what?	Fyrirgefðu, hvað segirðu?
Since I met her, she never showed an interest in anything.	Síðan ég kynntist henni sýndi hún aldrei áhuga á neinu.
All of a sudden, a month ago, she wakes up, she wants to redecorate her bathroom.	Skyndilega vaknaði hún fyrir mánuði og vildi breyta baðherberginu.
I helped her.	Ég hjálpaði henni.
Oh, must have been fun.	Það hefur verið gaman.
Well, I sew.	Ég sauma.
I made you something. It's a shirt.	Ég bjó til skyrtu handa þér.
That's-That's good.	Það var gott.
Thank you.	Þakka þér fyrir.
Will you try it on now?	Viltu máta hana núna?
Now?	Núna?
Well, in case I have to fix it before you leave again, and we don't see you for another nine years.	Ef ég skyldi þurfa að breyta henni áður en þú ferð og kemur ekki aftur í níu ár.
I want to make sure it fits. Oh, OK.	Ég vil vera viss um að hún passi.
You're gonna love the material.	Þú verður hrifinn af efninu.
I used the leftovers from your mother's design.	Ég notaði afgangana frá mömmu þinni.
Hello.	Sæll.
How you doin'?"	Hvernig líður þér?
Well, besides that, Mrs. Lincoln, how was the show?"	Hvernig var annars leikritið, frú Lincoln?
You know, I'm not really sure what to say here, Dad, so I'm sorry.	Ég veit ekki hvað ég get sagt.
Hmm.	Mér þykir þetta leitt.
How are you? I'm OK.	Hvernig líður þér?
I've been getting these really bad headaches, though.	Ágætlega en ég hef samt fengið slæma höfuðverki.
I just thought maybe you could help me get that checked out while I'm home.	Ég hélt að þú gætir látið líta á mig meðan ég er hérna.
Go see Dr. Cohen first thing in the morning.	Farðu til Cohen læknis strax í fyrramálið.
He's a neurologist in my building.	Hann er taugasérfræðingur.
I-I'll call him.	Ég hringi til hans.
He'll fit you in.	Hann kemur þér að.
I'm sure it's nothing to worry about.	Þetta er eflaust ekki neitt.
Place looks good.	Húsið lítur vel út.
Oh, that's nice.	Það er ágætt.
Yeah, we've been doing a lot of work on it.	Við höfum unnið mikið að því undanfarið.
Really?	Er það?
Actually, no.	Reyndar ekki.
I don't know why I just said that.	Ég veit ekki hvers vegna ég sagði það.
Someone redid the hallway bathroom. I saw that.	Ég sé að baðherberginu hefur verið breytt.
Yeah, that's new.	Já, það er nýtt.
I'm glad you're here.	Það er gott að fá þig heim.
Saying goodbye is important.	Það er mikilvægt að kveðja.
I'm glad you could fit it in.	Það er gott að þú hafðir tíma fyrir þetta.
Put your hands on your head, please!	Settu hendur á höfuðið.
What?	Hvað segirðu?
I said, put your motherfucking hands on you head... please.	Ég sagði þér að fara upp með helvítis hendurnar.
82 in a 25.	130 á 40-svæði.
What are you gonna tell me, you're late or you're just tired?	Ertu seinn eða ertu bara þreyttur?
I was- - Shut the fuck up!	Ég var bara... Haltu kjafti.
Largeman!	Largeman.
Holy shit!	Skrambinn.
Oh, man! How you doin?	Hvað segir þú gott?
I'm great!	Allt ágætt.
You're mom just died!	Mamma þín dó.
I know!	Ég veit það.
I mean, that's why you're home.	Ertu þess vegna kominn heim?
Yeah, yep.	Einmitt.
You're a cop, Kenny?	Ertu lögga, Kenny?
I know, I know.	Já, ég veit.
Why?	Hvers vegna?
I don't know.	Ég veit það ekki.
Couldn't think of anything better to do.	Mér datt ekkert betra í hug að gera.
No, but it's really cool, though, man.	Þetta er mjög svalt.
People really listen to you.	Fólk hlustar á mann.
I mean... they have to!	Það verður að hlusta á mig.
Yo, and check this shit out.	Sjáðu þetta.
That's the safety.	Hérna er öryggið.
Oh, cool.	Þetta er svalt.
And plus, the benefits, man.	Og öll fríðindin.
If I get shot, I'm like, mmm! Rich!	Ef ég verð fyrir skoti fæ ég fullt af peningum.
But Kenny, the last time I saw you, you were doing coke lines off a urinal.	Síðast þegar ég sá þig varstu að sniffa kók af pissuskál.
La-la-la-la No, I had to grow up, man. It's time to grow up.	Ég varð að vaxa úr grasi og fullorðnast.
Plus, I wasn't making shit in that fish market.	Auk þess græddi ég ekkert á fiskmarkaðinum.
No, no one knew who I was. Couldn't get laid.	Enginn þekkti mig og ég fékk ekkert að ríða.
It's a much better situation for me, man.	Nú er staðan mun betri hjá mér.
Speaking of which, um... -... how 'd I do?	Talandi um það... Hvernig stóð ég mig?
What do you mean?	Hvað áttu við?
Well, I thought you were a dick, so I guess that's good.	Ég hélt að þú værir fífl og það er jákvætt.
Nice!	Það er flott.
So, what the fuck, man?	Hver andskotinn?
You're this huge movie star now?	Ertu nú orðinn kvikmyndastjarna?
You played a big football player?	Lékstu íþróttamann?
I didn't see it.	Ég sá það ekki.
Oh, yeah, just this thing.	Það var ekki merkilegt.
Fucking De Niro and shit!	De Niro og allt.
What?	Hvað segirðu?
He's awesome.	Hann er frábær.
Yeah.	Já.
Yeah.	Einmitt.
Man... we should sit down.	Við ættum að spjalla saman.
We should talk, because I've got some really good ideas for movies.	Ég á fullt af góðum hugmyndum.
You could play me and shit!	Þú gætir leikið mig.
Give him your beer.	Hann bíður ekki eftir bjór.
This guy does not wait for a beer.	Hann er kvikmyndastjarna.
He's like, Jersey's De Niro and shit.	Hann er De Niro okkar Jerseybúa.
Largeman, man, what are you doing home?	Hvað ertu að gera heima, Largeman?
I, uh...	Ég er bara...
Press junket.	Tala við blaðamenn.
Oh, that's phat, yo!	Það var lagið.
Serpico and shit!"	Serpico og allt.
Attica!"	Attica.
Shut the fuck up, man.	Haltu kjafti.
You like that?	Var þetta gott?
Like "press junket"?	Blaðamannadæmið?
That's improv, bitch.	Þetta var spuni.
You can use it.	Þú mátt nota þetta.
All right?	Allt í lagi.
OK. Let me show you something.	Ég skal sýna þér nokkuð.
Largeman! Whoa, whoa.	Blessaður, Largeman.
How you been, man? Hey!	Hvernig hefur þú haft það, maður?
Jess, how are you, bro?	Blessaður, Jesse.
How's it goin', man?	Hvað segirðu?
I haven't seen you in so long.	Ég hef ekki séð þig svo lengi.
So, what are you doing with yourself?	Hvað ertu þá að gera núna?
Nothing.	Ekki neitt.
I've never been so bored in my whole life.	Mér hefur aldrei leiðst svona mikið.
First month, I went out, you know. I bought a whole bunch of shit.	Fyrsta mánuðinn fór ég og keypti fullt af dóti.
But, you know- Nothing.	En annars hef ég ekki gert neitt.
Someone got a joint for me?	Er einhver með jónu?
Mmm. Here you go.	Gjörðu svo vel.
No thanks, man.	Nei, takk.
Really?	Nei?
I thought you're a big movie star and shit.	Ég hélt að þú værir kvikmyndastjarna.
Nah.	Nei.
Well, then, here.	Hérna.
Eat this.	Gleyptu þetta þá.
Welcome home.	Velkominn heim.
Guess I'll see you guys later.	Við sjáumst síðar.
Should we play a game?	Eigum við að fara í leik?
Let's play "Spin the Bottle."	Förum í flöskustút.
I'm not playing "Spin the Bottle."	Ég fer ekki í flöskustút.
How old are we?	Hvað erum við gömul?
More importantly, how old are they?	Hversu gamlar eru þær?
Oh, they're all legal...	Þær eru löglegar.
I think.	Held ég.
Girl has a point. Fuckin' right. I'm in!	Við vorum að gleypa helling af alsælu.
Motionless wheel Nothing is real Do you believe in what you see?	Hvað annað eigum við að gera? Það er rétt. Auðvitað.
Large!	Ég er með.
Largeman, this is Dana.	Þetta er Dana.
Hi.	Sæll.
Hi.	Blessuð.
Who's up?	Hver á að gera?
This is gonna be a good night.	Þetta verður góð nótt.
Do you believe in what you see?	Er þetta ekki gott?
I always try to save a couple of the marshmallows till the very end, but I never make it.	Ég reyni að spara sykurpúðana en það er ekki hægt.
I always end up with... bunch of flake things and pink milk.	Ég enda alltaf með fullt af flögum og bleika mjólk.
My mind wanders.	Ég gleymi mér.
So, Tim how long have you been working at Medieval Times?	Jæja, Tim... Hversu lengi hefur þú unnið hjá Miðalda-tímum?
Three years, but I've only been a knight for two.	Þrjú ár en ég hef bara verið riddari í tvö ár.
You have to pay your dues.	Maður verður að vinna sig upp.
I worked in the stables and helped in the kitchen.	Ég vann í hesthúsinu og í eldhúsinu.
What was it that happened to you in high school?	Hvað kom aftur fyrir þig í framhaldsskólanum?
I forgot what it was.	Það gerðist eitthvað en ég man ekki hvað.
He got the shit kicked out of him.	Hann var laminn í klessu.
No, he didn't.	Það er ekki satt.
How do you know?	Hvað veist þú um það?
He got the shit kicked out of him by Tyrell Freeman.	Tyrell Freeman buffaði hann.
I fucked him up, too.	Ég barði hann líka.
He knocked your teeth out.	Hann barði tennurnar úr þér.
He only chipped one tooth.	Hann braut bara eina tönn.
So, what are you up to now, Mark?	Hvað ert þú að gera, Mark?
You're digging graves?	Ertu að grafa lík?
Mark's gettin' into real estate.	Mark ætlar að fara í fasteignabransann.
Tim can speak Klingon.	Tim talar klingónsku.
What?	Hvað segirðu?
No, I can't.	Það er ekki satt.
Yes, you can.	Þú kannt það.
What the fuck is Klingon?	Hvað er klingónska?
Like the Star Trek guys?	Eins og í Star Trek?
Yeah, he can speak their language!	Hann talar tungumálið.
No, she's kidding.	Það er ekki satt.
Why are you being shy?	Jú, hvers vegna ertu svona feiminn?
Yeah, don't be shy, Tim.	Ekki vera feiminn, Tim.
It's just, it's made up.	Þetta er bara bull.
This guy who plays the wizard at work is a Trekkie.	Galdrakarlinn í vinnunni er Star Trek lúði.
I don't- Don't be shy.	Ekki vera feiminn.
Tell them what you said to me last night.	Segðu það sem þú sagðir í gærkvöldi.
No.	Nei.
Say what you said to her last night.	Segðu það sem þú sagðir við hana í gær.
Kuntar petiki maya.	Kuntar petiki maya.
Al fuks su.	Al fuks su.
You got to be kidding me.	Ertu að grínast?
It means, "I like to mate after battle."	Það þýðir að hann vilji finna maka eftir orrustu.
That's not what I said!	Ég sagði það ekki.
No, no.	Víst.
That wasn't the one I said.	Ég sagði það ekki í gær.
This one means, "Kill Kirk."	Þetta þýðir "Drepum Kirk."
And also, "Hallelujah," depending on the context.	Eða "Hallelúja ". Það fer eftir samhenginu.
You must have gotten it confused with plejit amor eke frek ize ka.	Þú hefur ruglað þessu saman við plejit amor eke frek ize ka.
Ah! That is good!	Þetta var flott.
You know what that means, Tim?	Veistu hvað það þýðir?
Well, I do.	Ég veit það.
It means, "Get the fuck out of my house before I chop your fucking head off."	Drullaðu þér út úr húsinu mínu áður en ég sker af þér hausinn.
Mark, he's a knight.	Hann er riddari.
He's just a fast-food knight.	Hann er bara skyndibitariddari.
I should get going.	Ég ætti að drífa mig.
Thanks for the cereal.	Takk fyrir morgunkornið.
I had a lovely evening.	Ég skemmti mér mjög vel í gær.
By the way, it says "balls" on your face.	Það stendur "Pungur" á enninu á þér.
Asshole.	Fávitinn þinn.
My mom did it.	Mamma gerði það.
In the spring. the hungry gator must find new and clever ways to find food.	Á vorin finnur krókódíllinn nýjar leiðir til að veiða.
Did you tell Large about the tapes?	Sagðir þú Large frá spólunum?
I'm not doing those stupid tapes.	Nei, ég ætla ekki að kaupa þessar spólur.
What are the tapes?	Hvaða spólur?
Real estate tapes.	Um fasteignasölu.
You could make up to $ 1 00,000 your first year.	Þú gætir grætt hundrað þúsund dollara á fyrsta árinu.
You should have seen the boat this Oriental guy had.	Þú ættir að sjá bátinn sem kynningargaurinn á.
And he even had his own game show in China, he had so much money.	Hann var með skemmtiþátt í Kína, alveg moldríkur.
I think Mark would be perfect at it.	Ég held að Mark sé fullkominn í þetta.
Ma, shut up about those fuckin'tapes, OK?	Hættu að tala um þetta.
It's a scam.	Þetta er svikamylla.
Well, I'm doin' it.	Þá geri ég það.
I'm savin' up for those tapes.	Ég ætla að safna fyrir spólunum.
Because I know what you could be if you just apply yourself.	Ég veit hvað gæti orðið úr þér ef þú reyndir á þig.
I do apply myself every day, Mom.	Ég reyni á mig hvern einasta dag.
OK, then I'll do'em myself.	Ég geri þetta sjálf.
Oh, shit.	Fjandinn.
Shit, I got to go to my meeting.	Ég verð að fara á fundinn.
OK.	Allt í lagi.
I love you.	Ég elska þig.
I love you, too.	Ég elska þig líka.
I love you.	Ég elska þig.
Large, it was nice to see you.	Gaman að sjá þig, Large.
Nice to see you, too.	Já, sömuleiðis.
Don't stay in here all day.	Ekki vera hérna inni í allan dag.
I took the batteries out of the carbon monoxide detector.	Ég tók rafhlöðurnar úr kolmónoxíðskynjaranum.
It was beeping all night.	Hann var í gangi í alla nótt.
She drives me crazy!	Hún gerir mig brjálaðan.
She gets all baked out and makes me feel like I have to impress her.	Mér finnst ég verða að gera hana stolta af mér.
And you know what? I'm OK with being unimpressive.	Mér finnst fínt að vera ómerkilegur.
I sleep better.	Þá sef ég betur.
Hey, what time is it?	Hvað er klukkan?
No idea.	Ég hef ekki hugmynd.
Oh, my- I got to go.	Ég verð að fara.
Hi. I'm Andrew Largeman. I'm sorry, I'm really late for my appointment.	Ég heiti Andrew Largeman og ég er allt of seinn.
Andrew, Andrew... OK, Andrew.	Allt í lagi, Andrew.
I'm gonna need you to fill out this paperwork for me, OK?	Þú verður bara að fylla þetta út.
As soon as we're ready, we'll call you.	Við köllum á þig.
Thank you. I'm sorry.	Þakka þér fyrir.
It's OK. Have a seat.	Fáðu þér sæti.
Hello, Miss Lubin.	Sæl, frú Lubin.
Oh, hello there.	Þakka þér fyrir.
Have a seat.	Það var lítið.
Heel.	Farðu.
Heel!	Hæll.
Got any suggestions?	Einhverjar uppástungur?
What?	Hvað segirðu?
You got any suggestions?	Einhverjar uppástungur?
Yeah, kick his balls.	Sparkaðu í punginn á honum.
Kick his balls.	Sparkaðu í punginn á honum.
Yeah, but I don't want to, like, destroy future generations of charitable dogs.	Ég vil ekki eyðileggja möguleikann á fjölgun.
Don't worry.	Hafðu ekki áhyggjur.
I got three Dobermans.	Ég á þrjá Doberman-hunda.
If I don't kick them in the balls regularly, I 'd never get anything done.	Það er nauðsynlegt að sparka reglulega í punginn á þeim.
But he's got to be close to finishing by now.	Hann hlýtur að verða búinn að þessu bráðum.
Not yet.	Ekki strax.
Here comes the lipstick.	Hérna kemur varaliturinn.
Mrs. Lubin?	Frú Lubin?
Yes?	Já.
We're ready for you now.	Þú mátt koma núna.
OK.	Komdu, Arthur.
Come on, Arthur. I feel so used.	Mér finnst ég vera svo notaður.
Thanks for your help, or, at least, your good intentions.	Takk fyrir hjálpina eða góða ásetninginn.
I recognize you.	Ég þekki þig.
Oh, did you go to Columbia High?	Varst þú í Columbia skólanum?
No, not from high school. From TV.	Nei, þú varst í sjónvarpinu.
Didn't you play the retarded quarterback?	Þroskahefti leikstjórnandinn.
Yeah.	Já.
Are you really retarded?	Ertu þroskaheftur í raun og veru?
No, I'm not.	Nei.
Cool.	Svalt.
Great job, man.	Þú stóðst þig vel.
I mean, I thought you were really retarded.	Ég hélt að þú værir þroskaheftur.
You're just as good as that Corky kid, and he's actually retarded.	Þú varst eins góður og Corky en hann er samt ekta.
If there's some sort of retarded Oscar, you would win hands down, kick his ass.	Þú gætir rústað honum ef það væri til Óskar þroskaheftra.
Well, thank you.	Þakka þér fyrir.
Thanks, I appreciate it.	Takk kærlega.
I have to fill out this form, though, so...	Ég þarf að klára að fylla þetta út...
Right on.	Ekkert mál.
Thanks.	Takk.
My cousin's an actor.	Frændi minn er leikari.
Jake Ryan Winters?	Jake Winters.
Doubt you've ever heard of him.	Þú þekkir hann varla.
He was, like, on X ena once, as a gnome or something.	Hann lék einu sinni dverg eða eitthvað í X ena.
That's really cool, though.	Það er samt svalt.
Thanks.	Þakka þér fyrir.
Oh, my God!	Guð minn góður.
That scene, that last scene where you give the speech to the whole stadium.	Þegar þú hélst ræðuna fyrir allan völlinn.
And your dad gives you the thumbs-up!	Svo rétti faðir þinn þumlana upp.
That was, like... that was emotional.	Það var hjartnæmt. Færðu meira að gera?
So, you got anything else coming out?	Ertu svo ekki þroskaheftur?
Jake's not a very good actor.	Jake er lélegur leikari.
You can't really tell on X ena, 'cause he's in the hairy gnome suit and everything, but when we were little, he used to put on these really low-budg renditions of Andrew Lloyd Webber musicals in our attic, and they were awful!	Það sést ekki í X ena vegna loðna dvergabúningsins en þegar við vorum lítil setti hann upp ódýra Andrew Lloyd Webber söngleiki á háaloftinu.
Like, so bad. Aah!	Það var glatað.
It sucks, though, 'cause there's not that much work for little people, you know.	Algjör hryllingur. En smávaxið fólk fær of lítið að gera.
Anyway, I've been talking too much.	Ég hef blaðrað allt of mikið.
I'll just- You got to fill out your forms.	Nú fer ég. Þú þarft að fylla þetta út.
What are you listening to? The Shins.	Á hvað ertu að hlusta? The Shins.
You know'em?	Kannast þú við þá?
No.	Nei.
You got to hear this one song.	Þú verður að heyra eitt lag.
It'll change your life, I swear.	Það breytir lífi þínu.
Oh, I'm sorry. You have to- You got to fill out your forms.	Fyrirgefðu, þú verður að fylla þetta út.
Waiting for a friend.	Ég er að bíða eftir vini.
You?	Ég er...
I, uh- - Oh, fuck, that was nosy.	Fyrirgefðu hvað ég er forvitin.
I just want to have it checked out.	Ég fæ höfuðverki og ég vil láta athuga þetta.
Cool.	Svalt.
Yes?	Já?
We're ready for you now.	Þú mátt koma.
Thank you.	Allt í lagi.
Nice meeting you.	Gaman að kynnast þér.
You didn't.	Þú gerðir það ekki.
I'm Sam.	Sam.
Nice to meet you.	Gaman að kynnast þér.
