No, a different one.	Ég á við aðra.
Consider the motorcycle part of your severance.	Líttu á mótorhjólið sem hluta af starfslokum þínum.
Fuck you, Bretton!	Farðu í rassgat, Bretton!
Here you are.	Hérna ertu.
Thanks a lot.	Takk fyrir.
Hi.	Hæ.
For Elise.	Fyrir Elise.
"For Elise."	"Fyrir Elise."
And can I ask you a question, Mr. Gekko?	Má ég spyrja þig spurningar, hr. Gekko?
Certainly, Elise.	Að sjálfsögðu, Elise.
What exactly is "moral hazard"?	Nákvæmlega hvað er "freistnivandi"?
He screwed me.	Hann sveik mig.
Excuse me?	Afsakið?
Shocker.	Ótrúlegt.
He saw that fusion was actually possible, so he killed it.	Hann sá að samruni var mögulegur, svo að hann drap hann.
Well, that's a little far-fetched.	Það er nokkuð langsótt.
But then, these days, anything is possible.	En, nú á dögum, er allt mögulegt.
Well, I quit, Gordon.	Ég er hættur, Gordon.
That's really going to help.	Það mun hjálpa rosalega.
I'll see you outside in 15 minutes.	Ég sé þig fyrir utan eftir 15 mínútur.
Moral hazard, that's when somebody takes your money and is not responsible for it.	Freistnivandi, það er þegar einhver tekur peningana þína og er ekki ábyrgur fyrir þeim.
This guy James, he must walk between raindrops.	Þessi James er lukkunnar pamfíll.
He's a monkey dancing on a razorblade.	Hann er slóttugur.
Not only did he start the rumors at Zabel to get your bank for peanuts, the guy was trading for his own account in this Locust Fund.	Hann kom ekki bara orðróminum um Zabel af stað svo hann fengi bankann þinn á lítið, heldur var hann að skipta af eigin reikningi í Locust sjóðnum.
He was?	Var hann að því?
He was.	Hann var að því.
And he was betting against the market that he was making.	Og hann veðjaði gegn markaði sem hann bjó til.
But the kicker is, so was his firm.	En hið óvænta er að það gerði fyrirtækið hans einnig.
Churchill Schwartz was shorting sub-primes?	Var Churchill Schwartz að taka stöðu gegn undirmálslánum?
Yeah, for the last two years they've been hedging.	Já, undanfarin tvö ár hafa þeir verið í vörn.
Not just sub-primes.	Ekki bara undirmálslán.
Primes, indexes, the whole thing.	Lán, staðlar, allur pakkinn.
But they knew this home loan fantasy was going to collapse the market.	En þeir vissu að þessi fasteignalána - draumur myndi fella markaðinn.
And when they did, they got the Feds to bail out their bad insurance swaps, a 100 cents on the dollar.	Og þegar það gerðist, fengu þeir ríkið til að bjarga slæmum skiptasamningum á 100 sentum fyrir dollarann.
The system is insolvent if no one knows what to do next except repeat the insanity till the next bubble blows.	Kerfið verður gjaldþrota ef enginn veit hvað skuli gera næst nema endurtaka geðveikina þangað til næsta bóla springur.
That'll be the one.	Þetta verður hún.
The big one.	Sú stóra.
The tipping point, just like the tulip.	Afdrifaríka augnablikið, eins og með túlípanana.
We could still go after James on this.	Við gætum enn náð James fyrir þetta.
Just bring it all out.	Gert þetta allt opinbert.
Easy, Trigger.	Rólegur, gæðingur.
Media is not going to get in the way of Churchill or the government.	Fjölmiðlar verða ekki fyrir Churchill eða ríkisstjórninni.
They want their profits just like the rest of us.	Þeir vilja gróðann sinn, alveg eins og aðrir.
It's unethical, but it's not illegal.	Þetta er siðlaust, ekki ólöglegt.
When everyone's running for the lifeboats, who's going to care?	Þegar allir eru að drífa sig í björgunarbátana, hverjum er ekki sama?
Maybe some little leftist website?	Kannski einhverri vinstri vefsíðu?
Your daughter will run it.	Dóttir þín myndi birta það.
It'll get some play.	Það myndi vekja athygli.
Look, Bretton is not an enemy a kid like you wants to have for life.	Bretton er ekki óvinur sem strákur eins og þú vill eiga fyrir lífstíð.
Just get out of this racket.	Gakktu í burtu frá þessu.
Settle down with Winnie.	Byrjaðu lífið með Winnie.
Live a happy life somewhere.	Lifðu hamingjusömu lífi annars staðar.
What?	Hvað?
Well, you know, she's got enough money.	Þú veist, hún á nógan pening.
What do you mean?	Hvað meinarðu?
You're smart.	Þú ert klókur.
You'll come up with another way to slice bread.	Þú finnur nýja leið til að ná endum saman.
What money?	Hvaða peninga?
My money.	Mína peninga.
Stop playing it dumb, will you, Jake?	Viltu hætta að spila þig heimskan, Jake?
I know you know.	Ég veit að þú veist.
Know what?	Veit hvað?
Are you telling me that you're not the only one in this relationship keeping a secret?	Ertu að segja mér að þú sért ekki sá eini í þessu sambandi sem átt leyndarmál?
Hold on a second.	Bíddu aðeins.
What money, Gordon?	Hvaða peninga, Gordon?
Switzerland.	Sviss.
How much?	Hversu mikið?
It's close to $ 100 million by now.	Það er nálægt 100 milljónum núna.
What do you say we split a cab?	Hvað segirðu um að við deilum leigubíl.
I set it up as a Swiss account in the '80s before all the trouble.	Ég kom því fyrir á svissneskum reikningi á 9. áratugnum fyrir allt vesenið.
Hey, chief.	Heyrðu, foringi.
Look, I'll pay you extra.	Ég borga aukalega.
Just slow down.	Keyrðu bara hægar.
Can you...	Geturðu...
When she was 18, I told her she would come into it all when she turned 25.	Þegar hún var 18, sagði ég henni að hún myndi fá þá þegar hún yrði 25.
And she agreed to stake me when I got out.	Hún samþykkti að fjárfesta í mér þegar ég kom út.
Then Rudy died, and she reneged.	Svo dó Rudy og hún hætti við.
She never visited me again.	Hún heimsótti mig aldrei aftur.
She told me she had a small trust from you and her mom, but she didn't care anything about it.	Hún sagði mér að hún ætti smá sjóð frá þér og mömmu sinni, en að henni væri alveg sama um hann.
She was going to give it to charity when she was 25.	Hún ætlaði að gefa hann til góðgerðarmála þegar hún yrði 25.
Well, it's easy for her to say.	Það er auðvelt fyrir hana.
She never earned it.	Hún vann ekki fyrir þeim.
And now you want it for your fusion delusion.	Og núna viltu nota þá í samrunaruglið þitt.
But it's a trust.	En þetta er fjárvarsla.
I mean, she couldn't break into it before she was 25 anyway.	Hún gæti ekki komist í þá áður en hún yrði 25.
Are you as dumb as you sound?	Ertu eins heimskur og þú hljómar?
Anything can be revoked.	Það er hægt að afturkalla allt.
They don't got trusts in Switzerland.	Þeir eru ekki með fjárvörslu í Sviss.
It's an account, that's all.	Þetta er bara reikningur.
I know the bank well.	Ég þekki bankann vel.
They'll work with me.	Þeir munu aðstoða mig.
But you still need her signature, of course.	En þú þarft auðvitað undirskrift hennar.
When it comes to money, sport, your eyes suddenly shine, just like mine. Great!	Þegar það kemur að peningum, félagi, þá glitra augun þín, eins og mín. Frábært!
Saved another life?	Bjargaðir öðru lífi?
Asshole!	Asni!
Are you crazy?	Eruð þið ruglaðar?
You want to die?	Viljið þið deyja?
How do we do this?	Hvernig gerum við þetta?
She goes with you to Switzerland, she signs the account over to your control then you give me the money and I'll get it to the States for you.	Hún fer með þér til Sviss og færir þér stjórn yfir reikningnum og þú lætur mig fá peningana og ég kem þeim til Bandaríkjanna.
You mean launder it?	Ertu að meina að þvo þá?
Look, pal, you want the IRS on Winnie?	Heyrðu vinur, viltu fá skattinn á Winnie?
Because you damn well know she is complicit and seriously liable.	Vegna þess að þú veist fullvel að hún er samsek og mjög ábyrg.
All right?	Skilið?
You want the money? Hi.	SAMRUNALÍKI VERKEFNI Hæ.
How are you?	Hvernig hafið þið það?
Hi.	Hæ.
Can I talk to you for a second?	Má ég tala aðeins við þig?
Yeah. I'll be back in a sec.	Já, ég kem eftir smá.
Why didn't you tell me about the $ 100 million?	Af hverju sagðirðu mér ekki frá 100 milljónunum?
How did you find...	Hvernig veistu...
How did you find out in the first place?	Hvernig veistu það?
Did you talk to my father?	Talaðirðu við pabba minn?
I found out because Churchill Schwartz's international trading desk handles some of the money, and your name came up, along with Gordon Gekko.	Ég veit það vegna þess að alþjóðaskiptadeild Churchill Schwartz sér um hluta þessara peninga og nafn þitt kom upp, ásamt Gordon Gekko.
I never considered it mine.	Ég hugsaði þá aldrei sem mína.
I was 14.	Ég var 14.
I was a minor when he set it up.	Ég var ekki lögráða þegar þetta var gert.
Yeah, but you didn't do anything with the money when you turned into a major, did you?	Já, en þú gerðir ekkert við peningana þegar þú varðst lögráða, er það?
I was going to give it to charity.	Ég ætlaði að gefa þá í góðgerðarmál.
Really?	Er það?
What were you gonna do, launder the money yourself, Winnie?	Hvað ætlaðirðu að gera, þvo peningana sjálf, Winnie?
What was your plan?	Hver var áætlunin?
I didn't think about it.	Ég hugsaði ekki um það.
You didn't think about it?	Hugsaðirðu ekki um það?
It was my father's money.	Þetta voru peningar pabba míns.
You know how he got it.	Þú veist hvernig hann fékk þá.
No, you're wrong.	Nei, rangt.
It's your money.	Þú átt þá.
It's $ 100 million of your money.	Þetta eru 100 milljónir af þínum peningum.
Do you know what that means?	Veistu hvað það þýðir?
That's five years in jail.	Þetta eru fimm ár í fangelsi.
You're gonna get busted with him for tax fraud.	Þú verður tekin með honum fyrir skattsvik.
This is serious, Winnie.	Þetta er alvarlegt, Winnie.
You could do something good with this money.	Þú gætir gert eitthvað gott með peningunum.
This is more than just charity, Winn.	Þetta er meira en bara góðgerðamál, Winn.
You might want to wipe some of the drool off your face, Jake.	Þú gætir þurrkað aðeins af slefinu framan úr þér, Jake.
Winnie, if it wasn't important, I 'd totally understand, but it is.	Winnie, ef það skipti ekki máli, þá myndi ég skilja það.
You know that fusion just might work.	Þú veist að samruni gæti virkað.
I know it sounds like Star Wars, love, but if it weren't for crazy people who thought these crazy things then where would we be in this world?	Ég veit að það hljómar eins og í Star Wars en ef það væri ekki til brjálað fólk sem hugsar brjálaða hluti, hvar væri heimurinn þá?
Nowhere.	Hvergi.
Winnie, Dr. Masters is a genius.	Winnie, Dr. Masters er snillingur.
He's a pioneer.	Hann er frumkvöðull.
They might just solve this thing.	Þeir gætu fundið út úr þessu.
It could change the world.	Þetta gæti breytt heiminum.
Yeah, okay.	Já, allt í lagi.
Is this about changing the world or making money?	Snýst þetta um að breyta heiminum eða græða peninga?
Because you come into my office, pitching to me.	Því þú kemur á skrifstofuna og selur mér hugmynd.
You sound like a Wall Street guy.	Þú hljómar eins og Wall Street maður.
Hold on for a second!	Bíddu aðeins!
I am a Wall Street guy.	Ég er Wall Street maður.
I am and I'm good at this.	Ég er það og ég er góður í þessu.
And I believe in this.	Ég hef trú á þessu verkefni.
And you know that I do.	Og þú veist að ég geri það.
What do you wanna do, just report the news for the rest of your life or do you want to make the news?	Hvað viltu gera, flytja fréttir það sem eftir er eða viltu skapa fréttir?
This is your opportunity.	Þetta er þitt tækifæri.
It's your chance to shine.	Tækifæri þitt til að skína.
To be Captain America.	Til að vera Kapteinn Ameríka.
This is the most charitable you could ever be in your life!	Þú gerir ekki meira góðverk en þetta á lífsleiðinni!
You honestly believe in this?	Trúirðu þessu í alvörunni?
Let's say I could...	Látum okkur sjá...
Let's say I could get the money now, hypothetically, right?	Segjum að ég gæti fengið peningana núna.
Not that you care about the money.	Ekki að þér standi ekki á sama.
But let's say I could take out a loan against it, minimize your risk as much as possible.	Segjum að ég gæti tekið lán gegn því, lágmarkað áhættu þína eins og mögulegt er.
Would you do this for me, Winn?	Viltu gera það fyrir mig, Winn?
Would you do this for me?	Viltu gera þetta fyrir mig?
Very well, Miss Gekko.	Zurich, Sviss Virðingarfyllst, Undirskrift. Winnie Gott og vel, ungfrú Gekko.
We will have your father co-sign and we will see to it that the funds are transferred.	Við fáum undirskrift föður þíns og sjáum til þess að peningarnir verði sendir.
Thank you.	Takk fyrir.
Danke schön, Miss Gekko.	Þakka þér fyrir, ungfrú Gekko.
Mr. Moore.	Hr. Moore.
Yes?	Já?
Mr. Gekko asked that you call him in New York as soon as this meeting is over.	Gekko bað þig um að hringja í sig í New York um leið og fundi væri lokið.
So I'll take care of the rest of this.	Ég mun sjá um afganginn.
You go back to the hotel.	Farðu aftur á hótelið.
All right.	Allt í lagi.
I just got the confirmation.	Ég fæ staðfestinguna.
We're on the direct flight to New York in the morning.	Við förum í beint flug til New York í fyrramálið.
Great.	Frábært.
Great news on the loft.	Frábærar fréttir af risinu.
Yeah?	Já?
Yeah, I got a buyer.	Já, ég er með kaupanda.
So one less thing in our lives, right?	Einum hlut færra í lífi okkar, ekki satt?
I kind of like the feeling.	Já, ég líka.
Yeah, so do I. I'll see you over there.	Ég sé þig þar.
Okay.	Allt í lagi.
Hey, anyone can figure out life when you're looking back on it.	Allir geta reiknað út lífið þegar þeir líta til baka.
But we got to live it going forward.	En við þurfum að lifa fyrir framtíðina.
Right, Jakie?	Ekki satt, Jakie?
Besides, four-and-a-half is great in this market.	Fyrir utan að fjórar og hálf er frábært á þessum markaði.
Yeah, except I owe six to the bank.	Já, nema að ég skulda bankanum sex.
When do I have to be out of here?	Hvenær á ég að vera farinn út?
You got three months more.	Þú hefur þrjá mánuði í viðbót.
By the way, I had to throw in the furniture.	Ég þurfti að selja húsgögnin með.
What there was of it.	Það sem eftir er af þeim.
Did you want me to have a yard sale here for you?	Vildirðu hafa bílskúrssölu hérna fyrir þig?
Take it.	Taktu þetta.
Here's your pen.	Hérna er penninn þinn.
Dolores was just leaving.	Dolores er að fara.
Hello to you, too, honey.	Sæl sjálf, gæskan.
Don't forget.	Ekki gleyma því.
Three months, honey.	Þrír mánuðir, gæskan.
Bastards changed the locks.	Helvítin skiptu um skrár.
You weren't servicing the loans, Ma.	Þú borgaðir ekki af láninu, mamma.
Well, they lied to me.	Þeir lugu að mér.
They told me they were going to give me more time.	Þeir sögðust ætla að gefa mér meiri tíma.
Well, they're not, okay?	Þeir gera það ekki.
They're panicking.	Þeir eru óttaslegnir.
Everyone is panicking.	Eins og allir.
They're gonna throw it in the market and take what they can get for it, Ma.	Þeir setja það á markað og taka það sem þeir fá fyrir það, mamma.
But it's not even finished yet.	En það er ekki einu sinni tilbúið.
And that's not all.	Og það er ekki allt.
It's the other properties, Mom.	Það eru hinar eignirnar, mamma.
No, but they said they were gonna give me a little more time.	Nei, þeir sögðust ætla að gefa mér meiri tíma.
And all I need is a 110 grand, and then that way, I can keep all three properties in play.	Og ég þarf bara 110 þúsund, og þá get ég látið allar eignirnar ganga upp.
I know you have it, Jake.	Ég veit þú átt það til, Jake.
I don't have it, Mom.	Ég á það ekki, mamma.
You have it, Jacob.	Þú átt það, Jake.
I don't have it, and I wouldn't give it to you if I did have it.	Ég á það ekki, og ég mundi ekki gefa þér það þó ég ætti.
What am I supposed to do?	Hvað á ég að gera?
You know what moral hazard is, Ma?	Veistu hvað freistnivandi er, mamma?
You know what that means?	Veistu hvað það þýðir?
No.	Nei.
It means that once you get bailed out, what's to stop you - from taking another shot?	Það þýðir að þegar búið er að bjarga þér, hvað stoppar þig - í að prófa aftur?
But I...	En ég...
I'm in trouble, Mom.	Ég er í vanda, mamma.
I am in trouble right now.	Ég er í vandræðum núna.
I'm taking a huge hit on the loft, I just sold my bike for nothing and now, again, I'm writing you a check, Mom.	Ég tapa gríðarlega á risinu, ég seldi hjólið mitt fyrir ekkert og núna, aftur, er ég að skrifa ávísun fyrir þig, mamma.
It's ridiculous.	Það er fáránlegt.
This is $ 30,000 that I barely have.	Þetta eru 30.000 sem ég varla á.
But that's not enough, honey.	En það er ekki nóg, ástin.
Ma, I love you, but I cannot keep hemorrhaging money for your insanity.	Mamma, ég elska þig en ég get ekki pumpað í þig peningum fyrir ruglinu þínu.
What you need to do is you need to go back to Henry.	Þú þarft að fara aftur til Henry.
You need to get another job, okay?	Þú þarft að fá þér aðra vinnu, skilið?
But this is my job. I have a job.	En þetta er vinnan mín. Ég er í vinnu.
What do you...	Hvað...
Oh, my God.	Guð minn góður.
You mean like a real job with a boss?	Meinarðu alvöru vinnu með yfirmanni?
Yes, a real job.	Já, alvöru vinnu.
I'm too old to get a...	Ég er of gömul til að...
I'm sorry, Ma, you got to start at some point.	Mér þykir það leitt, mamma, einhvers staðar þarftu að byrja.
You got to start now.	Þú þarft að byrja núna.
You're not the only one who's in trouble, Ma.	Ég get ekki alltaf haldið þér uppi.
Please.	Halló?
Hello? Hey, Jake.	Heyrðu, Jake.
We have a problem.	Við erum í vanda.
Go ahead.	Segðu mér frá.
I don't know what happened.	Ég veit ekki hvað gerðist.
My CFO says the money hasn't arrived yet.	Fjármálastjórinn segir að peningarnir hafi ekki skilað sér.
Yeah, but it was sent yesterday.	Já, en þeir voru sendir í gær.
It should have been there before the Fedwire closed at 6: 00.	Þetta hefði átt að skila sér áður en seðlabankinn lokaði kl. 6.
Well, maybe there's been some sort of mistake.	Þetta eru kannski einhver mistök.
It was a large amount.	Þetta var stór upphæð.
Okay, just sit tight.	Allt í lagi, bíddu rólegur.
All right?	Allt í lagi?
Jesus.	Jesús.
A few days?	Nokkrir dagar?
In this city that's nothing.	Í þessari borg er það ekkert. Hr.
Mr. Gekko is good tenant.	Gekko er góður leigjandi.
I appreciate it.	Túlípanaæðið.
Winnie's all I got left.	Winnie er allt sem ég á. Skilurðu það?
You understand that?	Hversu mikið?
How much? Close to $ 100 million by now.	Það er nálægt 100 milljónum núna.
Don't go back in there, Jake.	Ekki fara aftur inn, Jake.
This is who he is.	Svona er hann.
I did tell you, Jake.	Ég sagði þér þetta, Jake.
I did warn you.	Ég varaði þig við.
I lied to you, Winnie.	Ég laug að þér, Winnie.
I've been in contact with your father behind your back.	Ég var í sambandi við pabba þinn þér óafvitandi.
After we saw him at the dinner, before you gave me the money.	Eftir að ég hitti hann í kvöldverðinum, áður en þú lést mig fá peningana.
Because I thought it was the best thing for you, you know.	Af því að ég hélt að það væri best fyrir þig, þú veist.
For us.	Fyrir okkur.
I just wanted to...	Ég vildi bara...
You're like him.	Þú ert eins og hann.
I'm sorry.	Mér þykir það leitt.
I'm sorry, Winnie.	Mér þykir það leitt, Winnie.
I'll make it up to you.	Ég bæti þér þetta upp.
I promise I'll get the money back.	Ég lofa að ná peningunum aftur.
I don't care about the money, Jake!	Mér er sama um peningana, Jake!
This is not about the money.	Þetta snýst ekki um peningana.
This is about you and me, and we are not good anymore.	Þetta snýst um okkur og við erum ekki góð lengur.
Winn, we are good.	Winn, við erum góð.
Come on.	Svona nú.
We are good.	Við erum góð.
Come on, Winn.	Svona nú.
We're good.	Winn, við erum góð.
No.	Nei.
We're supposed to make each other feel safe.	Við eigum að veita hvort öðru öryggi.
Otherwise, what's the point?	Hver er annars tilgangurinn?
It's gone, Jake.	Það er farið, Jake.
It's not.	Það er það ekki.
Please don't.	Gerðu það.
Take it.	Taktu hann.
Come on, Winn.	Gerðu það, Winn.
Please go.	Gerðu það, farðu.
Go.	Farðu.
I'm sorry.	Mér þykir þetta leitt.
Silver, oil, copper, I want to own it all.	Silfur, olía, kopar, ég vil eiga það allt.
Buy me Churchill Schwartz, and get me updates on the other financials.	Kaupið Churchill Schwartz og uppfærið mig um önnur fjármál.
I'm looking for deals.	Ég er að leita að samningum.
Only good deals.	Bara góðum samningum.
Just ride the trends.	Nýtið bara niðursveifluna.
Just don't try too hard for the turns.	Ekki taka of miklar áhættur.
It's just like the old days, Bobby.	Eins og í gamla daga, Bobby.
What do you feel about California municipals, Gordon?	Hvernig líst þér á Kaliforníubréfin, Gordon?
No way.	Hræðilega.
California has made more mistakes than Yogi Berra reciting Shakespeare.	Kalifornía hefur gert fleiri mistök en Jógi björn þegar hann fer með Shakespeare.
I'm looking for distressed securities.	Ég er að leita að félögum í vanda.
I'm trying to get a hold of them before the government does.	Ég vil ná þeim áður en ríkið gerir það.
You got that?	Skilurðu það?
Okay.	Allt í lagi.
Here you are, Mr. Gekko.	Gjörðu svo vel, hr. Gekko.
Nice, Harry.	Fínt, Harry.
Well, then, Alex, you tell the Treasury Department for me that I'm willing to stand on the other side of their auction.	Jæja þá, Alex, segðu fjármálaráðuneytinu að ég sé til í að kaupa það sem þeir bjóða.
Not too tight under the arms, Mr. Gekko?	Ekki of þröngt undir hendurnar, hr. Gekko?
Jesus Christ. I tell you, the government's worse than a wife.	Jesús Kristur, ríkisstjórnin er verri en versta eiginkona.
They got all the power, they got half the money.	Þeir hafa öll völdin og helming peninganna.
Now they're working on getting the other half.	Nú vinna þeir að því að hirða hinn helminginn.
Hey, hey, stay positive, pal.	Vertu jákvæður, vinur.
Most people, they lose, they whine and quit.	Hjá flestum er það svo, að þeir tapa, grenja og hætta.
But you got to be there for the turns.	En maður að verður að vera þolinmóður.
Everybody's got good luck, everybody's got bad luck.	Það eru allir heppnir, það eru allir óheppnir.
Don't run when you lose.	Ekki hætta þegar maður tapar.
Don't whine when it hurts.	Ekki grenja þegar maður meiðir sig.
It's like the first grade, Jerry.	Þetta er eins og í fyrsta bekk, Jerry.
Nobody likes a crybaby.	Það þolir enginn grenjuskjóðu.
Whooshing sound.	Vindhljóð.
I'll take four of these.	Ég tek fjögur pör.
Feels good to be back on top, huh?	Er ekki gott að vera kominn aftur á toppinn?
Hey, champ.	Sæll, meistari.
What brings you to London?	Hvað fær þig til London?
You, Gordo.	Þú, Gordo.
You want to make one last trade?	Viltu skipta í síðasta sinn?
Well, that depends.	Það veltur á ýmsu.
Did you ever really want to reconcile with her?	Vildirðu einhvern tímann sættast við hana?
I'm human.	Ég er mannlegur.
Then why did you do it?	Af hverju gerðirðu það þá.
Well, it's the same answer.	Einmitt vegna þess.
Look, I told you before, Winnie was gonna stake me when I got out.	Eins og ég sagði þér, ætlaði Winnie að lána mér þegar ég slyppi út.
You remember, she reneged.	Þú manst, hún hætti við.
Sure, she did.	Já, auðvitað.
It makes you feel better about stealing from your own blood, doesn't it?	Þá líður þér betur með að stela frá fjölskyldu þinni, ekki satt?
Every thief has some excuse.	Allir þjófar hafa einhverja afsökun.
Hey, don't you act so superior, kid.	Láttu ekki eins og þú sért eitthvað betri.
They took 122 thousand hours of my life for a victimless crime.	Þeir tóku 122 þúsund stundir úr lífi mínu vegna glæps án fórnarlambs.
I ate my bitterness every goddamn day.	Það var gremjan sem kom mér í gegnum það.
And when I got out, who was waiting for me?	Og þegar ég kom út, hver beið mín?
Nobody!	Enginn!
Not even my own daughter. I thought Bretton was slime until I met you.	Ekki einu sinni dóttir mín. Ég hélt að Bretton væri skíthæll, þangað til að ég hitti þig.
I just never believed that a man would sell out his own daughter.	Ég hefði aldrei trúað því að maður myndi svíkja dóttur sína.
You die your way, I'll die mine.	Þú lifir þínu lífi, ég lifi mínu.
Get the hell out of here.	Drullaðu þér í burtu.
You know, she left me, Gordon.	Hún fór frá mér, Gordon.
Yeah?	Er það?
I'm sorry about that.	Mér þykir það leitt.
I bet you are.	Alveg örugglega.
You left it all in ruins.	Þú rústaðir öllu.
But no matter how much money you make, you'll never be rich.	En það skiptir ekki máli hve mikla peninga þú græðir, þú verður aldrei ríkur.
See, that's what you never got, kid.	Það er það sem þú skildir aldrei, strákur.
It's not about the money.	Þetta snýst ekki um peninga.
It's about the game.	Þetta snýst um leikinn.
The game between people.	Leikinn milli fólks.
And that's all it is.	Og það er allt og sumt.
Speaking of, what's the trade?	Talandi um það, hver eru skiptin?
You give back the principal to Winnie.	Þú lætur Winnie fá peninginn aftur.
The $ 100 million.	100 milljónirnar.
And what do I get in return?	Og hvað fæ ég í staðinn?
Put this in.	Settu þetta í.
That's your grandson.	Þetta er dóttursonur þinn.
You said, "The most valuable commodity I know is time."	Þú sagðir: "Verðmætasta vara sem ég veit um er tími."
You're looking at time.	Þarna er tími.
Not money.	Ekki peningar.
This is time, Gordon.	Þetta er tími, Gordon.
I'm sorry, Jake, but this is simply a trade I cannot make.	Því miður, Jake, en þetta eru skipti sem ég get ekki gert.
You're a sad man, Gordon.	Þú ert sorglegur maður, Gordon.
You really want to get this site on the map?	Samruni: Sólarorka fyrir son minn og framtíð okkar AĐEINS FYRIR WINNIE GEKKO: "Amerísk ránsaga "Viltu að þessi síða veki athygli?
You break this story.	Birtu þessa sögu.
It'll take some time, but it'll spread.	Það tekur tíma, en það mun breiðast út.
It's the single greatest transfer of wealth in American history from Main Street to Wall Street, and it's all true.	Þetta er stærsti fjárflutningur í bandarískri sögu frá almenningi til Wall Street, og það er allt satt.
And it will happen again because people like you and me want to be lied to.	Það mun gerast aftur því að fólk eins og við viljum láta ljúga að okkur.
We like bedtime stories.	Við viljum róandi sögur.
I miss you like crazy, and I love you, baby, and I'm sorry.	Ég sakna þín rosalega, og ég elska þig, elskan, og fyrirgefðu.
Bretton James, the rumor is that he was shorting Keller Zabel stock before he ended up acquiring it.	Hleð skilaboðum 1243 skilaboð send FROSINN SANNLEIKUR Bretton James, sagt er að hann hafi tekið stöðu gegn Keller Zabel bréfum áður en hann eignaðist það.
Why would he do that?	Af hverju gerði hann það?
This is the rock star of Wall Street.	Hann er rokkstjarna Wall Street.
Did you hear about Bretton James?	Hefurðu heyrt um Bretton James?
CNBC will say he's hedging, but if you ask me it's a fraud.	CNBC munu segja að hann sé í vörn en ef þú spyrð mig eru þetta svik.
It's a tiny website.	Þetta er örlítil vefsíða.
Who cares?	Hverjum er ekki sama?
Gekko's daughter and that smartass kid I fired, Moore.	Dóttir Gekko og hrokafulli pjakkurinn sem ég rak, Moore.
What is this about the rumor that led to Louis Zabel committing suicide?	Hvað með orðróminn sem leiddi til sjálfsmorðs Louis Zabel?
Well, shorting his own company, you can't bust him for that.	Að taka stöðu gegn eigin fyrirtæki, þeir ná honum ekki fyrir það.
But they can get him for running false rumors on Zabel, that's serious.	En þeir geta náð honum fyrir að breiða út lygar um Zabel, það er alvarlegt.
It's gone viral, Bretton.	Þetta hefur breiðst út, Bretton.
Bloomberg has a summary out on it.	Bloomberg fjallaði um það.
Reuters is playing the story big.	Reuters gerir mikið úr þessu.
It's become legitimate.	Þetta er orðið alvöru.
Congress is next.	Þingið er næst.
This bank is bigger than you, Bretton.	Þessi banki er stærri en þú, Bretton.
We know there's nothing illegal here, Jimmy.	Við vitum að það er ekkert ólöglegt hérna, Jimmy.
Jack?	Jack?
Julie...	Julie...
Are you stupid or what?	Ertu heimskur eða hvað?
Trading for your account in your position?	Að skipta á þínum reikningi í þinni stöðu?
You pigged out, kid.	Þú varðst gráðugur, strákur.
You were making a fortune here.	Þú mokgræddir hérna.
What the hell is wrong with you?	Hvað í fjandanum er að þér?
So I double-dipped.	Ég fékk tvöföld laun.
Who hasn't?	Hver hefur ekki gert það?
Now, in your time, you must have done some things.	Þú hefur nú einhvern tíma gert það.
You're retiring, Julie.	Þú ert að hætta, Julie.
Why don't you step up in front of this?	Af hverju styðurðu mig ekki?
You can afford it.	Þú getur það vel.
I can still run this place and make you more money than you ever dreamed.	Ég get enn rekið þennan stað og þénað meiri pening fyrir þig en þig hefur dreymt um.
We both know that's not going to happen, kid.	Við vitum báðir að það gerist ekki, strákur.
Think about this, please.	Gerðu það, hugsaðu um þetta.
You look for the birds.	Leitaðu nú að fuglunum.
They're going to help you, those birds.	Þeir munu örugglega hjálpa þér.
You'll see.	Vittu til.
Good luck.	Gangi þér vel.
I don't wanna sound like a rooster taking credit for the dawn, but turning $ 100 million into $ 1.1 billion in this market, takes some brains, right?	Ég vil ekki hljóma eins og hani sem eignar sér dagrenninguna, en að breyta 100 milljónum í 1,1 milljarð á þessum markaði, þarfnast klókinda, ekki satt?
My guys are good.	Fólkið mitt er gott.
And it's no wonder our new fund is over-subscribed.	Það er heldur engin furða að nýi sjóðurinn okkar er eftirsóttur.
But for you, I'm gonna initiate a third fund.	En fyrir þig, ætla ég að koma á koppinn þriðja sjóðinum.
Because, frankly, Julie, I couldn't be more excited about this.	Vegna þess, í allri hreinskilni, Julie, þá er ég mjög spenntur fyrir þessu.
To finally be in business with you and your firm.	Að vera loksins í viðskiptum við þig og fyrirtæki þitt.
And us with you, Gekko.	Og við með þér, Gekko.
What is the definition of insanity?	Hver er skilgreiningin á geðveiki?
It's doing the same thing over and over and expecting a different result.	Það er að geta endurtekið sama hlutinn og vænta annarrar niðurstöðu.
By that standard, most of us are insane.	Séð frá því sjónarhorni, erum við flest geðveik.
But not at the same time.	En ekki á sama tíma.
And on that basis we trust.	Og á það treystum við.
But can this way of life endure if more and more people are insane at the same time?	En getur svona líf haldið áfram ef æ fleiri eru geðveikir á sama tíma?
It becomes, as Gordon said, "Systemic."	Það verður, eins og Gordon sagði."
What happens then?	Hvað gerist þá?
