Good girl.	Svona, já.
Underwater. "Submerged in the blood-red waters of the lagoon that reflects no stars."	Í vatni.,, Á kafi í blóðrauðu lóninu sem endurvarpar ekki stjörnuskini."
Could you please tell me what the hell you're doing?	Viltu segja mér hvern fjandann þú ert að gera?
Why haven't you called in?	Af hverju hefurðu ekki hringt?
Who are you?	Hver ert þú?
Christoph Bouchard.	Christoph Bouchard frá Alþjóðaheilbrigðisstofnuninni.
We've met.	Við höfum hist.
We've met?	Er það?
You really don't remember?	Manstu það virkilega ekki?
It was just two days ago.	Það eru tveir dagar síðan.
He's suffering the effects of a head wound.	Það eru afleiðingar höfuðáverka.
He can't remember the events of the last 48 hours.	Hann man ekki það sem gerðist síðustu 48 tímana.
I'm the one who flew to Cambridge and asked for your help.	Ég flaug til Cambridge og bað þig um aðstoð.
I gave you the pointer to decode.	Ég lét þig fá geislann til að leysa táknin.
Professor Langdon?	Langdon prófessor?
Yes?	Já.
Okay, yeah.	Ó, já.
Yeah.	Já.
I remember.	Ég man það.
Who are you?	Hver ert þú?
I was the ER doctor at the hospital when the professor came in.	Ég var læknirinn á vaktinni þegar Langdon kom á spítalann.
What is the last thing you remember?	Hvað er það síðasta sem þú manst?
I was on the street.	Ég var úti á götu.
I think it was here.	Ég var með konu.
I was with a woman.	Og ég fékk sprautu.
Elizabeth?	Elizabeth?
From the World Health Organization.	Frá Alþjóðaheilbrigðisstofnuninni.
Do you know her?	Þekkirðu hana?
I do.	Já.
But I haven't seen Elizabeth in years.	En ég hef ekki séð Elizabeth í mörg ar.
She's the reason I followed you alone.	Vegna hennar elti ég þig einn.
What do you mean?	Hvað áttu við?
I believe Dr. Sinskey's working with a foreign government to find and sell the virus.	Ég held að Sinskey starfi með erlendri ríkisstjórn til að finna og selja veiruna.
No, no, no.	Nei.
That's not possible.	Það er útilokað.
People change, professor.	Fólk breytist.
I've been chasing Bertrand Zobrist for two years and someone has been working against me.	Ég hef elt Bertrand Zobrist í tvö ár og einhver hefur unnið gegn mér.
Let's get to the point.	Komum okkur að efninu.
Do you know where the virus is?	Veistu hvar veiran er?
We think it's Venice.	Við höldum að veiran sé þar.
It's two hours by train.	Það eru tveir tímar með lest.
Come on.	Komið þið.
If I could find you, so can the others.	Fyrst ég fann þig geta fleiri það.
I'm buying you both plane tickets to Geneva.	Ég kaupi flugmiða til Genfar fyrir ykkur bæði.
No, not Geneva, he said Venice.	Nei, ekki Genf, hann sagði Feneyjar.
I heard that.	Ég heyrði það.
Excuse us.	Afsakið.
Please watch yourselves.	Passið ykkur.
We need to check every passenger.	Við þurfum að athuga alla farþegana.
That will be a waste of time.	Það verður tímasóun.
And we have very little of that.	Og við höfum nauman tíma.
Three days ago, after two years of searching, I found Zobrist.	Italo 9982 til Feneyja Klukkan 13: 57 Fyrir þremur dögum eftir tveggja ára leit fann ég Zobrist.
He killed himself, but we took a package from his pocket.	Hann framdi sjálfsmorð en við tókum pakka úr vasa hans.
And what was in it?	Hvað var í pakkanum?
The Faraday pointer with the Map of Hell.	Faraday-geislinn með kortinu af helvíti.
A puzzle.	Þraut.
Specifically designed for his follower to solve.	Sérstaklega hönnuð fyrir fylgjendur hans.
We brought it to you.	Við færðum þér hann.
And we were in the process of decoding it when you were kidnapped.	Og við vorum að leysa táknin þegar þér var rænt.
Professor Langdon.	Langdon.
You were with Dr. Sinskey at the time.	Þa varstu með Sinskey.
Elizabeth, yes.	Elizabeth, já.
Did she tell you about any third-party interest in the virus?	Sagði hún þér frá þriðja aðila sem hefði áhuga á veirunni?
I don't remember.	Ég man það ekki.
I don't know, I don't remember."	Ég hef ekki tíma fyrir þetta bull.,, Ég veit ekki, ég man ekki."
Stop.	Hættu.
You're not helping him."	Þetta hjálpar ekki.
The gilded museum," is that Saint Mark's?	Gyllta safnið, er það kirkja heilags Markúsar?
All of Venice is a museum.	Feneyjar eru allar eitt safn.
Saint Mark's has the Horses of Constantinople. They're bronze statues.	Í Markúsarkirkju eru bronsstyttur af hestunum frá Konstantínópel.
Can I see that?	Má ég sjá þetta?
I wouldn't touch it.	Ég myndi ekki snerta það.
I wasn't planning on it. Professor?	Ég ætlaði mér það ekki.
Professor Langdon?	Langdon?
Yes?	Já?
Hello, Robert.	Sæll, Robert.
Elizabeth.	Elizabeth.
It's been a long time.	Langt síðan síðast.
Too long.	Of langt.
What brings you here?	Hvað ertu að gera hér?
The W.H.O. needs your help.	W.H.O. þarf þína aðstoð.
My help?	Aðstoð mína?
I hope you still remember your Dante.	Vonandi manstu ennþá Dantefræðin.
What just happened?	Hvað gerðist?
Could you get some water?	Viltu sækja vatn?
He could be dehydrated.	Það gæti verið ofþornun.
Some food.	Mat.
Maybe some fruit, or something from the machine? Quickly. Sure.	Kannski ávexti eða eitthvað úr sjálfsalanum?
Thank you.	Fljótt.
Is he lying?	Auðvitað.
Through his teeth.	Takk.
He was not the one that came to Cambridge to see me.	Það var ekki hann sem kom til Cambridge.
Bouchard, I need help.	Bouchard, hjálpaðu mér.
Quickly.	Fljótt.
I think he's collapsed.	Hann er illa haldinn.
He's in there.	Hann er þarna inni.
I can't open the door.	Ég get ekki opnað.
Langdon.	Langdon.
Are you okay?	Er allt í lagi?
Toilet occupied.	Snyrting upptekin.
Langdon, are you okay?	Er allt í lagi með þig?
Come on, let's go!	Komdu, förum!
You're telling me that, for two years you and your organization have been working against me?	Ertu að segja að í tvö ár hafir þú og samtök þín unnið gegn mér?
That is correct.	Það er rétt.
To shield Bertrand Zobrist and his research?	Til að skyla Bertrand Zobrist og rannsóknum hans?
To hide him, to protect him?	Til að fela hann, vernda hann?
Regrettably, yes.	Því miður, já.
And that all of my attempts to prevent him from initiating a worldwide pandemic have failed because of you?	Og að öll viðleitni mín til að hindra hann í að breiða út faraldur um heiminn hafi brugðist vegna þín?
Incisive sum-up, yes.	Hárrétt samantekt.
Now you have the temerity to ask that I simply decide to trust you?	Nú geristu svo djarfur að biðja mig einfaldlega að treysta þér?
I'm terribly sorry.	Mér þykir það leitt.
I didn't see any other way.	Ég sá ekki aðra leið.
Who, exactly, does your group work for?	Fyrir hvern starfar þitt fólk?
Our clients, of course.	Kúnna okkar, að sjálfsögðu.
We are a private security firm. A very successful one.	Við erum öryggisfyrirtæki í einkaeigu og njótum velgengni.
May I ask the gentleman who was with you, Agent Bouchard where is he now?	Má ég spyrja, maðurinn sem var með þér, Bouchard fulltrúi... hvar er hann núna?
We don't know.	Við vitum það ekki.
We lost track of him.	Við finnum hann ekki.
Then the situation is worse than you think.	Þá er ástandið verra en þú heldur.
There's only one reason he would move out of pocket.	Hann myndi aðeins láta sig hverfa af einni ástæðu.
He wants Mr. Langdon to himself.	Hann vill sjálfur ná Langdon.
To find the virus and sell it to the highest bidder, I assume.	Til að finna veiruna og selja hæstbjóðanda, býst ég við.
Leverage, blackmail. You know, the usual shit.	Völd, fjárkúgun, þetta vanalega bull.
I don't think we have anything further to discuss, Mr. Sims.	Ég held við höfum ekkert að ræða frekar, herra Sims.
And I have less than eight hours to find this pathogen.	Og ég hef innan við átta tíma til að finna þennan sýkil.
Excuse me.	Afsakaðu mig.
From what I understand, you knew the professor some time ago.	Mér skilst að þú hafir þekkt prófessorinn fyrir nokkru.
Personally.	Persónulega.
You care about him.	Þér er annt um hann.
You would even ally with an unscrupulous character such as myself to protect him.	Þú myndir starfa með ófyrirleitnum manni eins og mér til að vernda hann.
Wouldn't you?	Er það ekki?
My organization has the resources to find your professor.	Samtök mín hafa tök á að finna prófessorinn þinn.
If you wanted to start a plague, this is where you 'd do it.	Feneyjar, Ítalíu Klukkan 14: 49 Ef þú vildir breiða út drepsótt myndirðu byrja hér.
20 million people a year come here from every corner of the globe.	Árlega koma hingað 20 milljón manns frá öllum heimshornum.
During the Black Death the Venetians made all the ships anchor in the harbor for 40 days before they would allow the crews into the city.	Þegar svartidauði geisaði létu Feneyjabúar öll skip liggja í höfninni í 40 daga áður en áhöfnunum var hleypt inn í borgina.
Making sure that they were not carrying the plague.	Til að tryggja að þeir væru ekki sýktir.
The word "quarantine" comes from the Italian " quaranta. "Forty.	Ítalska orðið yfir sóttkví er, quarantena ", dregið af, quaranta" eða 40.
It's nice to have you back, professor.	Það er gott að fá þig aftur.
The horses.	Hestarnir.
These are recreations.	Þetta eru eftirmyndir.
The originals are in a museum for preservation.	Upprunalegu stytturnar eru geymdar á safni.
We should be quick.	Við skulum flýta okkur.
Bouchard knows we're coming here.	Bouchard veit að við komum.
Ask that guide if the heads have ever been severed from these horses.	Spyrðu leiðsögumanninn hvort hausarnir hafi verið skornir af hestunum.
According to the tale, during the Crusades the horses were looted from Constantinople.	Sagt er að hestunum hafi verið rænt í Konstantínópel á tímum krossferðanna.
But they were too large to be loaded on board the ships.	Af hestum krjúpið En þeir voru of stórir til að setja í skip.
So their heads were removed and then reattached.	Svo hausarnir voru fjarlægðir og síðan festir aftur.
By whom?	Hver sá um það?
The doge who lived forever.	Ríkisstjórinn eilífi.
Of course, Enrico Dandolo.	Auðvitað, Enrico Dandolo.
Dandolo tricked the Venetians into the Crusades.	Dandolo ginnti Feneyjabúa í krossferðirnar.
He was supposed to sail his ships to Egypt but he sacked Constantinople instead. I'm sorry.	Hann átti að sigla skipum sínum til Egyptalands en í staðinn rændi hann Konstantínópel.
Of course."	Fyrirgefðu.
The gilded museum of holy wisdom."	Augljóslega.,, Gyllta safn heilagrar visku."
Are we in the wrong basilica?	Erum við í rangri basilíku?
We're in the wrong country.	Við erum í röngu landi.
Dandolo ruled Venice, but he was not buried here.	Dandolo ríkti í Feneyjum en hann var ekki grafinn hér.
So where was he buried?	Hvar var hann grafinn?
Hagia Sophia. Istanbul.	Í Sofíukirkjunni.
Istanbul.	Í lstanbúl.
There's always a way out.	Það finnst alltaf leið út.
Here, here.	Hérna.
Let's see if we can get that open. I'll give you a hand.	Sjáum hvort við getum opnað þetta.
I got your foot.	Ég styð þig.
Can you get it?	Geturðu opnað?
Is there someone there? A hundred Euro.	Er einhver þarna? 100 evrur.
Here.	Hérna.
I got it.	Ég hef það.
What are you doing?	Hvað ertu að gera?
You called him a murderer.	Þú kallaðir hann morðingja.
A psychopath.	Brjálæðing.
What?	Hvað?
But history will call us saviors.	En sagan mun kalla okkur bjargvætti.
Oh, my God. Oh, my God.	Guð minn góður.
I'm not afraid to act, Robert.	Ég óttast ekki að grípa til aðgerða.
But doing nothing terrifies me.	En aðgerðarleysi skelfir mig.
The path and the pointer, he left that all for you.	Vísbendingin og geislinn, hann skildi það eftir fyrir þig.
Zobrist.	Zobrist.
You knew him? "Knew him "?	Þekktirðu hann?,, Þekkti hann?"
I loved him.	Ég elskaði hann.
You're wearing his suit.	Þú ert í fötunum hans.
Sienna, no.	Nei, Sienna.
Thank you, Robert.	Þakka þér fyrir.
Thank you for everything. No!	Þakka þér fyrir allt.
No!	Nei!
Sienna, no! Sienna!	Nei, Sienna!
Sienna, no!	Nei, Sienna!
Slow down, slow down.	Hægðu á þér.
You're too fast.	Þú flýtir þér um of.
Oh, come on.	Hættu nú.
This took me three days!	Þetta tók mig þrjá daga.
Too easy!	Of auðvelt.
I love it.	GULLNI TÍMINN MARK TWAIN Það er dásamlegt.
Everything before you was just an idea.	Áður en ég hitti þig var allt... bara hugmynd.
Now it's real.	Nú er það raunverulegt.
Love awakens the soul to act.	Ástin vekur sálina til aðgerða.
That's not fair.	Þetta er ósanngjarnt.
Quoting Dante to me.	Að vitna í Dante við mig.
But it's "beauty" not "love."	En það er, fegurðin ", ekki, ástin."
It's a minute to midnight.	Það er mínúta til miðnættis.
That's sooner than I expected.	Það er fyrr en ég bjóst við.
We planned it together.	Við skipulögðum það saman.
We designed it together.	Við hönnuðum það saman.
But this part belongs only to you.	En þessi hluti tilheyrir þér einum.
It's just safer if you don't know where.	Það er öruggara að þú vitir ekki hvar.
What if they find you first?	Hvað ef þeir finna þig áður?
What then?	Hvað þá?
If you want to know you're not alone you gotta start by trusting me.	Ef þú vilt vita að þú sért ekki einn verðurðu að fara að treysta mér.
And unless we take bold, immediate action the sixth extinction will be our own.	Ef við grípum ekki til dirfskufullra aðgerða verður sjötta skiptið okkar eigin aldauði.
You were right.	Það var rétt hjá þér.
I'm gonna make you another path.	Ég bý til aðra vísbendingu fyrir þig.
Inferno will be at the end.	Vítið verður við lokin.
If something should happen to me, the first clue will be delivered to you.	Ef eitthvað hendir mig færðu fyrstu vísbendinguna.
I know you'll do what must be done.	Ég veit að þú gerir það sem þarf.
Seek and find.	Leitaðu og finndu.
You're not alone.	Þú ert ekki einn.
So a beautiful young woman went for the bad guy.	Svo falleg, ung kona hreifst af illmenninu.
That happens.	Það gerist.
You look disappointed.	Þú virðist vonsvikinn.
I'll give you a minute.	Þú færð smástund.
Elizabeth is not the one who wants the virus to sell.	Það er ekki Elizabeth sem vill veiruna til að selja hana.
You are.	Það ert þú.
You've been used.	Þú varst notaður.
Elaborate schemes created by people to get you to do what they want.	Þetta var flókið ráðabrugg til að fá þig til að gera það sem þau vildu.
But me?	En ég?
I'm very direct.	Ég geng hreint til verks.
And this is a moment of great opportunity for me.	Og nú veitist mér stórt tækifæri.
So where is the virus?	Hvar er veiran?
Come on, professor.	Svona nú.
How much life is there in the world?	Hve mikið líf er í heiminum?
How much more is fighting to be born?	Hve mikið meira berst fyrir að fæðast?
Nothing wrong with thinning the herd once in a while.	Það er ekkert að því að grisja hjörðina endrum og sinnum.
It's healthy.	Það er hollt.
I've seen many acts of God: Famine, typhoons, cholera.	Ég hef séð mörg verk Guðs: Hungursneyð, fellibylji, kóleru.
And you know what?	Og veistu hvað?
Sometimes, it hits the right people.	Stundum lendir það á rétta fólkinu.
That's inhuman.	Það er ómanneskjulegt.
Humanity is inhuman.	Mannkynið er ómanneskjulegt.
I'm going to ask you for the last...	Ég ætla að spyrja þig í síðasta...
Terribly sorry.	Fyrirgefðu þetta.
Didn't see any other way.	Ég sá enga aðra leið.
Must do this quickly.	Þetta verður að gerast fljótt.
The less blood, the better.	Því minna blóð þeim mun betra.
A facilitator.	Fyrirgreiðslumaður.
Among other things, my company creates illusions.	Fyrirtæki mitt skapar tálsýnir ásamt ýmsu öðru.
You never had a real head wound.	Þú fékkst aldrei höfuðaverka.
But I lost my memory.	En ég missti minnið.
Chemically induced.	Framkallað með efnum.
We gave you an injection of benzodiazepines.	Við sprautuðum þig með bensódíasipíni.
They can produce a skin rash.	Það getur valdið útbrotum.
Should fade in a day or so.	Þau hverfa eftir dag eða svo.
All of this was a fake?	Var þetta allt tilbúningur?
I prefer "created reality."	Ég kýs að kalla það,, tilbúinn veruleika ".
My agents kidnapped you and cleared your memory so we could create a fresh scenario whereby you would be invested in the idea of helping us.	Mínir menn rændu þér og tæmdu minnið til að við gætum skapað nýjar aðstæður þar sem þér væri mikið í mun að hjálpa okkur.
A small incision was made in your scalp to give the impression of a bullet graze.	Lítill skurður var ristur í höfuðleðrið líkt og eftir byssukúlu.
There are no locks on hospital doors.	Það eru engir lásar á spítalahurðum.
Exactly.	Einmitt.
Highest marks.	Hæsta einkunn.
What about the policewoman who shot the doctor in the hospital?	Hvað með lögreglukonuna sem skaut lækninn á spítalanum?
Also with me.	Líka á mínum vegum.
Her gun fired blanks.	Það voru púðurskot.
And there were squibs in the door.	Og það voru púðurkerlingar í dýrunum.
The doctor was an agent wearing a blood packet.	Læknirinn var minn maður með blóðpakka.
The taxi driver at the hospital was working for us as well.	Leigubílstjórinn vann líka fyrir okkur.
In the Palazzo Vecchio, she tried to kill me.	Hún reyndi að drepa mig í Palazzo Vecchio með ekta kúlum.
With real bullets.	Samkvæmt minni ósk.
At my behest. When things had appeared to go tits up, I tried to sweep it all away quickly.	Þegar allt virtist ætla fjandans til reyndi ég að sópa öllu burt í skyndi.
By killing me?	Með því að drepa mig?
Oh, I apologize unreservedly, Mr. Langdon.	Ég biðst afdráttarlaust afsökunar.
I did lose an experienced agent.	En ég missti reyndan starfsmann.
There's a great deal of situational ebb and flow in my line of work.	Það eru mikil umskipti í mínu starfi.
Look, here we both are now.	En nú erum við báðir hér.
I know I behaved terribly.	Ég veit að ég hagaði mér voðalega.
But a puzzle needed solving.	En það þarf að leysa þraut.
Who better to solve it than you?	Hver er betur til þess fallinn en þú?
Glance away, will you?	Viltu líta undan?
Not my best work.	Ekki mitt besta verk.
But it'll do for the Italians.	En það dugar fyrir Ítalina.
Zobrist had followers everywhere, but Sienna Brooks came to me for help.	Zobrist átti alls staðar fylgismenn en Sienna leitaði hjálpar hjá mér.
Or so I thought.	Eða það hélt ég.
She came to us with serious concerns shortly after Zobrist died.	Hún kom til okkar afar áhyggjufull eftir dauða Zobrists.
Somehow, she knew Zobrist had hired us.	Einhvern veginn vissi hún að Zobrist hafði ráðið okkur.
She said he was doing biological work that could be lethal in the wrong hands.	Hún sagði að hann ynni með sýkla sem væru banvænir í höndum rangra aðila.
She didn't mention a plague.	Hún minntist ekki á drepsótt.
But we heard enough to be alarmed.	En við heyrðum nóg til að okkur brygði.
So we agreed to work with her to find Zobrist's project.	Svo við samþykktum að hjálpa henni að finna verkefni Zobrists.
And when Dr. Sinskey brought you in, we saw an opportunity.	Og þegar Sinskey kom með þig sáum við tækifæri.
It was Elizabeth who came to see me. Yes.	Það var Elizabeth sem kom til mín. Já.
Dr. Sinskey got the Faraday pointer from Agent Bouchard.	Sinskey fékk Faraday-geislann hjá Bouchard.
She brought it to you to decode.	Hún færði þér hann til úrlausnar.
And she even secured it with your thumbprint.	Og hún læsti honum með fingrafari þínu.
That left us with no choice.	Þá áttum við engra kosta völ.
So we took you from her on the street.	Svo við tókum þig af henni úti á götu.
The hospital scenario encouraged you to trust Dr. Brooks.	Atvikið á spítalanum hvatti þig til að treysta Brooks.
And your call to the consulate was answered by our man.	Og símtalinu til ræðisskrifstofunnar svaraði okkar maður.
Thank heavens you're alive.	Guði sé lof að þú ert á lífi.
We've been looking for you.	Við höfum leitað að þér.
Are you still in possession?	Ertu ennþá með það?
You had the pointer and we had you.	Þú hafðir geislann og við höfðum þig.
It was all working seamlessly until Miss Brooks stole you away.	Allt gekk eins og í sögu þar til Brooks fór með þig burt.
To make sure the virus is released.	Til að tryggja að veirunni yrði dreift.
It appears.	Svo virðist vera.
Young people are disappointing.	Ungt fólk veldur vonbrigðum.
I find they become tolerable around 35.	Það verður þolanlegt um 35 ára aldur.
You mentioned Dr. Sinskey.	Þú minntist á Sinskey.
Are you all right?	Er allt í lagi?
I'm fine.	Ég hef það gott.
Are you?	Ertu viss?
I'm okay.	Það er allt í lagi.
I'm all right.	Það er allt í lagi.
Thank God.	Guði sé lof.
Do you know where the virus is?	Veistu hvar veiran er?
Istanbul.	Í Istanbúl.
Now is the time.	Þota Alþjóðaheilbrigðisstofnunarinnar Klukkan 17: 32 Nú er komið að því.
Today is our rebirth.	Í dag endurfæðumst við.
Inferno is salvation.	Víti er björgun.
I am so sorry I brought you into this, Robert, after all these years. No. I'm glad you did.	Mér þykir svo leitt að hafa flækt þér í þetta eftir öll þessi ár.
I met him, you know.	Nei, ég er feginn.
Zobrist.	Ég hitti hann, Zobrist.
Two years ago.	Fyrir tveimur árum.
He asked for my help.	Hann bað mig um aðstoð.
He wanted the W.H.O. to endorse mass sterilization in drinking water and staple foods.	Hann vildi fá W.H.O. til að styðja sótthreinsun á drykkjarvatni og matvörum.
So I threw him out of my office, put him on a watch list but he disappeared and I suppose that's when Zobrist hired Sims.	Ég rak hann út og setti hann á eftirlitslista en hann hvarf. Ég býst við að þá hafi hann ráðið Sims.
I should probably have had...	Sennilega hefði ég átt...
I don't know.	Ég veit ekki.
What? You have always blamed yourself for things that weren't your fault.	Þú hefur alltaf ásakað sjálfa þig fyrir hluti sem voru ekki þín sök.
Still very sweet.	Þú ert ennþá svo indæll.
Here.	Hérna.
The doorway.	Í dyragættinni.
I wish it would've happened differently back then.	Ég vildi að það hefði farið öðruvísi.
We didn't look after it.	Við ræktuðum það ekki.
It fell apart.	Það leystist upp.
Is that a regret?	Er þetta eftirsjá?
Only when I think about it.	Bara þegar ég hugsa um það.
And the fishermen, well, they caught everybody.	Og veiðimennirnir náðu öllum.
Doorways.	Dyragættir.
Not one particle of you has changed, Robert.	Þú hefur ekki breyst agnarögn.
You talk too much.	Þú talar of mikið.
And then not at all.	Og síðan... Alls ekki.
I couldn't ask you not to go to Geneva.	Ég gat ekki beðið þig um að fara ekki til Genfar.
Couldn't.	Gat það ekki.
I didn't want to ask you to leave Cambridge.	Ég vildi ekki biðja þig um að fara frá Cambridge.
Is that how it happened?	Gerðist það þannig?
I don't trust my memory anymore.	Ég treysti ekki lengur minninu.
I never forget anything.	Ég gleymi aldrei neinu.
Well, that's a gift.	Það er guðsgjöf.
It isn't.	Alls ekki.
Leave him alone!	Látið hann vera!
What are you doing?	Hvað eruð þið að gera?
Where are you...? Leave him alone!	Hvert ætlið þið með hann?
Turn around!	Snúðu þér við!
Don't look at me, bitch.	Ekki horfa á mig, tík!
Look away.	Líttu undan!
Stop it!	Hættið!
Don't look!	Líttu undan!
Robert!	Robert!
Thanks.	Istanbúl, Tyrklandi Klukkan 18: 39 Takk.
I'm a friend of the poet.	Háskólinn í lstanbúl Ég er vinkona skáldsins.
For what did Zobrist die?	Fyrir hvað lét Zobrist lífið?
That others may live.	Svo aðrir megi lifa.
I've come very far to make sure nothing interferes.	Ég kem langt að til að tryggja að engin hindrun verði.
The delivery system we designed will discharge the viral agent by midnight tonight.	Dreifingarkerfið sem við hönnuðum losar veiruna á miðnætti.
But there are others who are on their way to stop it.	En aðrir eru á leiðinni til að hindra það.
I need to find it before they do and trigger an explosion to ensure its release.	Ég þarf að finna hana á undan þeim og virkja sprengju til að hún dreifist.
How do we help?	Hvernig getum við hjálpað?
During the Plague of Justinian 5000 people died every day in the streets of Istanbul.	Þegar Justinianusar-plágan geisaði dóu 5000 manns daglega á götum lstanbúl.
The border between East and West, another doorway.	Landamærunum milli austurs og vesturs.
Which is why he chose it.	Önnur dyragætt.
If the bag's intact, we can contain it.	Ef taskan er ósnert getum við haldið veirunni.
But if someone ruptures it before we get there 95 percent of the Earth's population will be infected in four to seven days.	En komi rifa á hana áður en við náum þangað sykjast 95 % jarðarbúa innan fjögurra til sjö daga.
Professor. Doctor.	Sofíukirkjan Klukkan 19: 53 Sæl.
My name is Mirsat, I am the curator here.	Ég heiti Mirsat, ég er safnvörðurinn hér.
Have you completely evacuated the building?	Hefurðu tæmt bygginguna algjörlega?
Well, to the extent that we can, but the place is massive.	Eins og við getum, hún er svo stór.
Could you tell me specifically what it is you're looking for?	Gætirðu sagt mér að hverju þið leitið?
The tomb of Enrico Dandolo.	Grafhýsi Enricos Dandolo.
This way."	Auðvitað.
Kneel within the gilded museum of holy wisdom.	Þessa leið.,, Krjúpið í gyllta safni heilagrar visku.
Listen for the sounds of trickling water.	Hlustið eftir seytlandi vatni.
Follow deep into the sunken palace."	Leitið djúpt í sokknu höllinni.
I hear water flowing under these stones.	"Ég heyri vatn renna undir hellunum.
Where does it go?	Hvert rennur það?
It's just drainage.	Þetta er holræsi.
It goes to the city cistern.	Það fer í vatnsþró borgarinnar.
We are looking for a large underground space perhaps with columns, artificially lit from within.	Við leitum að stóru neðanjarðarrými, kannski með súlum og upplýst.
That's it.	Það er þetta.
The ancient cistern.	Forna vatnsþróin.
Sixth century.	Frá sjöundu öld.
Well, some call it "The Sunken Palace."	Yerebatan Sarayi.
Take us there.	Sumir kalla það sokknu höllina. Fylgdu okkur þangað.
His words can only mean one thing: "The Sunken Palace."	Orð hans geta aðeins þýtt eitt: Yerebatan Sarayi.
Once we descend, you'll see exactly what he described.	Þegar við komum niður sérðu það sem hann lýsti.
How do I use it?	Hvernig nota ég þetta?
The walls are cement, all around.	Allt í kring eru steinsteyptir veggir.
You need both bombs, different angles, as far apart as you can.	Þú þarft báðar sprengjurnar með eins miklu millibili og hægt er.
That will break the bag.	Þá rifnar taskan.
History says that the Black Plague caused misery and death.	Sagan segir að svartidauði hafi valdið hörmungum og dauða.
But what they don't tell us is that it also produced a leaner population and gave birth to the Renaissance.	En það sem þeir segja okkur ekki er að afleiðingin var líka skarpara fólk sem gaf af sér endurreisnartímabilið.
And we are rushing as fast as we can into the seventh circle of hell.	Og við flýtum okkur sem mest við megum í sjöunda hring helvítis.
The suicidal and the profligate.	Hinir sjálfsvígshneigðu og lastafullu.
Why is suffering later preferable to suffering now?	Af hverju er ákjósanlegra að þjást seinna en núna?
What if we embrace it?	Hvað ef við fögnum þeim?
I mean, maybe pain can save us.	Kannski getur þjáning bjargað okkur.
You're getting this, aren't you?	Þú nærð þessu, er það ekki?
I can see that you are.	Ég sé það á þér.
I mean, I need to know that I'm not alone.	Ég þarf að vita að ég sé ekki einn.
Too many damned people.	Of margt fjandans fólk.
He's chosen well.	Hann valdi staðinn vel.
I need schematics of all conduits in and out of the cistern.	Ég þarf teikningar af öllum rásum inn og út úr vatnsþrónni.
Full isolation and containment protocols.	Algjöra einangrun og lokunarferli.
Physical and chemical barriers along...	Tálma og efna... Bíddu við!
Wait! This is the city's water supply?	Eru þetta vatnsbirgðir borgarinnar?
Well, not anymore.	Ekki lengur.
We've modernized.	Við höfum nútímakerfi.
But there is water in there?	En er vatn þarna?
Yes, it eventually filters into the earth.	Já, það seytlar ofan í jörðina.
But why are all these people here?	En af hverju er allt þetta fólk hérna?
It's a tourist attraction.	Það laðar að ferðamenn.
The acoustics are excellent.	Hljómburðurinn er frábær.
Tonight is the summer solstice concert.	Í kvöld eru sólstöðutónleikar.
Very popular.	Mjög vinsælir.
People come from all over the world to hear it.	Fólk kemur hvaðanæva úr heiminum.
Jam all communications down there.	Lokið fyrir öll samskipti þarna.
No messages get in or out.	Engin boð inn eða út.
Got it.	Ég skil.
Shall we go in?	Eigum við að fara inn?
Robert, you don't have to go in there with us.	Þú þarft ekki að koma með okkur, Robert.
Yes, I do. "Blood-red waters of the lagoon that reflects no stars."	Jú, víst.,, Blóðrautt lónið sem endurvarpar ekki stjörnuskini."
My God, this is a labyrinth!	Hjálpi mér, þetta er völundarhús!
How many sections?	Hve margir hlutar?
There are dozens, professor.	Þeir eru margir.
Dozens.	Heilmargir.
Let's find it.	Finnum það.
Spread out.	Dreifið ykkur.
Cut off cell phone service now!	Slökktu á allri símaþjónustu strax!
No communication.	Engin fjarskipti.
Yes, sir.	Já, herra.
Who's our U.S. contact over here?	Hver er okkar maður frá Bandarikjunum hér?
I need some help.	Ég þarf aðstoð.
Here, this way.	Þessa leið.
Medusa.	Medúsa.
The Greek spirit?	Gríski andinn?
Belongs to a specific category of Greek spirits.	Hún tilheyrir vissum flokki grískra anda. Neðanjarðaróvættunum.
The chthonic monsters.	Er það hérna?
Yes.	Já.
The color, the columns, exactly what we saw in the video.	Litirnir, súlurnar, nakvæmlega eins og í upptökunni.
This is the area, so spread out.	Þetta er svæðið, dreifið ykkur.
Check pillars.	Kannið súlurnar.
I'll take the wall line.	Ég fer með fram veggnum.
The corners.	Hornin.
Under the walkway.	Undir göngubrúnni.
If you find anything, report to me immediately.	Ef þið finnið eitthvað látið mig vita strax.
The bag is here somewhere.	Taskan er hér einhvers staðar.
Seconds matter. Excuse me.	Sekúndur skipta máli.
Excuse me.	Afsakið.
What's going on?	Hvað er um að vera?
Sir, I need you to step aside.	Þú verður að fara frá.
Everyone!	Farið frá!
Ladies and gentlemen, please remain calm.	Dömur og herrar, haldið ró ykkar Ég fann hana!
I got it! It's here!	ENDURFÆDING Hún er hérna í þessu horni!
Don't! HAZMAT guys aren't set yet.	Efnavarnaliðið er ekki tilbúið.
Can't wait.	Ég get ekki beðið.
Quickly!	Fljótt!
This could break any moment.	Taskan gæti rifnað þá og þegar.
Sienna!	Sienna!
Does this cube nitrogen purge without glove access?	Hann ætti að gera það.
It should. It better.	Það verður.
