Affirmative.	Staðfest.
Because they fall asleep in the getaway car.	Af því þeir sofna í flóttabílnum.
Come on, don't worry so much, sweetie.	Ekki hafa svona miklar áhyggjur, elskan.
Come here.	Komdu hérna.
After a while, it got to be all normal.	Eftir smátíma, varð þetta allt eðlilegt.
None of it seemed like crimes.	Ekkert afþessu virtust vera glæpir.
Henry was just enterprising.	Henry stundaði bara viðskipti.
He and the guys made bucks hustling while other guys sat on their asses waiting for handouts.	Hann og strákarnir græddu stórfé á glæpum á meðan aðrir sátu á rassgatinu og biðu eftir ölmusu.
Don't fucking move!	Hreyfðu þig ekki!
Don't move! See you at the diner.	Sjáumst á matsölustaðnum.
I'm riding shotgun.	Ég sit farþegamegin.
Did you see him give it right over?	Sástu hvernig hann afhenti hann strax?
Back to the hideout to split up the loot.	Förum á felustaðinn og skiptum fengnum.
We were all very close.	Við vorum öll mjög náin.
There were never any outsiders around.	Það voru aldrei neinir utanaðkomandi með.
Absolutely never.	Aldrei nokkurn tímann.
Being together all the time made everything seem all the more normal.	Það að vera saman öllum stundum gerði þetta allt mun eðlilegra.
Police.	Lögreglan.
Anywhere?	Hvar sem er?
We have to go through everything.	Við verðum að skoða allt.
You want some coffee?	Má bjóða ykkur kaffi?
No coffee now, thanks.	Nei, takk.
Be careful.	Farðu varlega.
We'll just go about our business.	Við leitum þá.
There was always a little harassment.	Það var alltaf eitthvert ónæði.
They wanted to talk to Henry about this or that.	Þeir vildu tala við Henry um hitt og þetta.
They 'd make me sign their subpoenas or warrants.	Þeir létu mig kvitta á stefnur og leitarheimildir.
But mostly they just wanted a handout.	En aðallega voru þeir að fiska eftir mútugreiðslum.
A few bucks to keep things quiet no matter what they found.	Nokkra dali fyrir að þegja, sama hvað þeir fyndu.
I always asked if they wanted coffee.	Ég bauð þeim alltaf kaffi.
Some wives, like Mickey Conway used to curse at them and spit on the floor.	Sumar eiginkonurnar, t.d. Mickey Conway, voru vanar að blóta þeim og spýta á gólfið.
On her own floor!	Á sitt eigið gólf!
That never made any sense to me.	Það hef ég aldrei getað skilið.
It was better to be polite and call the lawyer."	Það var betra að vera kurteis og hringja á lögfræðinginn."
Happy birthday to you "We always did everything together and were always in the same crowd.	Hann á afmæli í dag "Við gerðum alltaf allt saman og vorum alltaf með sama fólkinu.
Anniversaries, christenings.	Afmæli, skírnir.
We only went to each other's houses.	Við fórum bara í heimsóknir hvert til annars.
The women played cards.	Konurnar spiluðu á spil.
When kids were born, Mickey and Jimmy were the first at the hospital.	Þegar ný börn fæddust, mættu Mickey og Jimmy fyrst á sjúkrahúsið.
When we went to the Islands or Vegas for vacation we went together.	Þegar við fórum til eyjanna eða Las Vegas í frí fórum við saman.
No outsiders ever.	Aldrei ókunnugir.
It got to be normal.	Það varð eðlilegt.
I began to be proud that my husband was willing to risk his neck to get us the little extras.	Ég varð brátt stolt afþví að maðurinn minn skyldi leggja sig í hættu svo við ættum smá afgangs aura.
But I got Mom to watch the babies tomorrow night.	En ég er búin að fá mömmu til að passa annað kvöld.
Can't do it.	Ég get það ekki.
Why not?	Af hverju ekki?
I just can't.	Ég bara get það ekki.
I got something lined up.	Ég er upptekinn.
But tomorrow's the only night she can do it.	En annað kvöld er eina kvöldið sem hún getur passað.
Pretty please?	Gerðu það?
I can't.	Ég get það ekki.
What do you want me to do?	Hvað viltu að ég geri?
I got to go.	Ég verð að fara.
Wait a minute.	Bíddu.
I need money to go shopping.	Ég þarf peninga til að versla.
How much?	Hversu mikið?
That much.	Svona mikið.
This much.	Svona mikið.
Give me a kiss.	Kysstu mig.
All right."	Jæja, allt í lagi.
Sit down. Have a drink.	Sestu og fáðu þér drykk.
Give them all a drink.	Gefðu öllum drykk.
And give those Irish hoodlums a drink.	Líka þessum írsku nöglum þarna.
There's only one Irishman here.	Það er aðeins einn Íri hérna.
It's a celebration.	Við erum að fagna.
Top of the morning.	Blessaðan daginn.
It's good to be home.	Það er gott að vera kominn heim.
This is my friend Jimmy.	Þetta er Jimmy vinur minn.
Henry.	Henry.
It's his joint.	Hann á staðinn.
This is Lisa.	Þetta er Lisa.
Tommy.	Tommy.
All dressed up.	Alveg glerfínn.
All grown up and doing the town.	Vaxinn úr grasi og að skemmta sér.
Forgot you were having a party for him.	Ég gleymdi veislunni hans.
I'll say hello.	Ég ætla að heilsa.
How are you, Billy?	Hvað segirðu gott, Billy?
I haven't seen you in six years.	Ég hef ekki séð þig í sex ár.
Jesus Christ Almighty.	Guð almáttugur.
You look terrific.	Þú lítur stórkostlega út.
Watch the suit.	Passaðu fötin.
You little prick.	Litli rindill.
I've known you all my life.	Ég hef þekkt þig alla ævi.
Don't get too big on me.	Farðu nú ekki að líta stórt á þig.
Just don't bust my balls.	Láttu mig bara í friði.
If I was gonna break your balls, I 'd say, "Go get your shine box."	Ef ég hefði viljað espa þig, hefði ég sagt: "Sæktu skóburstunarkassann."
This kid was great.	Strákurinn var frábær.
I used to call him "Spitshine Tommy."	Ég kallaði hann "Tommy hrákapússara ".
He 'd make your shoes look like fucking mirrors. Excuse my language.	Hann glanspússaði skóna svo þeir voru eins og speglar á eftir.
He was the best.	Hann var bestur.
Made a lot of money.	Græddi heilmikla peninga.
No more shines.	Ég bursta ekki lengur.
You been away a long time.	Þú ert búinn að vera lengi í burtu.
They didn't tell you.	Þú hefur ekki frétt það.
I don't shine shoes anymore.	Ég er hættur að bursta skó.
Relax.	Slakaðu á.
What's got into you?	Hvað er að þér?
I'm breaking your balls a little, that's all.	Ég er bara að stríða þér ögn.
I'm only kidding with you.	Ég er bara að grínast.
Sometimes you don't sound like it.	Stundum heyrist mér annað á þér.
There's a lot of people around.	Það er margt fólk hérna.
I'm only kidding.	Ég er að grínast.
We're having a party.	Við erum með partý.
I haven't seen you in a long time and you get fucking fresh.	Ég hef ekki séð þig lengi og þú ert með hortugheit.
I'm sorry, I didn't mean to offend you.	Fyrirgefðu, ég ætlaði ekki að móðga þig.
I'm sorry, too.	Fyrirgefðu, sömuleiðis.
Now go home and get your fucking shine box.	Farðu nú heim og sæktu helvítis kassann.
Motherfucking mutt!	Helvítis grjónapungur!
You fucking piece of shit!	Skítadrjóli!
Come on, come on!	Komdu hérna!
He bought his fucking button!	Hann keypti sér stöðuna!
That fake old tough guy!	Gamli gervitöffarinn!
You bought your fucking button!	Þú keyptir þína stöðu!
Don't get nervous.	Ekki æsa þig.
You motherfucker!	Aumingi!
Keep him here!	Haldið honum hér!
Come on, you fucking feel strong?	Komdu bara, finnst þér þú sterkur núna?
Sorry.	Fyrirgefðu.
Tommy gets a little loaded.	Tommy er drukkinn.
He doesn't mean any disrespect.	Hann meinar ekkert illt.
He doesn't mean any disrespect?	Meinar ekkert illt?
Are you nuts?	Ertu geggjaður?
Teach this kid a little fucking manners!	Kenndu stráknum einhverja mannasiði!
What's right is right.	Rétt er rétt.
You understand what I'm saying?	Skilurðu?
It's alright.	Allt í lagi.
We're hugging and kissing over here and then he acts like a fucking jerk.	Aðra stundina faðmar hann mig og kyssir og þá næstu tryllist hann.
You insulted him a little bit.	Þú móðgaðir hann svolítið.
You got a little out of order.	Þú fórst aðeins yfir strikið.
I didn't.	Ég gerði það ekki.
You insulted him a little.	Þú móðgaðir hann svolítið.
I didn't insult anybody.	Ég móðgaði engan.
Give us a drink.	Gefðu okkur drykk.
Okay.	Allt í lagi.
Let's have some drinks.	Fáum okkar að drekka.
Drinks on the house.	Drykkir í boði hússins.
No, have the drink with me.	Nei, drekktu með mér.
You been away for six years.	Þú varst í burtu í sex ár.
It's different now.	Allt er breytt.
I did my fucking time, Jimmy.	Ég afplánaði minn tíma, Jimmy.
I came home and I want what I got to get.	Ég er kominn heim og vil fá mitt.
I got mouths to feed.	Ég hef munna að metta.
You're gonna get it.	Þú færð það.
You understand?	Skilurðu?
Get the door!	Læstu hurðinni!
Let me shoot him in his big, fucking mouth!	Leyfðu mér að skjóta hann í helvítis túlann!
Let's shoot him.	Skjótum hann.
Fucking mutt dented my shoes.	Bölvaður drjólinn dældaði skóna mína.
His crew'll be looking for him.	Menn hans munu leita að honum.
This is bad.	Þetta er slæmt.
What do we do with him?	Hvað gerum við við hann?
We can't just dump him on the street.	Við getum ekki bara hent honum út á götu.
I know a place upstate. They'll never find him.	Ég veit um stað norður frá þar sem þeir finna hann aldrei.
More tablecloths.	Fleiri borðdúka.
I didn't want to get blood on your floor.	Ég ætlaði ekki að ata blóði á gólfin hjá þér.
Go open your trunk.	Farðu og opnaðu skottið.
We'll get a shovel at my mother's house.	Við sækjum skóflu heim til mömmu.
She has a shovel here somewhere.	Hún á skóflu einhvers staðar.
Quiet, I don't want to wake her.	Hafið hljótt, ég vil ekki vekja hana.
Look who's here.	Sjáið hver er hér.
I hit something on the road.	Ég keyrði á.
Jimmy'll tell you.	Jimmy segir þér hvað gerðist.
What happened to him?	Hvað kom fyrir?
I haven't seen you in so long.	Ég hef ekki séð þig svo lengi.
You, too.	Sömuleiðis.
How are you?	Hvað segirðu gott?
Why are you up so late?	Því ertu á fótum svona seint?
He came in. You came in.	Þið komuð inn.
I'm so happy to see him.	Ég er svo glöð að sjá hann.
Go inside.	Farið inn.
Make yourselves comfortable.	Látið fara vel um ykkur.
I'll make you something to eat.	Ég skal taka til mat handa ykkur.
Go to sleep.	Farðu að sofa.
We're leaving.	Við erum að fara.
I can't. Not while he's home.	Nei, ekki fyrst hann er hér.
I haven't seen him in so long.	Ég hef ekki séð hann svo lengi.
I want to see him.	Ég vil hitta hann.
You go inside.	Farið inn.
This stuff is like lead.	Þetta er blýþungt í maga.
Tell me, where you been?	Hvar hefurðu verið?
I haven't seen you.	Ég hef ekkert séð þig.
You haven't called.	Þú hefur ekki hringt.
Where have you been?	Hvar hefurðu verið?
I been working nights.	Ég hef verið að vinna næturvinnu.
And tonight we were out late.	Og í kvöld vorum við lengi úti.
We took a ride out to the country and hit a deer.	Við fórum í bíltúr út í sveit og keyrðum á dádýr.
That's where all the blood is from.	Þaðan kemur allt blóðið.
Jimmy told you.	Jimmy sagði þér það.
It reminds me, I need this knife. I'm taking this, okay?	Það minnir mig á það, ég fæ lánaðan þennan hníf í smá stund.
Just for a while.	Greyið litla.
The poor thing. We hit the deer and his paw.	Við keyrðum á dádýrið og loppuna á því.
I'll bring the knife back.	Ég skila hnífnum aftur.
Delicious.	Ljúffengt.
Why don't you get yourself a nice girl?	Af hverju nærðu þér ekki í góða stúlku?
I do, almost every night.	Ég geri það, á næstum hverju kvöldi.
But get yourself a girl so you could settle down.	Finndu þér stúlku og farðu að búa.
I do, every night.	Ég geri það, á hverju kvöldi.
Then I'm free.	Síðan er ég laus aftur.
I love you!	Ég elska þig!
I want to be with you.	Ég vil vera hjá þér.
Settle down.	Farðu að búa.
How's your friend Henry?	Hvernig líður Henry vini þínum?
What's the matter?	Hvað er að?
You don't talk much.	Þú ert svo þögull.
Talk.	Talaðu.
What are you quiet for?	Af hverju ertu svona þögull?
You don't eat much, you don't talk much.	Þú borðar hvorki né talar.
I'm just listening.	Ég er bara að hlusta.
Something wrong?	Er eitthvað að?
When we were kids, the compares used to visit each other.	Þegar við vorum ung vorum við vön að heimsækja hvert annað vinirnir.
There was this man. He would never talk.	Þar á meðal var einn sem talaði aldrei.
He 'd just sit there all night.	Hann bara sat allt kvöldið.
They say to him, "What's the matter?	Hann var spurður: "Hvað er að?
Don't you say anything?"	Segirðu aldrei neitt?"
He says, "What am I going to say, that my wife two-times me?"	Hann svarar: "Hvað á ég að segja? Að konan mín haldi fram hjá mér?"
So she says, "Shut up!	Þá segir hún: "Æi, þegiðu!
You're always talking!"	Alltaf ert þú sítalandi!"
But in Italian, it sounds much nicer.	En þetta hljómar betur á ítölsku.
That's it.	Einmitt.
It means he's content to be a jerk.	Það þýðir að hann sé ánægður bjáni.
He doesn't care who knows it.	Honum er alveg sama hverjir vita það.
Did Tommy tell you about my painting?	Sagði Tommy ykkur frá málverkinu mínu?
Look at this.	Sjáið þetta.
It's beautiful.	Það er fallegt.
One dog goes one way and the other goes the other.	Annar hundurinn fer í eina átt, hinn í hina.
One's facing east, the other west.	Einn horfir í austur, hinn í vestur.
The dog looks the same.	Hundurinn er eins.
Looks like someone we know.	Líkist einhverjum sem við þekkjum.
Without the beard.	Fyrir utan skeggið.
It's him.	Þetta er hann.
What the fuck is that?	Hver andskotinn er þetta?
For most of the guys, killings were accepted.	Dráp voru viðurkennd af flestum.
Murder was the only way everybody stayed in line.	Það var eina leiðin til að fá menn til að fylgja reglunum.
You got out of line, you got whacked.	Efþað klikkaði, var maður drepinn.
Everybody knew the rules.	Það kunnu allir reglurnar.
Sometimes, even if people didn't get out of line, they got whacked.	Stundum voru menn drepnir þótt þeir gerðu ekkert af sér.
Hits became a habit.	Drápin komust upp í vana.
Guys would argue over nothing. Before you knew it, one was dead.	Menn rifust út af smáræði og áður en maður vissi af var einn dauður.
They were shooting each other all the time.	Menn voru að skjóta hvern annan í sífellu.
Shooting people was a normal thing.	Það var eðlilegur hlutur að skjóta fólk.
It was no big deal.	Ekkert stórmál.
We had a serious problem with Billy Batts.	Við lentum í alvarlegri klípu út af Billy Batts.
This was really a touchy thing.	Þetta var viðkvæmt mál.
Tommy killed a made guy.	Tommy drap innleiddan mann.
We saw Sammy Davis, Jr.	Við sáum Sammy Davis, Jr.
You got to see this show.	Þið verðið að sjá þessa sýningu.
What a performer!	Þvílíkur listamaður!
He does impersonations.	Hann hermir eftir fólki.
It was like the real people!	Það var alveg eins!
Unbelievable.	Ótrúlegt.
You could see how a white girl could fall for him.	Það er skiljanlegt að hvít stúlka gæti fallið fyrir honum.
Not me.	Ekki ég.
But you could see how some girls could.	Sumar gætu það samt.
Like that Swedish girl.	Eins og sænska stelpan.
So you condone that stuff. Take it easy.	Svo þú ert samþykk svoleiðis.
I don't want to be kissing Nat King Cole over here.	Slakaðu á. Ég vil ekki vera að kyssa Nat King Cole hérna.
I don't mean me.	Ég á ekki við mig.
But, you know, he's got personality."	En hann er með persónutöfra."
Personality?"	Persónutöfra "?
He's talented.	Hann er hæfileikaríkur.
I understand what you're saying.	Ég skil hvað þú ert að fara.
But watch what you say.	En gættu að hvað þú segir.
People get the wrong impression.	Fólk gæti misskilið þig.
I just said he was talented.	Ég sagði bara að hann væri hæfileikaríkur.
Not even Uncle Paulie?	Ekki einu sinni fyrir Paulie frænda?
What did you hear about that thing?	Hvað hefurðu heyrt um atvikið?
The Brooklyn thing?	Þetta í Brooklyn?
The guy from downtown.	Gaurinn neðan úr bæ.
The guy from where Christie lived?	Þar sem Christie bjó?
The guy who disappeared, the one they made the beef on.	Gaurinn sem hvarf, sem þeir myrtu.
Know the guy I mean?	Veistu hvern ég meina?
His name was Batts.	Hann hét Batts.
His people are driving everyone crazy looking for him.	Menn hans eru að gera alla vitlausa að leita að honum.
Nobody knows what happened.	Það veit enginn hvað gerðist.
He came into the joint that night and then just disappeared.	Hann kom inn á barinn þetta kvöld og hvarf síðan.
Keep your eyes open.	Hafðu augun opin.
They're busting my balls over it.	Þeir eru að þjarma að mér út af þessu.
Okay, everybody, let's eat.	Jæja, öllsömul, fáum okkur að borða.
I want my money. I want my money.	Ég vil fá peningana mína.
He owes it.	Hann skuldar mér.
You know that thing we took care of upstate?	Manstu eftir því sem við fórum með norðureftir?
Paulie was talking about that.	Paulie var að tala um það.
We must move it.	Við verðum að færa það.
They just sold the property to make condominiums.	Það er búið að selja landið og nú á að fara að byggja á því.
It's been six months.	Það eru liðnir sex mánuðir.
We got to move it right away.	Við verðum að færa það strax.
Henry, hurry up.	Flýttu þér, Henry.
My mother's making fried peppers and sausage for us.	Mamma er að steikja paprikur og pylsur handa okkur.
Here's an arm.	Ég fann handlegg.
Very funny.	Mjög fyndið.
Or you still go for the hearts and lungs?	Eða ertu enn fyrir hjörtu og lungu?
Oh, that's so bad.	Þetta er ógeðslegt.
What happened to the car?	Hvað kom fyrir bílinn?
I hit a skunk, all right?	Ég ók á skunk.
Go with your mother.	Farðu með mömmu.
It's disgusting, Henry.	Þetta er ógeðslegt, Henry.
I set up Janice in an apartment near The Suite.	Ég kom Janice fyrir í íbúð í bænum.
That way I was able to stay over a few nights a week.	Ég gat því gist þar nokkrar nætur í viku.
My new antique lamp.	Nýi antik-lampinn minn.
Karen was home with the kids.	Karen var heima með börnin.
She never asked questions.	Hún spurði einskis.
The furniture's all Maurice Valencia.	Húsgögnin eru hönnuð af Maurice Valencia.
Looks like Roma.	Þetta líkist Roma.
This is all silk.	Þetta er allt úr silki.
This is from Siam.	Þetta er frá Siam.
Come see my bedroom.	Komið og sjáið svefnherbergið mitt.
Tommy, will you take him?	Getur þú tekið hann, Tommy?
I'll eat this fucking dog tonight.	Ég skal borða hundkvikindið í kvöldmat.
Love that crystal ball or what?	Finnst ykkur kristalskúlan ekki æðisleg?
This is where we spend most of our time.	Hérna eyðum við mestum tíma okkar.
I love the floral arrangements.	Mér finnst blómamynstrið æði.
French.	Franskt.
Janice and I were having so much fun, she started screwing up at work.	Það var svo gaman hjá okkur Janice að hún vanrækti vinnuna.
I had to straighten out her boss.	Ég varð að veita yfirmanni hennar tiltal.
Janice can do what she wants to do!	Janice má gera það sem henni sýnist!
Got it?	Er það skilið?
Just try to run.	Reyndu bara að flýja.
Hang up once more and you'll deal with me!	Ef þú skellir aftur á, er mér að mæta!
Get off of her.	Farðu af henni.
You're an animal.	Þú ert algjört villidýr.
Spider, on your way here, bring me a Cutty and water.	Spider, komdu með viský í vatni handa mér þegar þú kemur.
Did you guys eat?	Eruð þið búnir að borða?
I'm starving.	Ég er banhungraður.
I'll play these.	Ég held þessum.
You'll play those?	Heldurðu þessum?
Do I stutter?	Stama ég eða hvað?
I play those.	Ég held þessum.
What am I? A mirage?	Er ég tálsýn eða hvað?
Where's my fucking drink?	Hvar er helvítis drykkurinn minn?
You wanted a drink?	Vildirðu drykk?
I asked you for one.	Ég bað þig um einn.
I thought you said, "I'm all right, Spider."	Ég hélt þú hefðir sagt: "Ég þarf ekkert, Spider."
Am I on a pay-no-mind list?	Er ég á lista yfir fólk sem á að hunsa?
No, I heard someone say "Spider, Spider."	Nei, ég heyrði einhvern segja: "Spider, Spider."
I thought it was Henry.	Ég hélt það hefði verið Henry.
You're a stuttering fuck.	Þú ert stamandi hálfviti.
You said, "I'm all right, Spider."	Þú sagðir: "Ég þarf ekkert, Spider."
You ain't all right.	Það er ekki í lagi með þig.
No, you said you were all right.	Þú sagðist ekki vilja neitt.
I am all right! You ain't, you prick.	Það er ekki í lagi með þig, rindillinn þinn.
You been doing this all night to me, motherfucker!	Þú ert búinn að gera mér þetta í allt kvöld.
He wants a drink now?	Viltu drykk núna?
I'll bring it.	Ég skal færa þér hann.
Get me a fucking drink!	Sæktu helvítis drykkinn!
Move it, you prick!	Röskur, rindill!
You walk like "Stepin Fetchit."	Þú dregst áfram.
For everybody else you run.	Fyrir alla aðra hleypurðu til.
Run for me!	Hlauptu fyrir mig!
Dance the fucking drink back here!	Dansaðu með drykkinn til mín!
What's that Bogart movie?	Hvað heitir myndin með Bogart?
Where he played a cowboy.	Þar sem hann leikur kúreka.
Oklahoma Kid. Shane?	The Oklahoma Kid.
Oklahoma Kid, that's me.	Ég er hann.
You fucking varmint.	Skriðdýrið þitt.
Dance!	Dansaðu!
Yahoo, motherfucker!	Jahú, skítseiði!
Round up those fucking wagons.	Í röð með hestvagnana.
Now he's moving.	Nú hreyfir hann sig.
Get a towel.	Sæktu handklæði.
Nice fucking game.	Þvílíkt spil.
Take him to Ben Casey.	Farðu með hann til Ben Casey.
Let him crawl like he crawls for the drinks.	Hann getur skriðið þangað eins og eftir drykkjunum.
Take him to the doctor down the street.	Farðu með hann til læknisins neðar í götunni.
Bones are all shattered.	Beinin eru öll mölbrotin.
Don't get me upset.	Ekki espa mig upp.
Don't make a big fucking thing out of it, Spider!	Ekki gera mál úr þessu, Spider!
You trying to make me think what I did here.	Þú reynir að láta mig finna til sektarkenndar.
It was an accident.	Þetta var slys.
Little fucking actor.	Þvílíkur leikari.
You in?	Ertu með?
I'm in.	Ég er með.
Eight hundred.	Átta hundruð.
Eight hundred?	Átta hundruð?
You haven't been home in two weeks!	Þú hefur ekki komið heim í tvær vikur?
You're not going out tonight!	Þú ferð ekki út í kvöld!
Will you grow up!	Engan barnaskap!
I'm still going to go out!	Ég fer víst!
Not without your car keys.	Ekki án bíllyklanna þinna.
Are you nuts?	Ertu brjáluð?
What's your problem?	Hvað er að þér?
Yes!	Já!
Something's going on!	Það er eitthvað á seyði!
Stop with that.	Hættu þessu.
Stop with that!	Nú er nóg komið!
No!	Nei!
I look in your face and I know you're lying!	Ég sé það á þér að þú ert að ljúga!
Get out!	Út með þig!
Get out!	Út með þig!
Shut up!	Þegiðu!
Out of my life!	Farðu burt úr lífi mínu!
You're fucked in the head.	Þú ert rugluð í kollinum.
It's in your mind.	Þetta er ímyndun í þér.
You're a lousy bastard!	Þú ert drullusokkur!
You got a problem.	Þú átt við vandamál að stríða.
Go to your ready-made whores.	Farðu til hóranna þinna.
That's all you're good for!	Þú ert til einskis annars nýtur!
Get out of my life!	Burt úr lífi mínu!
I can't stand you!	Ég þoli þig ekki!
Spider, what's your rush?	Hvaða asi er þetta, Spider?
Thank you.	Takk.
Spider, that bandage on your foot is bigger than your fucking head.	Spider, sárabindið á fætinum á þér er stærra en hausinn á þér.
Next thing you know he'll have one of these fucking walkers.	Hann verður kominn með göngugrind áður en við vitum af.
But you can still dance.	En þú getur enn dansað.
Give us a couple of fucking steps, Spider.	Taktu nokkur spor fyrir okkur, Spider.
You fucking bullshitter.	Helvítis aumingi.
Tell the truth.	Segðu bara eins og er.
You want sympathy.	Þú vilt samúð.
Go fuck yourself, Tommy.	Farðu í rassgat, Tommy.
I didn't hear right.	Mér misheyrðist.
I can't believe what I heard.	Ég trúi ekki mínum eigin eyrum.
This is for you.	Þetta er handa þér.
He shoots him in the foot and he tells him to go fuck himself.	Hann skýtur hann í fótinn og hann segir honum að fara í rassgat.
Tommy, you going to let this fucking punk get away with that?	Tommy, ætlarðu að láta ræfilinn komast upp með þetta?
What's this world coming to?	Hvernig er heimurinn að verða?
That's what the fucking world's coming to.	Svona er heimurinn að verða.
How's that?	Hvernig var þetta?
What is wrong with you?	Hvað er að þér?
What is the fucking matter with you?	Hver andskotinn gengur að þér?
Are you stupid or what?	Ertu heimskur eða hvað?
I was kidding with you.	Ég var að grínast í þér.
Are you a sick maniac?	Ertu geggjaður?
How do I know if you're kidding?	Hvernig átti ég að vita að þú værir að grínast?
I'm kidding with you and you fucking shoot the guy?	Ég stríði þér og þú bara skýtur hann?
He's dead. Good shot.	Hann er dauður.
I'm a good shot.	Ég er góð skytta.
Hard to miss at this distance.	Erfitt að hitta ekki á þessu færi.
You got a problem with what I did?	Ertu ósammála því sem ég gerði?
His family's all rats.	Það eru allir í hans fjölskyldu aumingjar.
He would've grown up to be a rat.	Hann hefði orðið það líka.
Stupid bastard!	Heimska fífl!
I can't believe you.	Ég trúi þessu ekki.
Now you're going to dig the hole.	Nú getur þú sko grafið holuna.
I'll dig the hole.	Ég skal grafa holuna.
I don't give a fuck.	Mér er skítsama.
Is it the first hole I dug?	Er þetta fyrsta holan sem ég gref?
Not the first hole I dug.	Nei, þetta er ekki sú fyrsta.
Where are the shovels?	Hvar eru skóflurnar?
It's Karen Hill.	Þetta er Karen Hill.
I want to talk to you.	Ég þarf að tala við þig.
Hello?	Halló?
Don't hang up on me!	Ekki skella á mig!
I want to talk to you!	Ég þarf að tala við þig!
You keep away from my husband, you hear me?	Komdu ekki nálægt manninum mínum, heyrirðu það?
Open the door!	Opnaðu dyrnar!
Answer me!	Svaraðu mér!
I'll tell everyone who walks in here that in 2R, Rossi, you are nothing but a whore!	Ég mun segja öllum sem ganga hér inn að í íbúð 2R, Rossi, búi hóra!
Superintendent?	Húsvörður?
I want you to know you have a whore living in 2R!	Ég vil að þú vitir að það býr hóra í íbúð 2R!
Rossi, Janice Rossi.	Rossi, Janice Rossi.
Do you hear me?	Heyrirðu til mín?
He's my husband!	Hann er eiginmaður minn!
Get your own goddamn man!	Finndu þér þinn eigin!
Wake up, Henry.	Vaknaðu, Henry.
Karen, are you crazy?	Karen, ertu brjáluð?
I am crazy.	Ég er brjáluð.
And I'm crazy enough to kill both of you.	Nógu brjáluð til að drepa ykkur bæði.
Karen, take it easy.	Slakaðu á, Karen.
Do you love her?	Elskarðu hana?
Do you?	Gerirðu það?
I love you.	Ég elska þig.
You know I love you.	Þú veist ég elska þig.
You don't.	Þú gerir það ekki.
No, you don't.	Nei, þú gerir það ekki.
Be careful, baby.	Farðu varlega, elskan.
But still I couldn't hurt him.	En ég gat samt ekki meitt hann.
How could I hurt him?	Hvernig gæti ég það?
I couldn't even bring myself to leave him.	Ég gat ekki einu sinni yfirgefið hann.
The truth was no matter how bad I felt I was still very attracted to him.	Sannleikurinn var sá að sama hversu illa mér leið þá var ég enn mjög hrifin af honum.
Why give him to someone else?	Af hverju ætti ég að eftirláta hann annarri?
Why should she win?	Af hverju ætti hún að vinna?
Just put it down.	Leggðu hana frá þér.
You know I love you, don't you?	Þú veist ég elska þig, er það ekki?
You're all I want, Karen.	Þú ert allt sem ég vil, Karen.
Please put the gun down.	Gerðu það, leggðu byssuna frá þér.
Baby, come on.	Láttu ekki svona elskan.
What are you, fucking crazy?	Ertu gjörsamlega búin að missa glóruna?
I got enough to worry about getting whacked on the street!	Það er ekki nóg með að ég þurfi að hafa áhyggjur af að vera skotinn út á götu!
I got to fucking come home... for this?	Þarf ég að hafa það heima líka?
I should fucking kill you!	Það væri réttast að ég skyti þig!
How does it feel?	Hvernig finnst þér þetta?
I'm sorry.	Fyrirgefðu.
How does it feel, Karen?	Hvernig finnst þér þetta, Karen?
I'm sorry!	Fyrirgefðu!
Hi, Jimmy!	Sæll, Jimmy!
How are you?	Hvernig hefurðu það?
Looking good.	Lítur vel út.
Thank you.	Takk.
Good to see you.	Gaman að sjá þig.
Hi, Paulie!	Hæ, Paulie!
Hi, honey.	Sæl, vinan.
How are you?	Hvað segirðu gott?
Go get some cigarettes, okay?	Farðu og kauptu sígarettur.
Sure.	Allt í lagi.
Any of you need anything?	Vantar ykkur eitthvað?
I'm all right.	Nei, takk.
You want anything to drink?	Viljið þið eitthvað að drekka?
A beer?	Bjór?
No, this...	Nei, takk.
Chinese food?	Kínverskan mat?
No, come on, sit down.	Nei, komdu og sestu.
Karen came to the house.	Karen kom heim til okkar.
She's very upset.	Hún er í miklu uppnámi.
You got to straighten this out.	Þú verður að bjarga málunum.
We got to have calm now.	Við verðum að hafa ró núna.
We don't know what she'll do.	Við vitum ekki hvað hún gæti gert.
She's hysterical.	Hún er móðursjúk.
Very excited.	Yfirspennt.
She's wild.	Hún er villt.
And you got to take it easy.	Og þú verður að slaka á.
You got children.	Þú átt börn.
I'm not saying to go back to her right now, but you got to go back.	Ég er ekki að reka þig heim strax, en þangað verðurðu að fara.
You got to keep up appearances.	Þú verður að láta eins og ekkert sé.
The two of them come to my house every day.	Þær koma heim til mín á hverjum degi.
I can't have it.	Það gengur ekki.
I can't do it, Henry.	Það bara gengur ekki, Henry.
I can't do it. Nobody says you can't do what you want.	Auðvitað geturðu gert það sem þér sýnist.
We all know that. This is what it is. We know what it is.	Það vitum við og við vitum hvað þetta er.
You have to do the right thing.	Þú verður að gera hið rétta.
You have to go home to the family.	Þú verður að fara heim til fjölskyldunnar.
You got to go home, okay?	Þú verður að fara heim, skilurðu það?
You got to go home.	Þú verður að fara heim.
Smarten up.	Taktu sönsum.
I'll talk to Karen.	Ég skal tala við Karen.
I'll straighten this out.	Ég leysi úr þessu.
I know just what to say to her.	Ég veit hvað segja skal.
