Bye, Jimmy.	Bless, Jimmy.
I love you so much, Peter.	Ég eIska þig svo mikið, Peter.
All I wanted was to tell her how much I loved her.	Ég þráði að segja henni hvað ég elskaði hana heitt.
I can't...	Ég get ekki...
You can't what?	Hvað geturðu ekki?
Only a friend Peter Parker?	Peter Parker?
That's all I have to give.	Ég get ekki boðið betur.
Whatever life holds in store for me...	Hvað sem bÍður mÍn mun ég aldrei gleyma þessum orðum.:
"With great power comes great responsibility. "This is my gift. My curse.	Miklum mætti fylgir mikil ábyrgð. þetta er náðargjöf mÍn... og bölvun.
Who am I?	Hver er ég?
I'm Spider-Man.	Kóngulóarmaðurinn.
Subtitles by SDI Media Group 121 2002 Action,Adventure English USA 10280 17 6 1583 5 2 windows-1252 01:56:14,038 1.0 2003-01-27 1/1 English 1176	Íslenskur texti eftir: reklame11 1154 Icelandic 1.0 1/1 2005-03-01 01:56:14,038 USA 121 Action,Adventure 2002 English 0 1375 0 7233 78 iso-8859-4 0
You cannot pass!	HRINGADRÓTTINSSAGA Þú ferð ekki yfir!
Gandalf!	Gandalfur!
I am a servant of the Secret Fire, wielder of the flame of Anor.	Ég er þjónn hins Launhelga loga og ræð yfir eldinum frá Anor.
Go back to the Shadow.	Snautaðu aftur niður í Skuggann.
The dark fire will not avail you, flame of Udûn!	Hið myrka bál mun ekki stoða Þig, logi Uðúna!
You shall not pass! No!	Þú ferð ekki yfir!
No!	Nei!
Gandalf!	Gandalfur!
Fly, you fools.	Flýið, flónin ykkar.
No!	Nei!
Gandalf!	Gandalfur!
What is it, Mr. Frodo?	Hvað er að, Fróði?
Nothing.	Ekkert.
Just a dream.	Bara draumur.
Can you see the bottom?	TVEGGJA TURNA TAL Sérðu til botns?
No!	Nei!
Don't look down, Sam!	Ekki líta niður, Sómi!
Just keep going!	Haltu bara áfram!
Catch it!	Náðu henni!
Grab it, Mr. Frodo!	Gríptu hana, Fróði!
Mr. Frodo!	Fróði!
I think I've found the bottom.	Ég held ég hafi fundið botninn.
Bogs and rope, and goodness knows what.	Fúafen og reipi og hamingjan má vita hvað.
It's not natural.	Þetta er ekki eðlilegt.
Roast chicken?!	Grilla kjúkling?
You never know.	Maður veit aldrei.
Sam. My dear Sam.	Kæri Sómi minn.
It's very special, that.	Þetta er mjög sérstakt.
It's the best salt in all the Shire.	Besta saltið í öllu Héraði.
It is special.	Það er sérstakt.
It's a little bit of home.	Minjagripur að heiman.
We can't leave this here for someone to follow us down.	Við getum ekki skilið reipið eftir fyrir einhvern sem eltir okkur.
Who's gonna follow us down here, Mr. Frodo?	Hver ætti að elta okkur hingað niður, Fróði?
It's a shame, really.	Þetta er synd.
Lady Galadriel gave me that.	Galadríel gaf mér það.
Mr. Frodo?	Fróði?
It's the Ring, isn't it?	Það er Hringurinn, er það ekki?
It's getting heavier.	Hann þyngist.
What food have we got left?	Hvaða mat eigum við eftir?
Let me see.	Látum okkur sjá.
Oh, yes. Lovely.	Já, dásamlegt.
Lembas bread.	Lembasbrauð.
And look!	Og sjáðu!
More lembas bread.	Meira Lembasbrauð.
This looks strangely familiar.	Þetta er undarlega kunnuglegt.
It's because we've been here before.	Það er af því við höfum verið hér áður.
We're going in circles.	Við göngum í hringi.
What is that horrid stink?	Hvaða hræðilegi fnykur er þetta?
I warrant there's a nasty bog nearby.	Ég held að það sé daunillt fúafen nærri.
Can you smell it?	Finnurðu lyktina?
Yes.	Já.
I can smell it.	Ég finn hana.
We're not alone.	Við erum ekki einir.
The thieves.	Þjófarnir.
The filthy little thieves.	Andstyggilegu þjófarnir.
Where is it?	Hvar er það?
They stole it from us.	Þeir stálu því frá okkur.
My precious.	Djásnið mitt.
Curse them, we hates them!	Bölvaðir séu þeir, við hötum þá.
It's ours, it is, and we wants it!	Það tilheyrir oss og við viljum fá það.
This is Sting.	Þetta er Stingur.
You've seen it before haven't you, Gollum?	Þú hefur séð hann áður, er það ekki, Gollrir?
Release him or I'll cut your throat.	Slepptu honum eða ég sker þig á háls.
It burns!	Það brennir!
It burns us!	Það brennir oss!
It freezes!	Það frýs!
Nasty Elves twisted it.	Álfaandstyggðirnar hafa fléttað það.
Take it off us!	Takið það af oss!
Quiet, you!	Þegiðu!
It's hopeless.	Þetta er vonlaust.
It's no more than you deserve!	Þú verðskuldar það fyllilega.
Maybe he does deserve to die.	Kannski verðskuldar hann að deyja.
But now that I see him, I do pity him.	En nú þegar ég sé hann kenni ég í brjósti um hann.
We be nice to them if they be nice to us.	Við værum góðir við þá ef þeir væru oss góðir.
Take it off us.	Takið það af oss.
We swears to do what you wants.	Við sverjum að hlýða ykkur.
We swears.	Við sverjum það.
There's no promise you can make that I can trust.	Ég treysti engum loforðum þínum.
We swears to serve the master of the precious.	Við sverjum að þjóna húsbónda djásnsins.
We will swear on on the precious.	Við sverjum það við djásnið.
Gollum.	Gollrir.
The Ring is treacherous.	Hringurinn er svikull.
It will hold you to your word.	Við látum þig efna loforðið.
Yes on the precious.	Já... við djásnið.
On the precious.	Við djásnið.
I don't believe you!	Ég trúi þér ekki!
Get down!	Komdu niður!
I said, down!	Niður!
Sam!	Sómi!
He's trying to trick us.	Hann er að reyna að blekkja okkur.
If we let him go, he'll throttle us in our sleep.	Ef við leyfum honum að fara kyrkir hann okkur í svefni.
You know the way to Mordor?	Ratarðu til Mordor?
Yes.	Já.
You've been there before?	Hefurðu komið þangað áður?
Yes.	Já.
You will lead us to the Black Gate.	Þú fylgir okkur að Myrkrahliðinu.
To the Gate, to the Gate!	Að Hliðinu, að Hliðinu.
To the Gate, the master says.	Að Hliðinu, segir húsbóndinn.
Yes!	Já!
We won't go back.	Við förum ekki til baka.
Not there.	Ekki þangað.
Not to him.	Ekki til hans.
They can't make us.	Þeir geta ekki neytt oss.
Gollum!	Gollrir!
But we swore to serve the master of the precious.	En við sórum að þjóna húsbónda djásnsins.
No.	Nei.
Ashes and dust and thirst there is, and pits, pits, pits.	Aska, ryk og þorsti bíða þar og gjár, gjár, gjár.
And Orcses, thousands of Orcses.	Og Orkar, þúsundir Orka.
What did I tell you?	Hvað sagði ég ekki?
He's run off, the old villain.	Gamli þrjóturinn er stunginn af.
So much for his promises.	Loforð hans var lítils virði.
This way, Hobbits.	Þessa leið, Hobbitar.
Follow me!	Fylgið mér.
Merry!	Kátur.
Merry!	Kátur!
You're late.	Þið eruð seinir.
Our master grows impatient. He wants the Shire-rats now.	Húsbóndi okkar er óþolinmóður Hann vill fá Héraðsrotturnar strax.
I don't take orders from Orc-maggots.	Ég tek ekki við skipunum frá Orkamöðkum.
Saruman will have his prize.	Sarúman fær dýrgripinn sinn.
We will deliver them.	Við munum afhenda þá.
Merry?	Kátur?
Wake up.	Vaknaðu!
My friend is sick.	Vinur minn er veikur.
He needs water.	Hann þarf vatn.
Please!	Gerið það.
Sick, is he?	Veikur, er hann?
Give him some medicine, boys!	Gefið honum lyf, piltar!
Stop it!	Hættið þessu!
Can't take his draught!	Hann þolir ekki sopann sinn!
Leave him alone!	Látið hann í friði!
Why?	Hvers vegna?
You want some?	Vilt þú?
Then keep your mouth shut.	Þegiðu þá.
Merry.	Kátur. Sæll, Pípinn.
Hello, Pip.	Þú ert meiddur.
You're hurt. I'm fine.	Það amar ekkert að mér.
It was just an act.	Þetta var bara uppgerð.
An act?	Uppgerð?
See?	Sko?
I fooled you too.	Ég lék líka á þig.
Don't worry about me, Pippin. What is it?	Hafðu ekki áhyggjur af mér, Pípinn.
What do you smell?	Hvaða lykt finnurðu?
Man-flesh.	Mannahold.
They've picked up our trail.	Þeir eru á slóð okkar.
Aragorn. Let's move!	Aragorn. Flýtum okkur!
Their pace has quickened.	Þeir hafa greikkað sporið.
They must have caught our scent.	Þeir hljóta að hafa fundið þef okkar.
Hurry!	Flýtið ykkur!
Come on, Gimli!	Fljótur, Gimli.
Three days and nights pursuit. No food.	Eftirför í þrjá daga og þrjár nætur án matar og hvíldar.
No rest. And no sign of our quarry, but what bare rock can tell.	Engin merki um bráðina nema það sem bert grjótið lætur uppi.
Not idly do the leaves of Lórien fall.	Lauf Lóríenskógar falla ekki af sjálfsdáðum.
They may yet be alive.	Þeir kunna að vera enn á lífi.
Less than a day ahead of us.	Forskot þeirra er innan við dagleið.
Come.	Áfram.
Come, Gimli!	Fljótur, Gimli!
We're gaining on them!	Við drögum á þá!
I'm wasted on cross-country.	Ég hef ekkert í víðavangshlaup að gera!
We Dwarves are natural sprinters.	Dvergar eru spretthlauparar!
Very dangerous over short distances.	Mjög skeinuhættir á stuttum vegalengdum.
Rohan. Home of the Horse-lords.	Róhan, heimkynni hestahöfðingjanna.
There's something strange at work here.	Hér eru undarleg öfl að verki.
Some evil gives speed to these creatures.	Eitthvað myrkraafl gefur þessum verum aukinn hraða.
Sets its will against us.	Setur vilja sinn gegn okkur.
Legolas! What do your Elf-eyes see?	Legolas, hvað sjá Álfsaugu þín?
The Uruks turn northeast.	Úrúkarnir snúa í norðaustur.
They are taking the Hobbits to Isengard.	Þeir fara með Hobbitana til Ísarngerðis.
Saruman.	Sarúman.
The world is changing.	Heimurinn er að breytast.
Who now has the strength to stand against the armies of Isengard and Mordor?	Hver hefur nú styrk til að standa gegn herjum Ísarngerðis og Mordor?
To stand against the might of Sauron and Saruman and the union of the two towers?	Til að standa gegn mætti Saurons og Sarúmans og Bandalagi turnanna tveggja?
Together, my Lord Sauron we shall rule this Middle-earth.	Í sameiningu, meistari Sauron, munum við ríkja yfir Miðgarði.
The Old World will burn in the fires of industry.	Gamli heimurinn mun brenna í eldum iðnaðar.
The forests will fall.	Skógarnir munu falla.
A new order will rise.	Nýtt afl mun rísa.
We will drive the machine of war with the sword and the spear and the iron fists of the Orc.	Við munum keyra stríðsvélina með sverði, spjóti og járnhnefa Orkanna.
I want them armed and ready to march within two weeks!	Ég vil þá vopnbúna og tilbúna til hergöngu innan tveggja vikna!
But, my lord, there are too many!	En, herra, þeir eru of margir.
They cannot all be armed in time, we don't have the means.	Við höfum ekki ráð til að vopnbúa alla í tíma.
Build a dam, block the stream, work the furnaces night and day.	Stíflið ána, kyndið bræðsluofnana dag og nótt.
We don't have enough fuel to feed the fires.	Við höfum ekki nægt eldsneyti til að viðhalda eldinum.
The Forest of Fangorn lies on our doorstep.	Fangornskógur liggur fyrir fótum okkar.
Burn it.	Brennið hann.
Yes.	Já.
We will fight for you.	Við munum berjast fyrir þig.
Swear it.	Sverðu það.
We will die for Saruman.	Við munum deyja fyrir Sarúman.
The Horse-Men took your lands.	Riddararnir tóku lönd ykkar.
They drove your people into the hills to scratch a living off rocks.	Þeir hröktu þjóð ykkar upp í fjöllin til að draga fram lífið á grjóti.
Murderers!	Morðingjar!
Take back the lands they stole from you.	Takið aftur löndin sem þeir stálu frá ykkur.
Burn every village!	Brennið sérhvert þorp!
We have only to remove those who oppose us.	Við Þurfum aðeins að ryðja burt Þeim sem standa í vegi okkar.
It will begin in Rohan.	Herförin hefst í Róhan.
Too long have these peasants stood against you.	Of lengi hafa kotbændurnir staðið gegn Þér.
But no more.	En ekki lengur.
Éothain!	Jóðan!
You take your sister.	Farðu með systur þína.
You'll go faster with just two.	Þið komist hraðar tvö ein.
Papa says Éothain must not ride Garulf.	Pabbi segir að Jóðan megi ekki ríða Gárúlfi.
He is too big for him.	Hann sé of stór fyrir hann.
Listen to me.	Þú verður að ríða til Edóras og vara fólk við.
Do you understand me?	Skilurðu það?
Yes, Mama.	Já, mamma.
I don't want to go, Mama.	Ég vil ekki fara burt, mamma.
Freda, I will find you there.	Freyja, ég finn ykkur þar.
Quickly!	Flýtið ykkur!
Go, child.	Farðu, barn.
Rohan, my lord is ready to fall.	Róhan, herra minn, riðar til falls.
Théodred.	Þjóðráður.
Mordor will pay for this.	Mordor fær að gjalda fyrir þetta.
These Orcs are not from Mordor.	Þessir Orkar eru ekki frá Mordor.
My Lord Éomer, over here!	Hérna, Jómar!
He's alive.	Hann er á lífi.
Théodred.	Þjóðráður?
Your son is badly wounded, my lord.	Sonur þinn er helsærður, herra.
He was ambushed by Orcs.	Orkar veittu honum fyrirsát.
If we don't defend our country, Saruman will take it by force.	Ef við verjum ekki landið tekur Sarúman það með valdi.
That is a lie.	Það er lygi.
Saruman the White has ever been our friend and ally. Grima.	Sarúman Hvíti hefur ávallt verið vinur okkar og bandamaður.
Grima.	Grímur.
Orcs are roaming freely across our lands.	Orkar reika frjálsir um lönd okkar.
Unchecked. Unchallenged. Killing at will.	Óhindraðir, óheftir, drepandi að vild.
Orcs bearing the White Hand of Saruman.	Orkar með merki hinnar Hvítu handar Sarúmans.
Why do you lay these troubles on an already troubled mind?	Hví leggurðu þessa byrði á þjakaðan huga?
Can you not see?	Sérðu ekki?
Your uncle is wearied by your malcontent your warmongering.	Frændi þinn er þreyttur á óánægju þinni og stríðsæsingatali.
Warmongering?	Stríðsæsingatali?
How long is it since Saruman bought you?	Hvað er langt síðan Sarúman keypti þig?
What was the promised price, Grima?	Hvaða launum lofaði hann þér, Grímur?
When all the Men are dead, you will take your share of the treasure?	Þegar allir aðrir væru dauðir fengirðu að hirða alla fjársjóðina?
Too long have you watched my sister.	Of lengi hefurðu mænt á systur mína.
Too long have you haunted her steps.	Of lengi hefurðu elt hana á röndum.
You see much, Éomer, son of Éomund.	Þú sérð margt, Jómar, sonur Jómundar.
Too much.	Of margt.
You are banished forthwith from the kingdom of Rohan and all its domains under pain of death.	Þú ert gerður útlægur úr konungsríki Róhans að viðurlagðri dauðarefsingu.
You have no authority here.	Þú hefur ekkert vald hér.
Your orders mean nothing.	Skipanir þínar hafa ekkert gildi.
This order does not come from me.	Þessi fyrirskipun kemur ekki frá mér.
It comes from the king.	Hún kemur frá konunginum.
He signed it this morning.	Hann undirritaði hana núna í morgun.
Keep breathing.	Andaðu.
That's the key.	Það er lykillinn.
Breathe.	Andaðu.
They've run as if the very whips of their masters were behind them.	Þeir hafa hlaupið líkt og keyrðir áfram af svipu húsbænda sinna.
We're not going no further until we've had a breather. Get a fire going!	Við förum ekki lengra fyrr en við höfum kastað mæðinni.
Merry!	Kveikið eld!
I think we might have made a mistake leaving the Shire, Pippin.	Ég held það hafi verið mistök að fara frá Héraði, Pípinn.
What's making that noise?	Hvað veldur þessu hljóði?
It's the trees.	Það eru trén.
What?	Hvað þá?
You remember the Old Forest, on the borders of Buckland?	Manstu eftir Gamla skóginum við jaðar Bukksveitar?
Folk used to say there was something in the water that made the trees grow tall and come alive.	Fólk sagði að eitthvað í vatninu ylli því að trén yrðu há og lifnuðu við.
Alive?	Lifnuðu?
Trees that could whisper talk to each other even move.	Tré sem gátu hvíslað, talað saman og jafnvel hreyft sig.
I'm starving.	Ég er glorsoltinn.
We ain't had nothing but maggoty bread for three stinking days.	Við höfum bara fengið maðkétið brauð í þrjá bannsetta daga.
Yeah!	Já!
Why can't we have some meat?!	Því getum við ekki fengið kjöt?
What about them?	Hvað um þá?
They're fresh.	Þeir eru ferskir.
They are not for eating.	Þeir eru ekki til átu.
What about their legs?	Hvað um fæturna á þeim?
They don't need those.	Þeir virðast gómsætir.
They look tasty. Get back, scum!	Til baka, úrþvætti!
The prisoners go to Saruman. Alive and unspoiled.	Sarúman fær fangana lifandi og óskaddaða.
Alive?	Lifandi?
Why alive?	Af hverju lifandi?
Do they give good sport?	Eru þeir til skemmtunar?
They have something.	Þeir eru með eitthvað.
An Elvish weapon.	Álfavopn.
The master wants it for the war.	Húsbóndinn vill fá það fyrir stríðið.
They think we have the Ring.	Þeir halda að við séum með Hringinn.
As soon as they find out we don't, we're dead.	Þegar þeir uppgötva að svo er ekki erum við dauðans matur.
Just a mouthful a bit of the flank.	Bara munnfylli. Sneið af síðu.
Looks like meat's back on the menu, boys.	Nei! Það virðist aftur vera komið kjöt á matseðilinn.
Pippin.	Pípinn.
Let's go.	Komdu.
Go on.	Gerðu það bara.
Call for help.	Hrópaðu á hjálp.
Squeal.	Emjaðu.
No one's going to save you now.	Enginn bjargar þér núna.
Pippin!	Pípinn!
A red sun rises.	Rauð sól rís.
Blood has been spilled this night.	Blóði hefur verið úthellt í nótt.
Give me your name, horse-master, and I shall give you mine.	Segðu mér nafn þitt, knapi, og þá segi ég þér mitt.
I would cut off your head, Dwarf if it stood but a little higher from the ground.	Ég myndi höggva af þér höfuðið, Dvergur, ef það stæði aðeins ofar upp úr jörðinni.
You would die before your stroke fell.	Þú myndir deyja áður en höggið félli.
I am Aragorn, son of Arathorn.	Ég er Aragorn, sonur Araþorns.
This is Gimli, son of Glóin, and Legolas of the Woodland Realm.	Þetta er Gimli, sonur Glóins, og Legolas frá Skógaríki álfa.
We are friends of Rohan and of Théoden, your king.	Við erum vinir Róhans og Þjóðans konungs.
Théoden no longer recognizes friend from foe.	Þjóðan þekkir ekki lengur vin frá óvini.
Not even his own kin.	Ekki einu sinni sína nánustu.
Saruman has poisoned the mind of the king and claimed lordship over these lands.	Sarúman eitraði hug konungs og hefur sölsað undir sig ríkið.
My company are those loyal to Rohan. And for that, we are banished.	Félagar mínir eru hliðhollir Róhan og fyrir það erum við útlægir.
The White Wizard is cunning.	Hvíti vitkinn er slóttugur.
He walks here and there, they say as an old man hooded and cloaked.	Að sögn gengur hann hér og þar í líki gamals manns með hettu og kufl.
And everywhere, his spies slip past our nets.	Og alls staðar sleppa njósnarar hans í gegnum net okkar.
We are no spies.	Við erum ekki njósnarar.
We track a party of Uruk-hai westward across the plain.	Við eltum hóp Úrúk-hai Vestur yfir sléttuna.
They have taken two of our friends captive.	Þeir hafa tekið tvo vini okkar höndum.
The Uruks are destroyed.	Úrúkarnir eru dauðir.
We slaughtered them during the night.	Við stráfelldum þá í nótt.
Did you see two Hobbits with them?	En sáuð þið tvo Hobbita með þeim?
They would be small.	Þeir eru litlir.
Only children to your eyes.	Sem börn í augum ykkar.
We left none alive.	Enginn slapp lifandi.
We piled the carcasses and burned them.	Við hrúguðum saman líkunum og brenndum þau.
Arod!	Arod!
We ride north!	Við ríðum í Norður!
It's one of their wee belts.	Þetta er annað af smábeltunum þeirra.
We failed them.	Við brugðumst þeim.
A Hobbit lay here.	Hér lá Hobbiti.
And the other.	Og hinn.
They crawled.	Þeir skriðu.
Their hands were bound.	Þeir voru bundnir á höndum.
Their bonds were cut.	Fjötrar þeirra voru skornir.
They ran over here.	Þeir hlupu hingað.
They were followed.	Þeir voru eltir.
The belt!	Beltið!
Run!	Hlauptu!
Tracks lead away from the battle into Fangorn Forest. Fangorn?	Sporin liggja frá átökunum... inn í Fangornskóg. Fangorn?
What madness drove them in there?	Hvaða brjálæði rak þá þangað?
Did we lose him?	Hristum við hann af okkur?
I think we lost him.	Ég held við höfum gert það.
I'm going to rip out your filthy little innards!	Ég ríf úr ykkur ógeðsleg innyflin!
Come here!	Komið hingað!
Trees.	Trén.
Climb a tree.	Klifraðu upp í tré.
He's gone.	Hann er farinn.
Let's put a maggot hole in your belly!	Setjum maðkagat á vömbina á þér.
Run, Merry!	Hlauptu, Kátur!
Little Orcs.	Litlir Orkar.
It's talking, Merry.	Það talar, Kátur.
The tree is talking.	Tréð talar.
Tree?	Tré?
I am no tree!	Ég er ekki tré.
I am an Ent.	Ég er Entur.
A tree-herder.	Trjáhirðir.
A shepherd of the forest.	Trjásmali skógarins.
Don't talk to it, Merry.	Ekki tala við það, Kátur.
Don't encourage it!	Ekki hvetja það.
Treebeard, some call me.	Sumir kalla mig Trjáskegg.
And whose side are you on?	Og hvern styður þú?
Side?	Styð?
I am on nobody's side because nobody's on my side, little Orc.	Ég styð engan því enginn styður mig, litli Orki.
Nobody cares for the woods anymore.	Enginn lætur sér annt um skógana nú á dögum.
We're not Orcs! We're Hobbits!	Við erum ekki Orkar, við erum Hobbitar.
Hobbits?	Hobbitar?
Never heard of a Hobbit before.	Ég hef aldrei áður heyrt um Hobbita.
Sounds like Orc mischief to me!	Þetta hljómar frekar eins og Orkabragð.
They come with fire.	Þeir koma með eld.
They come with axes.	Þeir koma með axir.
Gnawing, biting, breaking, hacking, burning! Destroyers and usurpers!	Naga, bíta, brjóta, höggva, brenna.
The White Wizard will know.	Hvíti vitkinn veit svarið við því.
The White Wizard?	Hvíti vitkinn?
Saruman.	Sarúman.
See? See?	Sjáið þið?
We've led you out.	Við höfum vísað ykkur leiðina út.
Hurry, Hobbitses.	Fljótir, Hobbítsar.
Hurry!	Flýtið ykkur.
Very lucky we find you.	Það var heppni að við fundum ykkur.
Nice Hobbit.	Góður Hobbiti.
It's a bog.	Þetta er mýri.
He's led us into a swamp.	Hann leiddi okkur út í fen.
A swamp, yes, yes.	Fen, já, já.
Come, master.	Komdu, húsbóndi.
We will take you on safe paths through the mist.	Við fylgjum þér um örugga stíga í gegnum mistrið.
Come, Hobbits! Come!	Komið, Hobbítsar!
We go quickly.	Förum hratt yfir.
I found it. I did.	Ég fann hana.
The way through the marshes.	Leiðina í gegnum fenin.
Orcs don't use it.	Orkar nota hana ekki.
Orcs don't know it.	Orkar Þekkja hana ekki.
They go around for miles and miles.	Þeir taka á sig óralangan krók.
Come quickly.	Komið fljótt.
Soft and quick as shadows we must be.	Við þurfum að vera liprir og fljótir eins og skuggi.
I hate this place.	Ég hef óbeit á þessum stað.
It's too quiet.	Það er of hljótt.
There's been no sight nor sound of a bird for two days.	Það hefur hvorki sést né heyrst til fugls í tvo daga.
No, no birdses to eat.	Nei, engir fuglar til að borða.
Here.	Hérna.
What does it eats?	Hvað borðar það?
Is it tasty?	Er það gómsætt?
It tries to chokes us!	Það reynir að kæfa okkur!
We can't eats Hobbit food!	Við getum ekki borðað Hobbitamat!
We must starve!	Við verðum að svelta.
Well, starve, then.	Sveltu þá.
And good riddance!	Farið hefur fé betra.
Oh, cruel Hobbit.	Grimmi Hobbiti.
It does not care if we be hungry.	Honum er sama þótt okkur hungri.
Does not care if we should die.	Er sama þótt við deyjum.
Not like master.	Ekki eins og húsbóndinn.
Master cares.	Húsbóndanum er annt um oss.
Master knows.	Húsbóndinn veit.
Yes.	Já.
Precious.	Djásnið.
Once it takes hold of us it never lets go.	Þegar það nær taki á oss sleppir það því aldrei.
Don't touch me!	Ekki snerta mig!
There are dead things!	Það eru dauðar verur!
Dead faces in the water.	Dauð andlit í vatninu.
All dead.	Allir dánir.
All rotten.	Allir rotnaðir.
Elves and Men and Orcses.	Álfar, Menn og Orkar.
A great battle long ago.	Mikil orrusta endur fyrir löngu.
Dead Marshes.	Dauðingjafen.
Yes. Yes, that is their name.	Já, já, það er nafnið.
This way.	Þessa leið.
Don't follow the lights.	Ekki elta ljósin.
So bright.	Svo bjartur.
So beautiful.	Svo fagur.
Our precious.	Djásnið okkar.
What did you say?	Hvað sagðirðu?
Master should be resting.	Húsbóndinn ætti að hvíla sig.
Master needs to keep up his strength.	Húsbóndinn þarf að safna kröftum.
Who are you?	Hver ertu?
Mustn't ask us.	Mátt ekki spyrja oss.
Not its business.	Kemur honum ekki við.
Gandalf told me you were one of the river-folk.	Gandalfur sagði mér að þú hefðir áður tilheyrt fljótafólkinu.
Sméagol.	Smjagall.
What did you call me?	Hvað kallaðirðu mig?
That was your name once, wasn't it?	Það var nafn þitt áður, er það ekki?
A long time ago.	Endur fyrir löngu.
My name.	Nafn mitt.
Black Riders!	Svörtu riddararnir!
Hide! Hide!	Felið ykkur!
Come on, Frodo.	Fljótur, Fróði.
Come on!	Flýttu þér.
Quick!	Fljótir, þeir sjá okkur!
They will see us!	Þeir sjá okkur!
I thought they were dead.	Ég héIt þeir væru dauðir.
Dead?	Dauðir?
No, you cannot kill them.	Nei, það er ekki hægt að drepa þá.
Wraiths!	Vomar!
Wraiths on wings!	Vomar á vængjum!
They are calling for it.	Þeir kalla á það.
They are calling for the precious.	Þeir kalla á djásnið.
It's all right.	Þetta er í lagi.
I'm here.	Ég er hér.
Hurry, Hobbits.	Fljótir, Hobbitar.
The Black Gate is very close.	Myrkrahliðið er mjög nærri.
Orc blood.	Orkablóð.
These are strange tracks.	Þetta eru undarleg spor.
The air is so close in here.	Loftið hér er svo þétt.
This forest is old.	Skógurinn er gamall.
Very old.	Ævaforn.
Full of memory and anger.	Fullur af minningum... og reiði.
The trees are speaking to each other.	Trén tala saman.
Gimli!	Gimli!
Lower your ax.	Láttu öxina síga.
They have feelings, my friend.	Þau hafa tilfinningar, vinur minn.
The Elves began it.	Álfarnir hófu það.
Waking up the trees, teaching them to speak.	Þeir vöktu trén og kenndu þeim að tala.
Talking trees.	Talandi tré?
What do trees have to talk about?	Hvað hafa tré til að tala um?
Except the consistency of squirrel droppings.	Fyrir utan þéttleika íkornasparða.
Something's out there.	Það er eitthvað þarna úti.
What do you see?	Hvað sérðu?
The White Wizard approaches.	Hvíti vitkinn nálgast.
Do not let him speak.	Látið hann ekki tala.
He will put a spell on us.	Hann leggur álög á okkur.
We must be quick.	Við verðum að bregðast skjótt við.
You are tracking the footsteps of two young Hobbits.	Þið rekið fótspor tveggja ungra Hobbita.
Where are they?	Hvar eru þeir?
They passed this way the day before yesterday.	Þeir áttu leið hér um í fyrradag.
They met someone they did not expect.	Þar hittu þeir einhvern sem þeir áttu ekki von á.
Does that comfort you?	Er það léttir fyrir ykkur?
Who are you?	Hver ert þú?
Show yourself!	Sýndu þig!
It cannot be.	Þetta getur ekki verið.
Forgive me.	Fyrirgefðu mér.
I mistook you for Saruman.	Ég tók þig fyrir Sarúman.
I am Saruman.	Ég er Sarúman.
Or rather, Saruman as he should have been.	Eða öllu heldur Sarúman eins og hann hefði átt að vera.
You fell.	Þú hrapaðir.
Through fire and water.	Í gegnum eld og vatn.
From the lowest dungeon to the highest peak I fought with the Balrog of Morgoth.	Frá lægstu dýflissu til hæsta fjalltinds barðist ég við Balroggin frá Morgot.
Until at last I threw down my enemy and smote his ruin upon the mountainside.	Þar til ég að lokum yfirbugaði óvin minn og tortímdi honum í fjallshlíðinni.
Darkness took me and I strayed out of thought and time.	Myrkur sveipaðist um mig og ég reikaði út fyrir hugsun og tíma.
Stars wheeled overhead and every day was as long as a life age of the Earth.	Stjörnur hnituðu yfir mér og hver dagur var jafnlangur og æviskeið Jarðar.
But it was not the end.	En Þetta voru ekki endalokin.
I felt life in me again.	Ég fann aftur bærast í mér líf.
I've been sent back until my task is done.	Ég hef verið sendur aftur til að ljúka verki mínu.
Gandalf.	Gandalfur.
Gandalf?	Gandalfur?
That was what they used to call me.	Ég var kallaður það.
Gandalf the Grey.	Gandalfur Grái.
That was my name.	Það var nafn mitt. Gandalfur.
We hear of trouble in Rohan.	Vandræði herja á Róhan.
It goes ill with the king.	Ríkið er sjúkt og konungurinn einnig.
Yes, and it will not be easily cured.	Já, og lækningin verður vandasöm.
Then we have run all this way for nothing?	Höfum við þá hlaupið alla þessa leið til einskis?
Are we to leave those poor Hobbits here in this horrid, dark, dank tree-infested- -?	Eigum við að skilja vesalings Hobbitana eftir hér í þessum hryllilega, dimma, saggafulla, trjáundirlagða...
I mean, charming quite charming forest.	Ég meina, heillandi... alveg heillandi skógi?
It was more than mere chance that brought Merry and Pippin to Fangorn.	Það var meira en tilviljun ein sem leiddi Kát og Pípinn inn í Fangorn.
A great power has been sleeping here for many long years.	Ægiafl mikið hefur sofið hér í ótalmörg, löng ár.
The coming of Merry and Pippin will be like the falling of small stones that starts an avalanche in the mountains.	Koma Káts og Pípins verður eins og fallandi steinvala sem kemur af stað skriðu í fjöllunum.
In one thing you have not changed, dear friend.	Að einu leyti hefurðu ekki breyst, kæri vinur.
You still speak in riddles.	Þú talar enn í gátum.
A thing is about to happen that has not happened since the Elder Days.	Brátt gerist dálítið sem hefur ekki gerst síðan á Forndægrum.
The Ents are going to wake up... -... and find that they are strong.	Enturnir munu vakna og finna styrk sinn.
Strong?!	Styrk?
Oh, that's good.	Það er gott.
So stop your fretting, Master Dwarf.	Hættu þessu tuði, Dvergur góður.
