Chapter 1 - Of Fiddle Mord	Kafli 1
"And where may he be now?" says the Earl.	«Hvar mun hann nú vera?» sagði jarl.
They said that Thrand had told them that he had laid down in a thicket.	Þeir sögðu að Þrándur segði að hann hefði lagst niður í runna nokkura.
The Earl goes thither to look for him, but Hrapp was off and away.	Jarl fer þangað að leita og var Hrappur þá allur í brautu.
Then the Earl set his men to search for him, but still they could not find him.	Skipaði jarl þá til að leita hans og fundu þeir hann eigi.
So the Earl was in the hue and cry himself, but first he bade them rest a while.	Jarl var sjálfur í leitinni og bað hann þá hvílast fyrst.
Then the Earl went aside by himself, away from other men, and bade that no man should follow him, and so he stays a while.	Jarl gekk þá einn saman braut frá öðrum mönnum og bað engan mann með sér ganga og dvaldist um stund.
He fell down on both his knees, and held his hands before his eyes;	Hann féll á knébeð og hélt fyrir augu sér.
after that he went back to them, and then he said to them, "Come with me".	Síðan gekk hann aftur til þeirra. Hann mælti: «Gangið þér með mér.»
So they went along with him.	Þeir gengu með honum.
He turns short away from the path on which they had walked before, and they came to a dell.	Hann gekk þvers af leiðinni þeirri er þeir höfðu áður farið og komu að dalverpi einu.
There up sprang Hrapp before them, and there it was that he had hidden himself at first.	Þar spratt Hrappur upp fyrir þeim og hafði hann þar fólgið sig áður.
The Earl urges on his men to run after him, but Hrapp was so swift-footed that they never came near him.	Jarl eggjar menn að hlaupa eftir honum en Hrappur var svo fóthvatur að þeir komust hvergi í nánd honum.
Hrapp made for Hlada.	Hrappur stefndi til Hlaða.
Hrapp runs to where Njal's sons are.	Hrappur hleypur þar að sem þeir eru fyrir Njálssynir.
"Help me, like good men and true," he said, "for the Earl will slay me."	Hann mælti: «Bjargið mér góðir drengir því að jarl vill drepa mig.»
Helgi looked at him and said -	Helgi leit við honum og mælti:
"Thou lookest like an unlucky man, and the man who will not take thee in will have the best of it."	«Ógæfusamlega líst mér á þig og mun sá betur hafa er eigi tekur við þér.»
Then Hrapp turned to Thrain Sigfus' son, and bade him shelter him.	Hrappur sneri þá til móts við Þráin Sigfússon og bað hann ásjá.
"What hast thou on thy hand?" says Thrain.	«Hvað er þér á höndum?» segir Þráinn.
"I have burnt a shrine under the Earl's eyes, and slain some men, and now he will be here speedily, for he has joined in the hue and cry himself."	Hrappur mælti: «Brennt hefi eg goðahús fyrir jarli og drepið menn nokkura og mun hann hér koma brátt því að hann er sjálfur í eftirleitinni.»
"It hardly beseems me to do this," says Thrain, "when the Earl has done me so much good."	«Varla samir mér það,» segir Þráinn, «svo mikið gott sem jarl hefir mér gert.»
Then he showed Thrain the precious things which he had borne out of the shrine, and offered to give him the goods, but Thrain said he could not take them unless he gave him other goods of the same worth for them.	Þá sýndi Hrappur Þráni gripina þá er hann hafði borið úr goðahúsinu og bauð að gefa honum féið. Þráinn sagði að hann mundi eigi þiggja nema annað fé kæmi í mót.
"Then," said Hrapp, "here will I take my stand, and here shall I be slain before thine eyes, and then thou wilt have to abide by every man's blame."	Hrappur mælti: «Hér mun eg stað nema og skal mig hér drepa fyrir augum þér og munt þú þá bíða af hvers manns ámæli.»
Then they see the Earl and his band of men coming, and then Thrain took Hrapp under his safeguard, and let them shove off the boat, and put out to his ship.	Þá sjá þeir ferð jarls og manna hans. Þá tók Þráinn við Hrappi en lét skjóta báti og fluttist út á skipið.
Then Thrain said, "Now this will be thy best hiding place, to knock out the bottoms of two casks, and then thou shalt get into them".	Þráinn mælti: «Nú er þetta fylgsni helst að brjóta botn úr tunnum tveim og skalt þú þar fara í.»
So it was done, and he got into the casks, and then they were lashed together, and lowered over-board.	Svo var gert að hann fór í tunnurnar og voru bundnar saman síðan og látnar fyrir borð.
Then comes the Earl with his band to Njal's sons, and asked if Hrapp had come there.	Þá kemur jarl með liði sínu til Njálssona og spurði ef Hrappur hefði komið þar.
They said that he had come.	Þeir sögðu að hann kom.
The Earl asked whither he had gone thence.	Jarl spurði hvert hann færi þaðan.
They said they had not kept eyes on him, and could not say.	Þeir kváðust eigi reiður hafa á hent.
"He," said the Earl, "should have great honour from me who would tell me where Hrapp was."	Jarl mælti: «Sá skyldi mikla sæmd af mér hafa er mér segði til Hrapps.»
Then Grim said softly to Helgi -	Grímur mælti hljótt við Helga:
"Why should we not say.	«Fyrir hví skulum við eigi segja?
What know I whether Thrain will repay us with any good?"	Eg veit eigi nema Þráinn launi okkur engu góðu.»
"We should not tell a whit more for that," says Helgi, "when his life lies at stake."	«Eigi skulum við segja að heldur,» segir Helgi, «þar er líf hans liggur við.»
"Maybe," said Grim, "the Earl will turn his vengeance on us, for he is so wroth that some one will have to fall before him."	Grímur mælti: «Vera kann að jarl snúi á okkur hefndinni því að hann er svo reiður að niður mun nokkur verða að koma.»
"That must not move us," says Helgi, "but still we will pull our ship out, and so away to sea as soon as ever we get a wind."	«Ekki munum við að því fara,» segir Helgi, «en þó skulum við nú í braut leggja skipinu og í haf þegar er gefur.»
So they rowed out under an isle that lay there, and wait there for a fair breeze.	«Ekki mun eg um það hirða nú,» segir Helgi. Þeir leggja út undir eyna og bíða þar byrjar.
The Earl went about among the sailors, and tried them all, but they, one and all, denied that they knew aught of Hrapp.	Jarl gekk að skipamönnum og leitaði við alla þá en allir duldu að né eitt vissu til Hrapps. Þá mælti jarl:
Then the Earl said, "Now we will go to Thrain, my brother-in-arms, and he will give Hrapp up, if he knows anything of him".	«Nú munum vér fara að finna Þráin félaga minn og mun hann selja fram manninn ef hann veit nokkuð til.»
After that they took a long-ship and went off to the merchant ship.	Eftir það tóku þeir langskip eitt og fóru út til kaupskipsins.
Thrain sees the Earl coming, and stands up and greets him kindly.	Þráinn kennir ferð jarls og stendur upp og fagnar honum blíðlega.
The Earl took his greeting well and spoke thus -	Jarl tók því vel og mælti svo:
"We are seeking for a man whose name is Hrapp, and he is an Icelander.	«Manns þess leitum vér er heitir Hrappur og er íslenskur.
He has done us all kind of ill;	Hann hefir gert oss hvetvetna illt.
and now we will ask you to be good enough to give him up, or to tell us where he is."	Viljum vér nú þess biðja yður að þér seljið hann fram eða segið til hans.»
"Ye know, Lord," said Thrain, "that I slew your outlaw, and then put my life in peril, and for that I had of you great honour."	Þráinn mælti: «Vissuð þér að eg drap útlaga yðvarn herra og hætti þar til lífi mínu og þá eg fyrir það af yður stórsæmdir.»
"More honour shalt thou now have," says the Earl.	«Meiri sæmdir skalt þú nú hafa,» segir jarl.
Now Thrain thought within himself, and could not make up his mind how the Earl would take it, so he denies that Hrapp is there, and bade the Earl to look for him.	Þráinn hugsaði fyrir sér og þóttist eigi vita hvað jarl mundi mest meta. Þrætir nú þó að Hrappur sé þar og bað jarl leita.
He spent little time on that, and went on land alone, away from other men, and was then very wroth, so that no man dared to speak to him.	Jarl hafði lítið við það og gekk á land og í braut frá öðrum mönnum og var þá reiður mjög svo að engi maður þorði við hann að mæla. Jarl mælti:
"Show me to Njal's sons," said the Earl, "and I will force them to tell me the truth."	«Vísið mér til Njálssona og skal eg nauðga þeim til að þeir segi mér hið sanna.»
Then he was told that they had put out of the harbour.	Þá var honum sagt að þeir höfðu út látið.
"Then there is no help for it," says the Earl, "but still there were two water-casks alongside of Thrain's ship, and in them a man may well have been hid, and if Thrain has hidden him, there he must be;	«Ekki má það þá,» segir jarl, «en vatnkeröld tvö voru þar við skipið Þráins og má þar maður vel hafa fólgist í.
and now we will go a second time to see Thrain."	Og ef Þráinn hefir fólgið hann þá mun hann þar í hafa verið og munum vér nú fara í annað sinn að finna Þráin.»
Thrain sees that the Earl means to put off again and said -	Þráinn sér þetta, að jarl ætlar enn út, og mælti:
"However wroth the Earl was last time, now he will be half as wroth again, and now the life of every man on board the ship lies at stake."	«Svo reiður sem jarl var næstum þá mun hann nú vera hálfu reiðari og liggur nú við líf allra manna þeirra er á skipinu eru ef nokkur segir til Hrapps.»
They all gave their words to hide the matter, for they were all sore afraid.	Þeir hétu allir að leyna því að hver var um sig mjög hræddur.
Then they took some sacks out of the lading, and put Hrapp down into the hold in their stead, and other sacks that were tight were laid over him.	Þeir tóku sekka nokkura úr búlkanum en létu Hrapp koma þar í staðinn. Fóru nú aðrir sekkar á hann ofan þeir er léttir voru.
Now comes the Earl, just as they were done stowing Hrapp away.	Nú kemur jarl er þeir höfðu um Hrapp búið.
Thrain greeted the Earl well.	Þráinn kvaddi vel jarl.
The Earl was rather slow to return it, and they saw that the Earl was very wroth.	Jarl tók kveðju hans og ekki skjótt. Sáu þeir að jarl var allmjög reiður.
Then said the Earl to Thrain -	Jarl mælti til Þráins:
"Give thou up Hrapp, for I am quite sure that thou hast hidden him."	«Sel þú fram Hrapp því að eg veit víst að þú hefir fólgið hann.»
"Where shall I have hidden him, Lord?" says Thrain.	«Hvar mun eg hafa fólgið hann herra?» segir Þráinn.
"That thou knowest best," says the Earl; "but if I must guess, then I think that thou hiddest him in the water-casks a while ago."	«Þér mun það kunnigast,» segir jarl, «en ef eg skal geta til þá ætla eg að þú hafir áðan fólgið hann í vatnkeröldum þeim er hér voru við skipið.»
"Well!" says Thrain, "I would rather not be taken for a liar, far sooner would I that ye should search the ship."	«Eigi vildi eg herra,» segir Þráinn, «að þér vænduð mig lygi heldur vildi eg að þér leituðuð um skipið.»
Then the Earl went on board the ship and hunted and hunted, but found him not.	Þá fór jarl upp á skipið og leitaði og fann eigi. Þráinn mælti:
"Far from it," says the Earl, "and yet I cannot tell why we cannot find him, but methinks I see through it all when I come on shore, but when I come here, I can see nothing."	«Fjarri fer það,» segir jarl, «en eigi veit eg hví vér finnum hann eigi. Eg þykist sjá allt í gegnum þá er eg kem á land en þá sé eg ekki til er eg kem hér.»
With that he made them row him ashore.	Lætur hann þá róa til lands með sig.
He was so wroth that there was no speaking to him.	Hann var svo reiður að ekki mátti við hann mæla.
His son Sweyn was there with him, and he said, "A strange turn of mind this to let guiltless men smart for one's wrath!"	Hann mælti: «Undarlegt skaplyndi er það að láta óverða menn gjalda reiði sinnar.»
Then the Earl went away alone aside from other men, and after that he went back to them at once, and said -	Jarl gekk þá enn einn frá öðrum mönnum. Síðan gekk hann þegar aftur til þeirra og mælti:
"Let us row out to them again," and they did so.	«Róum vér enn út til þeirra.» Þeir gerðu svo.
"Where can he have been hidden?" says Sweyn.	«Hvar mun hann fólginn hafa verið?» segir Sveinn.
"There's not much good in knowing that," says the Earl, "for now he will be away thence;	Jarl svaraði: «Eigi mun það nú skipta því að hann mun nú í brautu vera þaðan.
two sacks lay there by the rest of the lading, and Hrapp must have come into the lading in their place."	Sekkar tveir lágu þar hjá búlkanum og mun Hrappur þar hafa komið í staðinn þeirra í búlkann.»
"They are running off the ship again, and they must mean to pay us another visit.	«Fram hrinda þeir enn skipinu og munu enn ætla út hingað til vor.
Now we will take him out of the lading, and stow other things in his stead, but let the sacks still lie loose.	Skulum vér nú taka hann úr búlkanum og koma öðru í staðinn en þó skulu sekkarnir lausir.»
They did so, and then Thrain spoke -	Þeir gerðu svo. Þá mælti Þráinn:
"I would have given him up long ago," answers Thrain, "if he had been in my keeping, or where can he have been?"	«Fyrir löngu seldi eg hann fram ef hann væri í minni varðveislu eða hvar mun hann verið hafa?»
"In the lading," says the Earl.	«Í búlkanum,» segir jarl.
"Then why did ye not seek him there?" says Thrain.	«Hví leituðuð þér hans eigi þar þá?» segir Þráinn.
"That never came into our mind," says the Earl.	«Eigi kom oss það þá í hug,» segir jarl.
After that they sought him over all the ship, and found him not.	Síðan leituðu þeir hans um allt skipið og fundu hann eigi.
"Will you now hold me free?" says Thrain.	«Viljið þér mig nú undan bera herra?»
"Surely not," says the Earl, "for I know that thou hast hidden away the man, though I find him not;	«Víst eigi,» segir jarl, «því að eg veit að þú hefir fólgið manninn þó að eg finni hann eigi.
but I would rather that thou shouldest be a dastard to me than I to thee," says the Earl, and then they went on shore.	En heldur vil eg að þú níðist á mér en eg á þér.» Fór jarl þá til lands.
Just then up sprung a fair breeze, and Thrain and his men sailed out to sea.	Þá rann á byr og sigldi Þráinn út úr firðinum til hafs.
He then spoke these words which have long been held in mind since -	Hann mælti þá þetta er lengi hefir uppi verið haft síðan:
But when the Earl heard of Thrain's words, then he said -	En er jarl spurði orð Þráins þá mælti hann:
"Tis not my want of foresight which caused this, but rather their ill-fellowship, which will drag them both to death."	«Eigi ber hér til óviska mín heldur það samband þeirra er þeim dregur báðum til bana.»
Thrain was a short time out on the sea, and so came to Iceland, and fared home to his house.	Þráinn var skamma stund í hafi og kom til Íslands og fór heim til bús síns.
Hrapp went along with Thrain, and was with him that year; but the spring after, Thrain got him a homestead at Hrappstede, and he dwelt there;	Hrappur fór með Þráni og var með honum þau misseri en um vorið eftir fékk Þráinn honum bú á Hrappstöðum og bjó Hrappur þar.
He was thought to spoil everything there, and some men even said that he was too good friends with Hallgerda, and that he led her astray, but some spoke against that.	Það mæltu sumir menn að vingott væri með þeim Hallgerði og hann fífldi hana en sumir mæltu því í móti.
Thrain gave the Vulture to his kinsman, Mord the reckless;	Þráinn fékk skipið Merði órækju frænda sínum.
that Mord slew Oddi Haldor's son, east in Gautawick by Berufirth.	Sá Mörður vó Odd Halldórsson austur í Gautavík í Berufirði.
All Thrain's kinsmen looked on him as a chief.	Allir frændur Þráins héldu hann nú fyrir höfðingja.
Chapter 88 - Earl Hacon fights with Njal's sons	Kafli 89 Nú er þar til máls að taka er Hákon jarl missti Þráins.
"Let us take four long-ships, and let us fare against Njal's sons and slay them, for they must have known all about it with Thrain."	«Tökum langskip fjögur og förum að Njálssonum og drepum þá því að þeir munu vitað hafa með Þráni.»
"'Tis not good counsel," says Sweyn, "to throw the blame on guiltless men, but to let him escape who is guilty."	«Það er eigi gott ráð,» segir Sveinn, «að snúa sökum á óvalda menn en láta þann undan setja er sökina ber á baki.»
"I shall have my way in this," says the Earl.	«Eg skal þessu ráða,» segir jarl.
Now they hold on after Njal's sons, and seek for them, and find them under an island.	Halda þeir nú eftir Njálssonum og leita þeirra og finna þá undir eyjunni.
Grim first saw the Earl's ships and said to Helgi -	Grímur sá fyrst skip jarlsins og mælti til Helga:
"Here are war ships sailing up, and I see that here is the Earl, and he can mean to offer us no peace."	«Herskip fara hér og kenni eg að hér fer jarl og mun hann oss engan frið bjóða.»
"It is said," said Helgi, "that he is the boldest man who holds his own against all comers, and so we will defend ourselves."	«Það er mælt,» segir Helgi, «að hver sé vaskur er sig ver við hvern sem hann á um. Skulum vér og verja oss.»
They all bade him take the course he thought best, and then they took to their arms.	Allir báðu hann fyrir sjá. Tóku þeir þá vopn sín.
Now the Earl comes up and called out to them, And bade them give themselves up.	Jarl kemur nú að og kallaði á þá og bað þá upp gefast.
Helgi said that they would defend themselves so long as they could.	Helgi svarar að þeir mundu verjast meðan þeir mættu.
Then the Earl offered peace and quarter to all who would neither defend themselves nor Helgi; but Helgi was so much beloved that all said they would rather die with him.	Jarl bauð öllum grið, þeim er eigi vildu verja hann, en svo var Helgi vinsæll að allir vildu heldur deyja með honum.
Then the Earl and his men fall on them, but they defended themselves well, and Njal's sons were ever where there was most need.	Jarl sækir nú að og hans menn en hinir verjast vel og voru þeir Njálssynir þar jafnan sem mest var raunin.
The Earl often offered peace, but they all made the same answer, and said they would never yield.	Jarl bauð þeim oft griðin. Þeir svöruðu jafnan hinu sama og kváðust aldrei upp skyldu gefast.
Then Aslak of Longisle pressed them hard, and came on board their ship thrice.	Þá sótti að þeim fast Áslákur úr Langeyju, lendur maður jarls, og komst upp á skipið þremur sinnum.
Then Grim said -	Þá mælti Grímur:
"Thou pressest on hard, and 'twere well that thou gettest what thou seekest;" and with that he snatched up a spear and hurled it at him, and hit him under the chin, and Aslak got his death wound there and then.	«Þú sækir fast að og væri vel að þú hefðir erindi.» Grímur þreif þá upp spjót og skaut undir kverk Ásláki og hafði hann þegar bana.
A little after, Helgi slew Egil the Earl's banner-bearer.	Litlu síðar vó Helgi Egil merkismann jarls.
Then Sweyn, Earl Bacon's son, fell on them, and made men hem them in and bear them down with shields, and so they were taken captive.	Þá sótti að Sveinn Hákonarson og lét bera að þeim skjöldu og urðu þeir þá handteknir báðir Njálssynir.
The Earl was for letting them all be slain at once, but Sweyn said that should not be, and said too that it was night.	Jarl vildi þegar láta drepa þá en Sveinn kvað það eigi skyldu og sagði að væri nótt. Þá mælti jarl:
Then the Earl said, "Well, then, slay them to-morrow, but bind them fast to-night".	«Drepið þá á morgun en bindið þá rammlega í nótt.»
"So, I ween, it must be," says Sweyn; "but never yet have I met brisker men than these, and I call it the greatest manscathe to take their lives."	«Svo mun vera verða,» segir Sveinn, «en eigi hefi eg vaskari menn fyrir fundið en þessa og er það hinn mesti mannskaði að taka þá af lífi.» Jarl mælti:
"They have slain two of our briskest men," said the Earl, "and for that they shall be slain."	«Þeir hafa drepið tvo hina vöskustu vora menn og skulum vér þeirra svo hefna að þessa skal drepa.»
"Because they were brisker men themselves," says Sweyn; "but still in this it must be done as thou wiliest."	«Menn voru þeir að vaskari,» segir Sveinn, «en þó mun þetta gera verða sem þú vilt.»
So they were bound and fettered.	Voru þeir þá bundnir og fjötraðir.
After that the Earl fell asleep;	Eftir það sofnaði jarl og hans menn.
but when all men slept, Grim spoke to Helgi, and said, "Away would I get if I could".	En er þeir voru sofnaðir mælti Grímur til Helga: «Braut vildi eg komast ef eg mætti.»
"Let us try some trick then," says Helgi.	«Leitum í nokkurra bragða þá,» segir Helgi.
Grim sees that there lies an axe edge up, so Grim crawled thither, and gets the bowstring which bound him cut asunder against the axe, but still he got great wounds on his arms.	Grímur segir að þar nær honum liggur öx og horfir upp eggin. Grímur skreið þangað til og fær skorið af sér bogastrenginn við öxinni en þó fékk hann sár mikil á höndunum.
Then he set Helgi loose, and after that they crawled over the ship's side, and got on shore, so that neither Hacon nor his men were ware of them.	Þá leysti hann Helga. Eftir það skreiddust þeir fyrir borð og komust á land svo að þeir jarl urðu ekki varir við.
Then they broke off their fetters and walked away to the other side of the island.	Þeir brutu af sér fjötrana og gengu annan veg á eyna.
By that time it began to dawn.	Tók þá að morgna.
There they found a ship, and knew that there was come Kari Solmund's son.	Þeir fundu þar skip og kenndu að þar var kominn Kári Sölmundarson.
They went at once to meet him, and told him of their wrongs and hardships, and showed him their wounds, and said the Earl would be then asleep.	Fóru þeir þegar á fund hans og sögðu honum hrakning sína og sýndu honum sár sín og kváðu þá mundi jarl í svefni. Kári mælti:
"This will not be fated," says Kari; "but still ye do not lack heart, but we will first know whether he is there now."	En þó skulum vér vita hvort hann er þar nú.»
After that they fared thither, and then the Earl was up and away.	Síðan fóru þeir þangað og var þá jarl í brautu.
Then Kari sailed in to Hlada to meet the Earl, and brought him the Orkney scatts;	Þá fór Kári inn til Hlaða á fund jarls og færði honum skatta sína.
"Hast thou taken Njal's sons into thy keeping?"	«Hefir þú tekið Njálssonu til þín?»
"So it is, sure enough," says Kari.	«Svo er víst,» segir Kári.
"Wilt thou hand Njal's sons over to me?" asks the Earl.	«Vilt þú selja mér þá?» segir jarl.
"No, I will not," said Kari.	«Það vil eg eigi,» sagði Kári.
"Wilt thou swear this," says the Earl, "that thou wilt not fall on me with Njal's sons?"	«Vilt þú sverja þess að þú vildir eigi að mér fara eftir?» segir jarl.
Then Eric, the Earl's son, spoke and said -	Þá mælti Eiríkur jarlsson:
Kari has always been our friend, and things should not have gone as they have, had I been by.	Hefir Kári jafnan verið vinur vor. Og skyldi eigi svo farið hafa ef eg hefði við verið.
Njal's sons should have been set free from all blame, but they should have had chastisement who had wrought for it.	Njálssynir skyldu öllu hafa haldið heilu en hinir skyldu hafa haft refsing er til höfðu gert.
Methinks now it would be more seemly to give Njal's sons good gifts for the hardships and wrongs which have been put upon them, and the wounds they have got."	Þætti mér nú sannlegra að gefa Njálssonum sæmilegar gjafar fyrir hrakningar þær er þeir hafa haft og sárafar.»
"So it ought to be, sure enough," says the Earl, "but I know not whether they will take an atonement."	Jarl mælti: «Svo mundi vera víst en eigi veit eg hvort þeir munu taka vilja sættir.»
Then the Earl said that Kari should try the feeling of Njal's sons as to an atonement.	Þá mælti jarl við Kára að hann skyldi leita um sættir við þá Njálssonu.
After that Kari spoke to Helgi, and asked whether he would take any amends from the Earl or not.	Síðan ræddi Kári við Helga hvort hann vildi taka sæmdir af jarli. Helgi svaraði:
"I will take them," said Helgi, "from his son Eric, but I will have nothing to do with the Earl."	«Taka vil eg af syni hans, Eiríki, en eg vil ekki eiga um við jarl.»
Then Kari told Eric their answer.	Þá segir Kári Eiríki svör þeirra bræðra.
"So it shall be," says Eric. "He shall take the amends from me if he thinks it better; and tell them this too, that I bid them to my house, and my father shall do them no harm."	«Svo skal þá vera,» segir Eiríkur, «að þeir skulu af mér taka sæmdina ef þeim þykir það betra og segið þeim það að eg býð þeim til mín og skal faðir minn ekki mein gera þeim.»
This bidding they took, and went to Eric's house, and were with him till Kari was ready to sail west across the sea to meet Earl Sigurd.	Þetta þágu þeir og fóru til Eiríks og voru með honum þar til er Kári var búinn vestur að sigla.
Then Eric made a feast for Kari, and gave him gifts, and Njal's sons gifts too.	Þá gerði Eiríkur Kára veislu og gaf honum góðar gjafar og svo Njálssonum.
After that Kari fared west across the sea, and met Earl Sigurd, and he greeted them very well, and they were with the Earl that winter.	Síðan fóru þeir Kári vestur um haf á fund Sigurðar jarls og tók hann við þeim allvel og voru með jarli um veturinn.
But when the spring came, Kari asked Njal's sons to go on warfare with him, but Grim said they would only do so if he would fare with them afterwards out to Iceland.	En um vorið bað Kári Njálssonu að þeir færu í hernað með honum en Grímur kveðst það mundu gera ef hann vildi þá fara með þeim til Íslands.
Kari gave his word to do that, and then they fared with him a-sea-roving.	Kári hét því. Fóru þeir þá með honum í hernað.
They harried south about Anglesea and all the Southern isles.	Þeir herjuðu suður um Öngulseyjar og allar Suðureyjar.
Thence they held on to Cantyre, and landed there, and fought with the landsmen, and got thence much goods, and so fared to their ships.	Þá héldu þeir til Saltíris og gengu þar upp og börðust við landsmenn og fengu þar fé mikið og fóru til skipa.
Thence they fared south to Wales, and harried there.	Þaðan fóru þeir suður til Bretlands og herjuðu þar.
Then they held on for Man, and there they met Godred, and fought with him, and got the victory, and slew Dungal the king's son.	Þá héldu þeir til Manar. Þar mættu þeir Guðröði konungi úr Mön og börðust þeir við hann og höfðu sigur og drápu Dungal son konungs.
There they took great spoil.	Þar tóku þeir fé mikið.
Thence they held on north to Coll, and found Earl Gilli there, and he greeted them well, and there they stayed with him a while.	Þaðan héldu þeir norður til Kolu og fundu þar Gilla jarl og tók hann við þeim vel og dvöldust þeir með honum nokkura hríð.
The Earl fared with them to the Orkneys to meet Earl Sigurd, but next spring Earl Sigurd gave away his sister Nereida to Earl Gilli, and then he fared back to the Southern isles.	En um vorið gifti Sigurður jarl Gilla jarli Nereiði systur sína. Fór hann þá í Suðureyjar. Kafli 90
Chapter 89 - Njal's sons and Kari come out to Iceland	Þetta sumar bjuggust þeir Kári og Njálssynir til Íslands.
That summer Kari and Njal's sons busked them for Iceland, and when they were "all-boun" they went to see the Earl.	Og þá er þeir voru albúnir gengu þeir á fund jarls.
The Earl gave them good gifts, and they parted with great friendship.	Hann gaf þeim góðar gjafar og skildu þeir með mikilli vináttu.
Now they put to sea and have a short passage, and they got a fine fair breeze, and made the land at Eyrar.	Láta þeir nú í haf. Þeir hafa útivist skamma og gaf þeim vel byri og komu við Eyrar.
Then they got them horses and ride from the ship to Bergthorsknoll, but when they came home all men were glad to see them.	Þeir fengu sér hesta og ríða frá skipi og riðu til Bergþórshvols. En er þeir komu heim urðu allir menn þeim fegnir.
They flitted home their goods and laid up the ship, and Kari was there that winter with Njal.	Þeir fluttu heim fé sitt og réðu skipi til hlunns.
and so the end of it was that she was betrothed to Kari, and the day for the wedding-feast was fixed, and the feast was held half a month before mid-summer, and they were that winter with Njal.	En um vorið bað Kári Helgu dóttur Njáls og fluttu þeir Grímur og Helgi með honum og lauk svo að hún var föstnuð Kára og var á kveðið á brúðlaupsstefnu og var boðið hálfum mánuði fyrir mitt sumar. Voru þau með Njáli þann vetur.
Then Kari bought him land at Dyrholms, east away by Mydale, and set up a farm there;	En um vorið keypti Kári land að Dyrhólmum austur í Mýdal og gerði þar bú.
they put in there a grieve and housekeeper to see after the farm, but they themselves were ever with Njal.	Þau fengu þar fyrir ráðamann og ráðakonu en þau voru með Njáli jafnan.
Hrapp owned a farm at Hrappstede, but for all that he was always at Gritwater, and he was thought to spoil everything there.	Hrappur átti bú á Hrappstöðum en þó var hann jafnan að Grjótá og þótti hann þar öllu spilla.
Thrain was good to him.	Þráinn var vel til hans.
Once on a time it happened that Kettle of the Mark was at Bergthorsknoll; then Njal's sons told him of their wrongs and hardships, and said they had much to lay at Thrain Sigfus' son's door, whenever they chose to speak about it.	Einu hverju sinni var það þá er Ketill úr Mörk var að Bergþórshvoli, þá sögðu Njálssynir frá hrakningum sínum og kváðust mikið eiga að heimta að Þráni nær sem þeir töluðu til.
Njal said it would be best that Kettle should talk with his brother Thrain about it, and he gave his word to do so.	Njáll sagði að það væri best að Ketill talaði til við Þráin bróður sinn. Hann hét því.
So they gave Kettle breathing-time to talk to Thrain.	Gáfu þeir Katli tómstund til að tala við Þráin.
A little after they spoke of the matter again to Kettle, but he said that he would repeat few of the words that had passed between them, "for it was pretty plain that Thrain thought I set too great store on being your brother-in-law".	Litlu síðar innti Ketill til við Þráin. Njálssynir fréttu Ketil en hann kveðst fátt mundu frá herma orðum þeirra «en það fannst á að Þráni þótti eg mikils virða mágsemd við yður.»
Then they dropped talking about it, and thought they saw that things looked ugly, and so they asked their father for his counsel as to what was to be done, but they told him they would not let things rest as they then stood.	Síðan hættu þeir talinu og þóttust þeir sjá að erfiðlega horfði og spurðu föður sinn ráðs hversu með skyldi fara, kváðust eigi una að svo búið stæði.
"Such things," said Njal, "are not so strange.	Njáll svaraði: «Eigi er slíkt svo óvant.
It will be thought that they are slain without a cause, if they are slain now, and my counsel is, that as many men as may be should be brought to talk with them about these things, that thus as many as we can find may be ear-witnesses if they answer ill as to these things.	Það mun þykja um sakleysi ef þeir eru drepnir og er það mitt ráð að skjóta að sem flestum um að tala við þá, að sem flestum verði heyrinkunnigt ef þeir svara illa og skal Kári um tala því að hann er skapdeildarmaður.
It may also well be that it may be said that my sons are slow to take up a quarrel, but ye shall bear that for the sake of gaining time, for there are two sides to everything that is done, and ye can always pick a quarrel;	Það kann og vera að mælt sé að synir mínir séu seinir til aðgerða og skuluð þér það þola um stundarsakir því að allt orkar tvímælis þá er gert er.
but still ye shall let so much of your purpose out, as to say that if any wrong be put upon you that ye do mean something.	En svo fremi skuluð þér orði á koma er þér ætlið nokkuð að að gera ef yðvar er illa leitað.
But if ye had taken counsel from me at first, then these things should never have been spoken about at all, and then ye would have gotten no disgrace from them;	En ef þér hefðuð við mig um ráðið í fyrstu þá mundi aldrei orði á hafa verið komið og mundi yður þá engi svívirðing að verða.
but now ye have the greatest risk of it, and so it will go on ever growing and growing with your disgrace, that ye will never get rid of it until ye bring yourselves into a strait, and have to fight your way out with weapons; but in that there is a long and weary night in which ye will have to grope your way."	En nú hafið þér af hina mestu raun og mun það þó svo aukanda fara um yðra svívirðing að þér munuð ekki fá að gert fyrr en þér leggið vandræði á yður og vegið með vopnum og er því langa nót að að draga.»
After that they ceased speaking about it; but the matter became the daily talk of many men.	Eftir það hættu þeir talinu og varð hér margs manns umræða á.
One day it happened that those brothers spoke to Kari and bade him go to Gritwater.	Einu hverju sinni var það að þeir bræður töluðu til að Kári mundi fara til Grjótár.
Kari said he thought he might go elsewhither on a better journey, but still he would go if that were Njal's counsel.	Kára kveðst önnur ferð þykja betri en þó læst hann fara mundu við það er þetta voru ráð Njáls.
So after that Kari fares to meet Thrain, and then they talk over the matter, and they did not each look at it in the same way.	Síðan fer Kári til fundar við Þráin. Tala þeir þá um málið og þykir þeim eigi einn veg báðum.
